doc_idx,rewrite
3,suggest thai food
10,Identify the assistant's programmer
5,freeze bank account
1,Get the status of my American Airlines flight
6,Change assistant's name to Arnold
9,Order the entire shopping list
12,Check market performance since the beginning of the year
13,Check the AC temperature.
8,Find MMR vaccination due date
2,Set the alarm
4,Find a suitable new credit card
0,Roll a four-sided die
11,increase credit card limit
7,Continue or proceed
14,Check if I have enough gas to reach Washington DC
19,Check for an HDMI cord
21,Tell a joke about mice
15,Check current speed
17,Check the fridge
16,Search how to apply cream to smooth itchiness
26,Tell me how long to boil eggs
25,Revert to the original configuration
23,Find the meaning of life
18,Get the preparation time for the dish
27,Show step count for today
24,Express uncertainty about a matter
28,Call her
20,Tell me tomorrow's date
32,Find the nearest hospital to me.
22,Check for Discover card transaction fees in Cuba
29,Check the status of my Virgin Airlines flight.
34,Check my credit score.
30,Find a pork recipe.
31,Get current mortgage interest rates for my area.
33,Tell me my republic bank card credit limit
35,Check beer spending
39,Explain the mathematical importance of pi.
37,Determine an appropriate Mother's Day flower budget.
40,Explain how to replace oil and which oil to use.
36,Find the best plan upgrade option.
42,Identify the title of the currently playing song.
43,Tell me the name you have for me.
38,List the most visited countries for travelers.
44,Check if grocery shopping is on reminders list
45,Check transaction fees for using Discover card in Cuba
46,Read the shopping list
41,Check Wells Fargo account balance for Nike purchase.
51,Define the word discontent
48,Show reviews for tacos at the buffet.
52,Correct the previous response.
49,Reset factory settings.
47,Check if Applebee's has good reviews
50,Find the best way to deal with lost luggage.
55,Check remaining vacation days
56,Convert British pounds to Mexican pesos.
61,Turn off whisper mode
57,Convert 10 kilos to pounds
58,Find my W2 form
54,State your most experienced subjects.
62,Find car payment due date
59,Pay $175 on Visa
53,Explain the taste of water.
60,Cancel Barry's reservation at Red Robin
66,Rent a Mercedes in Indianapolis from May 3rd to 5th.
64,Flip a coin
72,Check credit card application status
71,Find next available oil change appointment date.
73,Find meeting time with infrastructure
69,Turn on the microwave for 3 minutes
63,Throw the dice on the table
75,Increase the speaker volume
67,Check the weather in Seattle.
70,Recite planned purchase items
74,Add eggs to the grocery list.
65,Explain how to set up direct deposit at Nations Bank.
79,list divorce attorneys in new york area
82,Schedule a conference room for Thursday at 4:00.
78,Find the date of the gold rush.
85,Book a hotel in Phoenix near Chase Field.
80,Calculate recent video game spending.
81,Show last vacuuming time for living room
84,Check if computer is virus-free
86,how to jump start my car
83,Check if credit card APR is decent
77,Tell me today's headlines.
88,Find a black suit under $100
68,Find the nearest Fry's location.
76,Identify the type of plug z uses.
87,Check if there is a charge for using card in x
89,Find sheet music for the Beatles White Album online
99,Dispute unauthorized Old Navy charges on my account.
96,Unlock my bank account
97,Check the engine light.
92,Check if travel to Cambodia is safe
91,Check if parents survived the crash
93,Cancel my reservation
95,Apply for a new credit card.
90,Check if the reviews are good.
94,Check water bill due date
98,Explain how to transfer a 401k
103,Show recent transaction on visa card
101,Find the extended ZIP code for my address.
104,Substitute turkey for beef.
111,Increase credit limit by 500 dollars
105,Check required shots for travel to Astana
106,Pay utility bill from bank account
113,Add deb as a contact nickname
108,Get the miles per gallon.
112,Count days off taken this year.
100,Add grocery shopping to my todo list
102,Get checking account interest rate
107,Find the best way to remove an appointment.
109,Provide both options
110,Calculate combined total of bank accounts
115,Speak slower
116,Get average bus travel time to Boston.
118,Summarize today's meetings
125,Confirm the previous statement
114,Increase credit limit by 500 dollars
121,Change voice option to female.
119,Check the car's mpg.
117,Check meeting schedule with invoicing
122,Tell me how long to boil eggs
127,Check NFCU interest rate
120,Tell me Denver's timezone and location.
124,Give feedback about the pasta at Piada.
126,check traffic to detroit at 9:00
129,Explain insurance benefits
132,Check lighter restrictions for carry-on backpacks.
138,Dim the screen brightness
133,Find out what is for dinner.
131,Identify what the user should go by
139,Tell me when to change my oil
135,Get tax form from job
136,Get the car's MPG.
130,End the conversation
134,Explain how pollutants are filtered from bottled water.
141,Confirm the answer is yes
