doc_idx,category
222,4
14,9
2022,2
1400,4
498,0
552,0
221,1
2141,7
1865,1
1651,3
882,9
807,1
1352,3
23,3
1517,12
1776,3
329,4
653,5
2121,4
153,8
2172,1
572,0
1434,3
761,4
974,4
441,2
1221,12
503,2
1571,2
246,12
858,12
977,2
561,3
1870,2
1796,3
876,1
436,12
1974,5
1057,0
745,2
1782,0
2262,3
1431,1
318,11
60,3
1337,2
924,3
7,0
129,4
475,1
1699,2
2347,9
1124,4
617,3
1396,0
609,0
1387,4
2270,5
1027,7
2074,0
1988,12
505,1
1116,8
525,4
1308,3
1893,4
795,9
840,3
506,12
1592,12
775,0
1335,1
218,3
1885,5
705,3
2326,4
945,5
1161,9
2163,3
1852,2
2280,4
15,3
2122,8
1129,5
2087,3
1535,3
2072,4
62,2
2289,0
2061,7
2090,4
2155,4
1658,4
1600,1
199,5
1466,9
2037,0
549,3
2309,10
641,1
2252,0
1657,3
2469,4
1746,11
427,0
1055,2
2118,5
1961,1
1448,7
2353,3
2367,0
2220,5
1861,8
948,3
585,4
714,1
292,0
1208,12
1609,3
2412,12
1429,3
1275,7
1824,0
1920,0
1502,2
656,7
67,2
738,2
136,0
625,12
2438,2
230,3
2013,11
388,4
846,5
542,4
567,11
237,2
211,9
1399,4
1426,4
69,1
2344,1
1369,7
764,0
1555,0
676,0
877,2
1668,3
464,5
514,12
1557,2
509,3
1195,8
1842,1
2238,0
1085,0
1415,3
1799,12
1463,11
631,0
334,1
228,12
2030,4
963,2
1680,3
283,0
1565,4
1088,2
61,5
2464,2
2319,9
1016,12
330,1
691,11
49,4
2093,1
1176,0
2316,12
1939,0
331,0
1814,12
2063,3
2302,5
546,3
1848,0
1874,2
1883,4
2203,8
83,3
2310,12
1989,0
277,1
914,4
1253,4
1632,12
2399,0
2146,3
161,1
1166,3
2431,7
1546,0
1595,3
1329,3
1935,3
418,4
978,4
1946,3
100,1
828,4
300,12
1229,1
2265,5
282,3
940,3
1716,3
2108,3
354,3
2405,3
59,4
1156,3
832,3
2171,0
251,12
127,0
1884,3
1286,4
700,12
1236,5
1220,5
1558,2
496,0
97,1
996,4
1297,3
147,2
677,1
2019,4
2389,9
377,4
1774,1
2273,0
1000,11
2435,9
2130,3
1791,2
2112,11
353,10
1621,4
1393,8
