text,cluster
Give the current album 2 out of 6 points.,RateBook
play Isham Jones,PlayMusic
book a restaurant for four in Trinidad and Tobago,BookRestaurant
rate The Bunce 1 stars,RateBook
Please play Short And Sweet by Teyana Taylor from my itunes.,PlayMusic
"Book a table for ida, monica and etta at Cold Spring Tavern in MD",BookRestaurant
What's the weather going to be like at my current spot at 7 am,GetWeather
Add a track to my dinner playlist,AddToPlaylist
add this album to my MediodÃ­a AcÃºstico playlist,AddToPlaylist
book a fried fish serving restaurant for one at 20 hours from now,BookRestaurant
Add brad kane to the Pumping Iron soundtrack.,AddToPlaylist
Where can I find the painting of Without Condition,SearchCreativeWork
what is the forecast for LA for freezing,GetWeather
Will it get chillier in 12 years  in Greenland?,GetWeather
Where to buy book Charlie Countryman deve morire,SearchCreativeWork
find a book called Outpost Firewall Pro,SearchCreativeWork
Find me the soundtrack A Honeymoon Adventure,SearchCreativeWork
Can you add a track to my Spain Top 50 playlist,AddToPlaylist
Put Pedro Navaja onto my flamenco pa ti playlist.,AddToPlaylist
I'd like to know how the weather will be at 8 pm in Tennessee.,GetWeather
Rate this book a four.,RateBook
add tune to my playlist picnic in the park,AddToPlaylist
Where is the nearest cinema playing Rainbow Eyes that starts in one minute?,SearchScreeningEvent
Please get me the British Journal of Dermatology game.,SearchCreativeWork
Play the latest music by Martin Luther Mccoy,PlayMusic
"Will it be sunny in Eyota Hawaii on february seventh, 2025?",GetWeather
I rate Doom 3: Worlds on Fire a 1 of 6,RateBook
I'd like to see the television show Best-Of: Design of a Decade 2003–2013,SearchCreativeWork
Play the newest chant by John Doyle on Zvooq,PlayMusic
Lets go far to The Wolseley in Maine,BookRestaurant
weather for five am in Osyka Bhutan,GetWeather
"rate Cock and Bull 5 of 6
 points",RateBook
Play music from 2002,PlayMusic
I'd like to hear songs from Iheart,PlayMusic
Add this artist to Metal Party,AddToPlaylist
Find a pub for me in FM,BookRestaurant
What time is The Ladies Diplomat playing?,SearchScreeningEvent
Add a bill deasy track to the conexiones playlist.,AddToPlaylist
in a week  make a reservation for a table of 7 in District Of Columbia,BookRestaurant
play Groove Shark,PlayMusic
Where can I purchase the saga The Second Life of Samuel Tyne,SearchCreativeWork
What will the weather be like in the Bahamas eleven years and a half from now,GetWeather
in 1 week is there going to be a depression in Washington,GetWeather
I want to see the movie schedules for animated movies around here.,SearchScreeningEvent
Add the track to the Metal Talks Metallica playlist.,AddToPlaylist
Please add a track to my playlist called this is Coti,AddToPlaylist
I'd like to get reservations at a top-rated restaurant in Arkansas.,BookRestaurant
play paul riley on Youtube,PlayMusic
rate this textbook two out of 6 points,RateBook
Show me the schedule for ArcLight Hollywood for only animated movies,SearchScreeningEvent
Play symphony music from Joe Dolce,PlayMusic
Can you add something by Wynter Gordon to my soul lounge playlist,AddToPlaylist
Fine movie times for animated movies in the neighborhood.,SearchScreeningEvent
Play some good movement music by Brian Littrell from around 2001,PlayMusic
Rat Short Trips: A Christmas Treasury a 3,RateBook
Can you give me the weather forecast in Tajikistan?,GetWeather
Look for the District 9 novel,SearchCreativeWork
I need seating at Floating restaurant in Tennessee for a group of 9,BookRestaurant
Play music from Hide,PlayMusic
Find the Youth Against Christ saga,SearchCreativeWork
add artist steve cropper to Rhythm and Blues,AddToPlaylist
at my current spot is it going to be hotter on Nov. the eighth,GetWeather
give Life: A Natural History of the First Four Billion Years of Life on Earth 1 points out of 6,RateBook
Please play music from Itunes,PlayMusic
book spot for my nieces and I at a tea house,BookRestaurant
find a movie house with Hollow Reed,SearchScreeningEvent
Place this tune onto my dinner for 2 playlist.,AddToPlaylist
Add Welcome to the Cruel World to my Reggae Classics,AddToPlaylist
What is the nearest movie house playing New York Melody,SearchScreeningEvent
Find a table at a pizzeria in New Hampshire that has parking,BookRestaurant
What is the predicted weather on mar. 27 for Farragut State Park?,GetWeather
"find Terminator 3: The Redemption, a picture",SearchCreativeWork
look for the saga called Death in Paradise,SearchCreativeWork
Add artist danny carey to my Classic Jazz Singers playlist.,AddToPlaylist
what is the Gearhart forecast,GetWeather
how much rain are we getting in current position,GetWeather
Can you find me the Free for All show?,SearchCreativeWork
Find movie times for nine PM.,SearchScreeningEvent
Add Firehouse to my acoustic soul list.,AddToPlaylist
what films are at Kerasotes Theatres,SearchScreeningEvent
