doc_idx,text,true_label
0,How do I properly branch post-commit and revert the trunk in svn?,3
1,How do you build a debug .exe (MSVCRTD.lib) against a release built lib (MSVCRT.lib)?,7
2,How to update a postgresql array column with spring JdbcTemplate?,11
3,Set session time out limit for magento frontend,20
4,magento osl license allowances,20
5,"Creating a workflow task generates an ""Invalid field name"" error",14
6,Porting a Qt Application from Linux to Windows,16
7,"Excel, multiple if statements",5
8,Spring Web Flow  Error MEssages,11
9,adding id to unordered list in views,17
10,"Hibernate, instrumentation and delete cascade order",12
11,"PHP/Apache, options +indexes in htaccess doesn't work for root directory",4
12,Why can't I reference a user defined type field when using nested queries?,2
13,"mod_rewrite, put wordpress in sub-dir on server seamlessly?",1
14,Why so Long time span in creating Session Factory?,11
15,How to use QMake's subdirs template?,16
16,Bind user defaults to different identifier,8
17,Interpolating 1D Gaussian into 2D Gaussian,6
18,"The Current State Of Serving a PHP 5.x App on the Apache, LightTPD & Nginx Web Servers?",4
19,Linq: using StringComparer with GroupBy/Distinct in comprehension syntax,18
20,How To Update Data With Linq By Attach Method,18
21,"Whats the ""Browser File"" in Visual studio 2008, and why we may need it?",7
22,Duplicate records in Core Data on fetch,8
23,Visual Studio 2008 - Customise right click menu,7
24,linq operators like in,18
25,Strange CSS/Apache problem,4
26,Highlight colors in an NSTableColumn on highlight,8
27,Best practice for creating subversion repositories?,3
28,How does Visual Studio's source control integration work with Perforce?,7
29,trap event when new wordpress post is added in a certain category,1
30,Anyone ever flip (<$>),19
31,Transactional L2 cache in Hibernate,12
32,Checking available room in QT Dock,16
33,Good Way to Debug Visual Studio Designer Errors,7
34,"How do I control a job's ""name"" in Bash?",10
35,How to read input from a text file in Matlab?,6
36,Wordpress themeing,1
37,How to exit all the calling scripts in bash?,10
38,tabIndex Attribute and AJAX,15
39,concurrency in hibernate,12
40,Remove slash from the end of a variable,10
41,Is there any way to avoid installing Microsoft Visual Studio 2008 Team System Database Edition to be able to build DBPro projects on a centralized build server?,7
42,Add a common namespace reference by default to all pages in a project,7
43,Does Subversion merge diff or just update revision on unmodified files,3
44,Installing Apache Web Server on 64 Bit Mac,4
45,How to create an Oracle sequence starting with max value from a table?,2
46,can't login magento in local system in firefox,20
47,Correct owner/group/permissions for Apache 2 vhosts files/folders under Mac OS X (10.6)?,9
48,Hide/Show controls with AJAX,15
49,How would I convert my .htaccess file to NGINX?,4
50,How to kill all asynchronous processes,10
51,mac software development,9
52,Unable to load the Excel 2003 Add-in,5
53,How to Publish a SharePoint site on the internet,14
54,How do I export from MySQL to an Excel file in my PHP site?,5
55,Custom block in magento,20
56,AJAX (prototype/php) getting partial status updates during script execution,15
57,Excel process not ending in Cluster environment,5
58,drupal - override form action?,17
59,Drupal 6 parse incoming POST data,17
60,calling Qt's QGraphicsView::setViewport with a custom QGLWidget,16
61,Pattern matching in a let expression,19
62,Linq Select Compound From,18
63,mod_rewrite redirect to URL with propietary protocol,4
64,Sharepoint document library source,14
65,"How to make document tabs in Visual Studio 2008 appear in left-to-right order, just as it was in earlier VS?",7
66,Spring MVC configuration question,11
67,Wordpress htaccess in root overriding htaccess in subdomain. Subdomain app not working now.,1
68,Drupal: accordion inside node,17
69,scala Slider throws casting exception,13
70,How can commenting be added to news articles in an existing Sharepoint 2007 news site?,14
71,Phone screen questions for Mac OS X developer positions?,9
72,What's a good hex editor/viewer for the Mac?,9
73,Stripping newlines in Haskell,19
74,When to create Interface Builder plug-in for custom view?,9
75,Texture mapping in MATLAB,6
76,Apache/PHP  serving file multiple times,4
77,Default using directives in new C# files,7
78,How to use hibernate interceptors to populate extra fields in a join table?,12
79,Accessing Scala Parser regular expression match data,13
80,Linking to a dynamic library on a Mac with full path,9
81,Improving this url with .htaccess and mod_rewrite,4
82,Combining data from Excel with database,5
83,Drupal-Salesforce with NuSOAP,17
84,How do I provide a username/password to access a web resource using Matlab urlread/urlwrite?,6
85,linq to sql batch delete,18
86,Resolving resx references,7
87,Changing Excel 2000 pivot chart unit,5
88,string;# in dropdownlist,14
89,"OpenXML sdk v2.0 Performance issue when deleting a first row in 20,000+ rows excel file",5
90,Is Scala the next big thing?,13
91,Can't copy or paste text in Cocoa after deleted edit menu item,9
92,Matlab multiplication of 2 vectors error,6
93,Can NSAlert Be Used to Create a Floating Window?,8
94,Oracle 'printf' equivalent,2
95,Wrap an Oracle schema update in a transaction,2
96,making a Macro that exports chosen columns to a new file,5
97,How to prevent hackers from exploiting Apache ->Sites-available -> Default file,4
98,Uniform distribution of binary values in Matlab,6
99,How can I safely port my wordpress blog to localhost?,1
100,Magento Store - Extension,20
101,Concurrent DB connection pool in Haskell,19
102,How do I sort my code in Visual Studio 2008?,7
103,Hide NSWindowToolbarButton,8
104,Does SQLDeveloper support executing scripts?,2
105,Temporary text attributes causing massive slowdown,8
106,"Hibernate, insert or update without select.",12
107,install java se 6 on a mac without software updater,9
108,"How to disable the ""auto format"" feature of VisualStudio2008 editor?",7
109,I'm looking to use Visual Studio to write and compile using the open source version of Qt4.,16
110,How to extract and chop version string from file in bash,10
111,UNIX commands that support colours,10
112,Localizing a modern xib-based Mac application,9
113,Rearrange ordering of blog posts vs content block?,17
114,What are some example use cases for symbol literals in Scala?,13
115,What does <() do in Bash?,10
116,Can a SharePoint list item have it's Targeted Audience calculated or otherwise automatically specified?,14
117,Spring Injecting into Struts RequestProcessor,11
118,How to track down CPU intensive requests,4
119,observeValueForKeyPath:ofObject:change:context: doesn't work properly with arrays,8
120,LINQ: find all checked checkboxes in a GridView,18
121,Wordpress show preview of Article/Site,1
122,ajax and asp.net tutorials,15
123,Should I learn Xml and Javascript before learning Ajax?,15
124,Cannot display measure variance in Excel pivot table,5
125,Drupal image upload issues,17
126,How does Spring resolve views?,11
127,Windows Mobile Device Emulator - how to save config permanently?,7
128,Proper way to import things already defined in the Prelude in Haskell,19
129,How can I pass the output of a command as a compiler flag through a Qt project file?,16
130,"In Cocoa, what is the best way to change the cursor when hovering over a circular view?",8
131,Connecting to a signal hidden by QMessageBox,16
132,"Haskell: surprising behavior of ""groupBy""",19
133,"""Session closed"" error when trying to get a blob from DB using getBinaryStream()",12
134,How do I create a custom directive for Apache Velocity,4
135,Data Guard Oracle 11g,2
136,Basic AJAX example with ASP.NET MVC?,15
137,Hibernate session keeping track of objects,12
138,Preconfigured Magento Widgets,20
139,Using random folder name on web server to restrict access to it - bad idea?,4
140,fetching only part of a Drupal 6 menu,17
141,How to link multiple visual studio solutions together?,7
142,How do you copy a file into SharePoint using a WebService?,14
143,How do I write a qmake project file(.pro) that I can set project name when opening it in VS-addin?,16
144,How do I expose Excel 2003 Spreadsheets to PerformancePoint 2007?,5
145,Qt + VTK + Cmake,16
146,How can Scala receive multiple parameters in a method definition?,13
147,XML for Ajax PUT or POST request,15
148,Optimizing an ORM-based model post-launch,12
149,How to duplicate Magento report? Unable Change action function name,20
150,Calculate most common values,6
151,change default grid columns in Magento catalogue,20
152,Passing variables from one form to another in QT,16
153,Which CodePlex/Google code project to study in order by learn SharePoint best practices,14
154,Best way to see what files are Locked in Subversion,3
155,How do I connect a curve of fixed length between two points in space using Matlab?,6
156,environment path loading incorrectly in bash,10
157,Tips to sync up webapps and svn?,3
158,Example of using AuthType Digest to authenticate a user once across sub-domains?,4
159,Is there a Windows equivalent of EDQUOT?,7
160,What data type do I use for an integer in SOAP XML in Cocoa?,8
161,How to get the token type from a CFStringTokenizer in Cocoa?,8
162,WordPress - How to know if a sidebar is empty without loading it?,1
163,VBA code for SUMIFS?,5
164,Magento get a product collection in an arbritrary order,20
165,lists searches in SYB or uniplate haskell,19
166,How do I externalize named queries in a Hibernate annotations app?,12
167,"Looking for ""localhost"" apache server that allows .htaccess",4
168,How can I match a function signature without getting type erasure compiler warnings in Scala.,13
169,Magento: Newsletters not going out,20
