doc_idx,rewrite
0,musician and frank zappa
1,status quo and pye
2,iphone 4s and ios
3,uncle meat and frank zappa
4,carl peters and german east africa
5,fistful of metal and anthrax
6,duero and iberian peninsula
7,ukraine and arseniy yatsenyuk
8,castilla-la mancha and cuenca
9,netherlands national football team and 1998 fifa world cup
10,palazzo gualino and gino levi-montalcini
11,ramon llull university and esade
12,illuminatus and alternative metal
13,abdul haseeb khan and politician
14,2006 elections and nancy pelosi
15,gates of rome and julius caesar
16,"wally masur and sydney, australia"
17,framework decision and european union
18,wayne and 1976 montreal
19,shōnen sunday super and shogakukan
20,vortex comics and toronto
21,geddy lee and bass guitar
22,centerville historic district and national register of historic places
23,2007 election and samak sundaravej
24,eurovision song contest and carola
25,niels and joakim
26,doug magnus and republican
27,le dernier qui a parle... and french
28,usaf and united states air force
29,kryvyi rih and dnipropetrovsk oblast
30,central europe and germany
31,guardian building and national register of historic places
32,emma lincoln-smith and 2010 winter olympics
33,nhs greater glasgow and clyde and gartnavel hospital
34,bicentennial man and isaac asimov
35,ove and henrik bjelke
36,thunderjet and republic aviation
37,2017 china cup and croatia
38,kokis and sri lanka
39,toujours un ailleurs and anggun
40,tamil nadu and tiruvannamalai district
41,vladimir vavilov and ave maria
42,alonzo cano and baroque
43,dragoon and second venture in the arms trade
44,fantasia international film festival and montreal
45,5th (northumberland fusiliers) regiment of foot and british army
46,suzanne baker and best animated short
47,ostap bender and archil gomiashvili
48,bosom buddies and abc
49,harvest moon: friends of mineral town and game boy advance
50,williamsport armory and national register of historic places
51,"bloods and los angeles, california"
52,english wikipedia and wikimedia foundation
53,peter case and geffen records
54,vedad ibišević and world cup
55,johnswood and national register of historic places
56,mount davis and allegheny mountains
57,"cecil county airport and elkton, maryland"
58,abraham desomer and united states navy
59,knud kristensen and venstre
60,microsoft office and macos
61,"william, duke of nassau and frederick william, prince of nassau-weilburg"
62,salcombe lifeboat station and royal national lifeboat institution
63,one step beyond and prince buster
64,2016 fifa club world cup and america
65,the elms and horace trumbauer
66,drachen fire and arrow dynamics
67,"scott weiland and los angeles, california"
68,mary palmer and sir joshua reynolds
69,kidulthood and menhaj huda
70,dnieper and pripyat
71,hoetger and expressionist
72,safe and todd haynes
73,legislative council and new brunswick
74,night watch and timur bekmambetov
75,blakeney point and national trust
76,sweetnighter and weather report
77,antal bolvári and 1956 summer olympics
78,1971 and 1972
79,yitzhak zamir and attorney general
80,secrets of rætikon and windows
81,watch the wind blow by and tim mcgraw
82,maine community college system and kennebec valley community college
83,historic town of sukhothai and associated historic towns and sukhothai historical park
84,his first season and second division
85,2008 legislative council elections and tsang yok-sing
86,motru and coșuștea river
87,ooh la la and faces
88,toyota motor corporation and toyota motor engineering & manufacturing north america
89,calming the storm and miracle of jesus
90,las mercedes airport and san javier
91,jean and philippe vi
92,gardiner dam and south saskatchewan river
93,saitō takao and gekiga
94,daniel clowes and academy award for best adapted screenplay
95,ugly betty and jeff beal
96,michelle magorian and book of the same name
97,president and mongolia
98,autonomous spaceport drone ship and spacex
99,"kitselas canyon and kitselas, british columbia"
100,chris froome and tour de france
101,kurgan oblast and dalmatovsky district
102,great end and lake district
103,thomas schroll and 1992 winter olympics
104,szczytno county and gmina świętajno
105,jacques tits and group theory
106,oppland and vågå
107,christina and christine
108,dustin lance black and academy award winner
109,pico do fogo and cape verde
110,season and sporting de gijón
111,lin jiang and french horn
112,arthur caplan and bioethics
113,swissôtel tallinn and meeli truu
114,trickstyle and dreamcast
115,loyalties and john galsworthy
116,2019 european games and minsk
117,renée of france and louis xii of france
118,dean & britta and dean wareham
119,loyal regiment and british army
120,josef kammhuber and luftwaffe
121,mount massive and sawatch range
122,triticeae and tribe
123,royal exchange and sir william tite
124,quatro rodas and editora abril
125,great - grandchildren and guy morrison bryan
126,kdenlive and freebsd
127,109 squadron and ramat david
128,astrological sign and aries
129,2008 contest and eglė jurgaitytė
130,"krdx and vail, arizona"
131,2012 and danish national team
132,teen wolf too and tim kring
133,amazon river and purus
134,three musketeers and milady de winter
135,macbook air and apple
136,elly maersk and odense steel shipyard
137,mulavar and sanskrit
138,konstantin päts and estonian
139,casa vicens and gaudí
140,sweden and eu member state
141,gilda and jo eisinger
142,chatzilla and firefox
143,social democratic and swedish
144,fiona volpe and luciana paluzzi
145,local group and ngc 185
146,joshua then and now and mordecai richler
147,a & c black and london
148,otto sydow and luftwaffe
149,witness and oscar
150,isla grande airport and san juan
151,borohoro mountains and tian shan
