doc_idx,text,true_label
0,"I still have not received my new card, I ordered over a week ago.",11
1,I ordered a card but it has not arrived. Help please!,11
2,Is there a way to know when my card will arrive?,11
3,My card has not arrived yet.,11
4,Do you know if there is a tracking number for the new card you sent me?,11
5,i have not received my card,11
6,still waiting on that card,11
7,Is it normal to have to wait over a week for my new card?,11
8,How do I track my card?,11
9,I still don't have my card after 2 weeks.  What should I do?,11
10,still waiting on my new card,11
11,I am still waiting for my card after 1 week.  Is this ok?,11
12,"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",11
13,Why hasn't my card been delivered?,11
14,My card still hasn't arrived after 2 weeks. Is it lost?,11
15,"I did not get my card yet, is it lost?",11
16,Status of the card I ordered.,11
17,How long should my new card take to arrive?,11
18,I ordered my card 2 weeks ago and it still isn't here? What do I do?,11
19,"My card has not arrived yet, where is it?",11
20,What is the tracking number for my card that was mailed?,11
21,"I ordered a card a week ago, and it's still not here. What do I do?",11
22,i want to track the card you sent,11
23,How do I know when my card will arrive?,11
24,I ordered a card and I still haven't received it. It's been two weeks. What can I do?,11
25,"I'm starting to think my card is lost because it still hasn't arrived, can you help?",11
26,What is the tracking number for the card you sent?,11
27,Where is the tracking number for the card you sent me?,11
28,Why won't my card show up on the app?,13
29,I would like to reactivate my card.,13
30,Where do I link the new card?,13
31,"I received my new card, but I don't see it in the app anywhere.  What do I do?",13
32,How do I re-add a card to the app?,13
33,How do I add the card to my account?,13
34,Can I put my old card back into the system? I just found it/,13
35,How do I link a new card?,13
36,Can I link an existing card?,13
37,How do I add a card to the app?,13
38,Can I link my new card?,13
39,"Hello, I found the card I misplaced and I need to reactive it, how do I do that?",13
40,Can you tell me how to link one of your cards that I already have?,13
41,Where on the website do I go to link my card?,13
42,"I found my card, can I add it to the app?",13
43,"I found my card, I would like to reactivate it.",13
44,Can I reactivate my lost card that I found this morning in my jacket pocket?,13
45,how do I link an already existing card?,13
46,The app doesn't show the card I received.,13
47,Where do I go if I want to link my new card?,13
48,Is there a way to make my old card usable with the app?,13
49,Can I reactivate a card I thought I lost?,13
50,How do I link my card,13
51,Where do I need to go in the app to enter my card info?,13
52,I have found my lost or stolen card. Is there a way I can link the card with my account through my app again?,13
53,"Could you help me reactivate my card? It was previously lost, but I found it this morning in my jacket.",13
54,"I already have one of your cards, how do I link them?",13
55,How do I link my replacement card?,13
56,I need to know your exchange rates.,32
57,What exchange rates do you offer?,32
58,How did you come up with your exchange rates?,32
59,Where do you guys acquire your exchange rate?,32
60,How often do your exchange rates change,32
61,Please advise what is the exchange rate,32
62,How are exchange rates calculated?,32
63,what are exchange rates based on,32
64,what are exchange rates,32
65,What are the most current exchange rates?,32
66,Is it a good time to exchange?,32
67,What is the exchange rate like on this app?,32
68,Do you have a list of exchange rates?,32
69,Will I get a curreng foreign exchange rate?,32
70,What currencies is an exchange rate calculated in?,32
71,Where do you get your exchange rates from?,32
72,What is the base of the exchange rates?,32
73,The exchange rates are?,32
74,How much will I get with the exchange rate?,32
75,The exchange rate would be?,32
76,What is the exchange rate like?,32
77,How do your exchange rates work?,32
78,what is the exchange rate?,32
79,Where did your guys exchange rates come from?,32
80,How are you determining your exchange rates?,32
