doc_idx,category
1635,14
2620,14
2853,14
158,14
1937,15
2660,5
1708,5
2134,18
2517,6
870,4
1066,0
2900,14
1547,7
2632,7
1077,11
583,0
1088,16
2973,14
563,14
2588,9
1878,14
420,7
594,5
686,9
294,18
186,0
1818,0
1549,9
2858,4
1009,0
1897,0
684,7
2438,5
1576,5
1299,8
747,7
2115,5
2136,9
112,7
1326,9
578,10
1823,7
1402,5
1791,5
1651,16
464,0
951,4
1533,14
321,4
2865,17
1677,0
1034,5
2181,7
2637,7
1558,4
45,14
2094,5
157,0
1819,10
2327,4
2789,5
2221,7
2377,0
209,0
2694,4
2063,4
1162,18
1504,3
114,13
381,14
1191,5
692,0
2189,7
2652,0
1954,11
2083,0
2370,14
2172,4
2049,0
2109,19
1982,14
1901,11
1150,9
2527,6
63,5
543,15
919,4
1115,10
763,0
2566,5
260,2
298,19
75,5
575,10
2543,3
1812,8
95,5
2332,6
218,9
132,4
1240,11
986,14
301,0
2698,8
2782,14
2625,7
1417,6
107,14
292,0
463,7
736,7
221,4
1151,4
636,3
2343,14
2009,14
1772,8
991,5
2626,9
1833,7
2045,9
174,14
1542,7
828,3
2452,19
1224,6
2203,9
2536,6
2808,6
891,8
2871,7
2420,10
651,5
2602,14
461,0
1334,18
1828,14
518,4
111,10
2788,15
2077,12
2342,14
2843,5
12,9
2425,4
2392,5
1676,11
2880,9
188,4
2600,10
937,7
359,3
28,6
1849,5
2806,3
338,10
2353,6
2248,19
535,6
639,3
644,0
1234,0
1219,16
926,4
1630,18
797,14
2648,1
1588,7
614,17
415,10
341,14
281,18
1994,6
1396,3
1757,0
419,3
2902,4
1966,4
1601,4
2672,10
2419,5
664,3
1320,5
1984,10
1432,14
1607,12
2492,14
832,14
1100,0
1540,5
2642,19
2328,3
105,3
600,11
2068,18
1746,18
2598,5
894,14
2689,5
2733,0
117,14
1652,4
474,8
1302,9
2950,14
274,19
1165,3
1905,0
2582,14
996,8
2568,18
106,5
946,11
2700,19
1497,5
613,0
959,0
2721,16
1122,15
291,0
2207,6
2599,11
1516,0
2893,8
523,5
480,5
2355,19
1580,0
2232,4
1069,0
1006,14
448,14
1597,14
1043,18
2153,18
2563,7
2933,8
604,18
354,1
737,-1
970,4
2761,8
1199,0
390,0
2471,0
627,11
2539,5
73,6
1920,0
897,18
2322,7
239,0
696,5
2384,4
669,0
2417,10
252,10
2717,4
195,9
1575,4
1218,4
504,14
2264,4
241,11
226,4
1212,3
2811,7
213,18
23,18
428,5
2339,9
853,10
2464,18
527,14
2748,0
748,14
974,5
7,5
2819,6
1411,0
1038,18
2295,3
2217,0
2596,6
229,0
2346,12
1593,9
2151,5
725,0
2026,7
282,0
1773,8
648,0
2574,0
2288,0
1370,7
1085,0
100,1
2636,6
2389,0
99,5
2966,14
123,4
1154,0
2659,3
1721,0
786,0
1841,14
2493,0
1319,0
87,5
2899,0
631,14
1170,8
1178,4
128,9
1295,5
1144,11
2157,8
2821,0
874,17
585,6
1918,9
1910,3
1694,0
1766,7
1421,3
537,4
1660,3
1509,6
586,0
193,12
1119,7
393,11
1793,8
2509,0
2190,5
161,3
654,9
1711,0
1368,7
44,5
1809,15
2237,1
2832,6
1517,9
565,19
2307,9
1213,8
2828,10
1367,10
819,3
990,6
2442,5
160,6
1902,3
1184,11
2505,7
769,14
2368,6
1618,10
987,3
1322,10
784,6
1441,15
2690,8
2429,0
2114,5
1099,5
811,5
499,18
1974,7
500,5
1343,4
2413,5
1189,0
2076,3
2031,6
1359,9
2530,15
145,9
2430,17
904,0
2719,6
444,11
2575,10
2222,0
460,8
711,8
307,7
2465,5
389,5
1959,4
1171,14
2348,14
2228,18
513,16
516,7
2896,4
1738,1
22,14
2507,8
270,14
572,5
1113,10
199,7
681,10
1208,6
1440,14
1360,18
1940,3
2882,4
61,14
2569,7
2143,3
734,4
2603,5
900,18
961,0
1484,14
1269,3
2891,3
1712,5
182,7
1204,0
1380,18
757,6
1384,7
1109,4
1439,4
2920,14
1427,9
2119,16
1276,4
885,6
2128,0
2962,6
1301,18
88,0
1761,-1
772,12
2906,8
392,6
247,18
2959,19
1888,4
459,8
431,3
1967,15
938,11
596,5
1420,18
1283,5
2515,5
1532,10
1978,4
2333,9
546,11
1225,7
70,5
1561,0
2953,7
1407,0
2889,14
1044,14
872,3
1826,5
2567,9
2286,9
259,15
1443,8
1052,10
