doc_idx,rewrite
11,turn off the socket
0,Make a coffee
4,Play a good song from my playlist.
8,Send a reply to an email
7,Play rap music
2,Set a reminder to get the oil changed
3,Set volume to thirty five percent
6,Show list contents
1,Set a reminder to pick up Mark at 6 PM.
12,Check weather forecast for next Tuesday
13,Check new emails
9,Convert time from Stockholm to Okinawa
10,Find an Oscar nominee movie
16,Delete event from calendar
22,Find the date for next Tuesday.
21,Show nearby musical events
14,Get the precipitation chance for today.
5,Schedule a meeting with accounting on Friday at 2:30 PM.
20,Remind me to contact old friends
19,Tell me today's date
18,Check if a jacket is needed tonight
23,Play a dog sound
25,Delete doctor appointment on Saturday
26,Show Apple stock price
24,Stop talking until asked.
15,Talk to Olly
17,Open Facebook
34,Play my playlist party songs
32,Check for new emails from last ten minutes
36,Schedule a meeting with Brian on Tuesday at 3 PM.
30,Notify me immediately of new flood news
38,Report a good deed to the assistant
31,Convert time from Berlin to local time.
27,Tweet Apple that the iPhone doesn't work
29,identify who mailed me yesterday
28,turn off the bathroom light
35,Get today's weather forecast.
37,Add event to shared calendar
33,Get the current time in London.
40,Check calendar for the fourth of july this year
39,Explain how to make pizza
41,Clear the data
52,Calculate ten percent off forty dollars
50,Remind me to call mom in half an hour
45,Get this week's weather.
49,Delete calendar event
44,Play music
46,Start music playback
42,Create a repeating reminder for the calendar event
47,Identify the song and tell me the name
43,"Identify the day of the week for December 4, 1982."
54,Show new gadgets
48,Play the classical music
51,Order food for me
53,Remind me one hour before my next meeting with my boss.
55,Tell the funniest joke ever told.
56,Set a recurring reminder to call mom
58,Show the headlines on CNN.
57,Increase the lighting brightness
60,Book a cab to the office
62,Modify calendar with event
64,show nearby marathons
65,Turn off the lights
68,look up population of miami florida
59,tell me what day of the week Halloween is
70,Play song by Madonna
66,Play the song Major Tom by David Bowie
71,Compose a new email to coworker
69,schedule conversation with greg about weekend trip
73,Turn the lights down to seven.
75,Play next podcast episode
67,Set alarm for reminder
72,Check if tomorrow's temperature is hot.
76,Play a sports podcast
63,Play nonstop radio songs
74,Find the day of the week for August fifteenth.
78,Get the latest update on the New York bridge proposal.
79,Change the volume
83,Restart the juice
81,Navigate to the Washington Post website
80,Send an email to Naty for her birthday.
89,Send email to new contact
82,Make a coffee
88,Stop talking
87,Play jazz music
84,send an email to naty
85,Tell me this week's weather.
90,Open the games application
77,Increase the brightness
61,Check events on December fourth
86,Show information about elections in UP
91,Add an email address
102,find emilia's work phone number
92,Check most current emails
96,Identify the song title
93,Set a reminder for meeting with Tom next Friday
94,open a reminder about next week's managers meeting
100,Check the current time
97,User wants to know about suffering consequences.
104,Find latest news from an unfamiliar source.
103,send an email to mom
101,Get the weather in Pittsburgh.
95,tune in to 897 FM
99,Play FM 93.5 radio songs
98,Show Megatel shares performance last week
109,tune to radio station hot one hundred and five
108,Create a playlist.
106,Play Delilah on the radio in the bedroom
105,Get today's date
111,Show my pending tasks
114,predict what music I like
116,Get the current time in Chennai.
110,Check the weather forecast for Monday.
115,Change the light color to red
112,Reply to the last email
117,Delete all events with Jeff.
107,Find dog show events in my hometown.
118,find brunch time with jennifer
113,Find recent updates about Jennifer Lopez.
119,Get directions to a location
125,turn off the bathroom lights
128,"Get current weather in Grand Rapids, MI."
120,get popular news from BBC
131,Turn off the alarm
127,Play music hits
126,Add car payment to calendar on the twelfth
122,Play rock music for the next hour.
129,Identify the song title
130,Get Google's current stock price.
124,Show the times for my set alarms.
121,turn off the porch light
123,Add a reminder for this week
137,Email my appointments to reschedule
139,Describe a ball.
133,Increase the brightness
141,Activate the coffee pot
132,Set a reminder for tomorrow's meeting
143,Send a quick email reply to Jack.
136,Create a grocery list
142,Play new pop music
134,Never play that song again.
140,Mute audio for fifteen minutes
135,Show information on reminders
138,Check the current weather.
145,Show news from CNN
144,suggest a way to help my community today
146,Set a reminder one hour before lunch meeting
150,Find nearby gas stations
148,Increase speaker volume
147,Start the next episode
159,Identify your usual mistakes
157,Find the construction date of the Bolshoi Theater.
149,Show upcoming events today
156,Start Clash of Clans
160,Turn off the socket.
154,Identify the artist.
153,Turn on the kitchen lights.
158,Delete all calendar events
152,Open the clothes list
155,List current alarms
162,Turn off the sounds
151,Find Jayesh's contact number
161,Display the current local time in London.
166,Play the oldies station
165,Set first week of June as holiday
163,Turn off the lights.
169,Play the latest CNN news.
170,Show train schedules to the Metropolitan Opera House
172,add calendar note for event tomorrow at library
173,Book a train ticket to New York.
168,Stop playing this song
176,Play Celine Dion songs
167,List items on work list
174,Cancel March 2nd meetings and add Jim's birthday event.
175,Play my favorites playlist
164,Compute answers from search results like Wolfram Alpha.
177,Play ping pong
171,Open music app and play a song
178,Turn screen brightness to maximum
179,Make some coffee
180,Disable alarm for three p.m.
183,Find the easiest way to cook pasta.
186,Calculate three times four
181,Play a game with me
182,Reply to George's email requesting urgent money
188,Set recurring annual reminder for wedding anniversary presents
185,Start a pot of coffee
191,Set an alarm for 3:30 PM today
189,Save song to playlist
190,Delete the specified item
184,describe what a sphere is
192,Check for new messages in inbox
187,Set a reminder to pick up Linda at 5 PM on the 7th.
194,Check for new updates
195,Check news about the presidency
197,Search for Nandy
193,Get the current stock price of Exxon Mobil.
198,Check emails from John
203,Show the news
201,Find free events in my area today.
200,Check if dinner is ready.
205,Read the list
206,Book an Uber ride
199,Reply to this email
204,Define the term life
207,Check nearby events
202,Coordinate all pop song genres
210,Show remaining reminders
211,Play this morning's show from 101.9
196,Clear all events from my calendar
208,Set an alarm for the meeting at seven today
209,Decide between wearing sandals or shoes with socks.
213,Get a recipe for tuna.
217,Check for emails from employer
216,Check for new emails from Sara
214,Get the weather in Beijing.
215,Get directions to the mall
212,Show what I like today
220,Play BBC radio
223,Cancel the alarm
224,Set alarm for next Friday at six thirty am
221,Store the current email
219,Check for Amazon mail today
222,Delete events from calendar
226,Set a timer for thirty minutes
227,Show trending New York Times articles
218,Find interesting information from Bob's news
232,Reply to a received email
225,Find a description of a Samsung TV.
228,Express sympathy for my hard day
234,Identify which pole is colder.
235,Post my Goa trip photo on Instagram.
229,tell me what day Christmas falls on this year
233,Check for lighting news emails
231,Report the winner of this year's presidential election.
243,Turn on red lighting
236,Add list of things to buy for party
237,Check train ticket price to Chicago
240,Tweet a complaint at Comcast
241,Start a game and play with me
244,Make the room brighter
246,Play hits on the radio
245,Check if worker has a home phone number
230,Set a daily lunch reminder for 12:30.
242,Check for new friend requests
248,Show hockey game times tonight
239,Check if raincoat is needed now
238,Check for new emails from dad
247,Explain thanksgiving turkey cooking procedure in five sentences.
251,Check if anyone liked my photo
250,Mute the volume
259,Check trending topics on Twitter
255,Book a train ticket
254,count phone numbers for brenden
249,Delete all content
253,Set a reminder for ten minutes
262,Hold the current action
256,Show your current list
258,Show current Eastern Standard Time
257,turn on the TV
252,Read back the grocery list
264,remove anniversary event from calendar
263,Ask how long it takes to make vegetable lasagna
265,Disable speech for today
266,Rate current song as five stars
272,Show the movie schedule
270,Send meeting invite and block calendar for Friday
267,Put dark colors instead of light ones in the house
