doc_idx,category
1622,1
997,1
2038,1
307,1
815,2
667,5
1308,4
1608,1
352,0
1739,5
553,5
650,5
251,2
2062,3
181,4
1484,1
1775,3
664,3
1641,0
646,2
187,1
614,1
1162,2
1585,2
412,5
304,3
1352,4
316,5
621,0
876,10
1128,2
120,1
1992,5
1909,5
699,5
1558,5
2084,2
1856,5
89,2
907,2
1904,1
1048,4
1901,5
1615,4
1842,2
1009,3
1457,1
2147,2
1597,2
1398,4
626,5
1646,5
485,3
1088,2
1554,2
2116,4
881,1
325,2
564,4
1035,2
851,1
464,2
1910,3
963,1
487,6
41,0
1156,1
701,4
2221,5
68,0
186,4
1514,5
379,5
1261,5
587,7
1246,4
1399,4
1305,1
878,3
1029,3
1579,2
81,1
221,2
4,0
520,1
948,1
2080,2
1169,0
269,1
107,3
1892,1
806,3
65,0
1498,2
36,1
473,4
1213,2
1020,1
1692,5
1533,2
208,1
745,1
423,3
1152,3
1144,5
270,1
1664,1
1978,4
615,1
1837,2
1278,5
1631,8
380,0
735,0
1932,3
765,5
800,5
1630,10
1480,2
632,3
483,3
1656,2
246,5
862,0
593,4
1348,4
1728,1
1082,3
981,1
853,0
1482,5
78,0
1284,10
384,2
240,2
361,1
1750,0
1552,5
319,5
118,4
2191,1
1665,1
1236,5
930,6
1260,3
634,4
1422,10
666,7
890,0
589,3
2127,10
202,0
1221,0
752,5
945,2
974,2
321,1
569,1
2018,2
778,1
263,3
975,2
1654,3
2028,4
1265,1
2058,1
678,5
1993,5
1777,5
1776,0
462,5
1047,2
1369,4
921,5
558,4
949,1
525,3
1003,1
1199,2
1884,2
1761,2
1211,1
198,3
1982,0
1276,1
2200,2
591,1
2078,5
466,5
2151,5
1282,2
1367,1
792,4
1118,4
1164,0
891,0
1253,4
314,1
42,1
1079,5
579,3
939,1
276,1
2104,3
365,1
2171,4
1298,2
937,4
444,4
1364,5
1264,1
248,5
106,1
730,3
2025,2
347,5
1626,1
33,5
1873,4
416,2
1286,1
1325,2
182,5
773,5
1130,4
17,2
1578,3
1667,5
132,1
443,5
1949,0
1207,4
357,2
1285,0
1869,4
1021,1
656,0
1353,3
442,3
1497,4
1148,1
565,8
1699,4
1420,5
892,0
1299,3
1249,0
942,1
914,4
1151,3
1432,2
2163,0
624,5
1895,4
774,5
468,2
164,5
2178,2
374,5
299,0
658,5
1408,8
1561,5
1657,2
1090,1
547,4
1675,0
2121,0
175,5
1275,2
2158,5
278,10
72,4
154,0
859,2
1160,3
1784,2
223,8
1215,1
848,4
1000,7
1930,5
492,1
2136,2
1772,2
927,5
1109,4
494,0
438,2
713,0
1860,3
1850,10
938,2
1134,0
1470,1
1460,5
1989,0
1762,1
1060,0
2185,5
418,3
1469,2
2045,2
1737,2
530,3
27,2
1767,5
217,1
661,2
455,0
955,8
814,1
1403,1
1043,4
988,0
2073,5
894,1
875,5
1782,1
1651,1
1802,3
38,2
1233,1
2175,8
1067,2
1343,0
12,10
76,2
560,0
111,1
1024,0
1658,0
1190,5
358,5
528,5
1219,4
258,1
1517,2
633,0
1980,5
976,2
149,0
1303,5
2149,4
1960,1
1605,4
759,1
141,0
1200,4
1216,5
389,0
1244,0
1709,4
381,0
1879,0
2002,1
1180,1
1010,2
1577,5
552,2
1925,1
543,2
1149,3
2093,5
231,5
435,10
218,3
215,5
1581,5
1365,1
415,2
1682,1
719,3
1722,9
456,0
1023,6
787,0
812,2
1691,10
158,4
681,2
741,1
731,0
1935,5
1209,2
595,1
2011,8
57,0
1327,0
1683,5
1101,4
1886,3
1028,7
770,5
1339,3
61,5
450,2
996,3
289,1
1897,4
1116,5
762,5
1449,10
1542,5
1201,1
561,0
1231,5
2022,2
670,0
854,5
944,5
2032,2
1186,5
1039,0
1336,3
50,2
1007,0
2064,4
2206,4
1814,5
1697,5
1185,3
2190,0
1413,5
636,1
261,2
1123,0
712,5
1053,3
1415,2
1226,8
896,0
1780,2
598,8
1488,0
478,1
1065,4
1520,1
1936,5
1530,10
934,5
172,1
491,2
1331,5
1635,1
2052,5
482,2
1881,0
2209,3
2205,2
1967,2
1804,8
1567,10
1366,5
987,4
1309,0
2013,5
2033,2
247,5
779,5
1592,3
2075,5
1649,7
1926,1
275,3
1397,3
1836,1
2050,0
1515,3
843,1
1688,5
2000,1
1435,2
849,2
1248,4
1477,2
869,4
69,0
625,5
1757,0
1880,5
1165,1
1155,2
690,2
328,3
1679,0
1050,1
867,5
1841,5
2041,5
1668,1
723,2
2148,4
1142,3
370,2
505,1
364,5
1500,5
110,3
1998,5
390,2
1790,3
1159,2
856,5
1182,0
1674,4
1312,4
1671,1
1951,1
1266,0
1738,5
1677,0
1302,2
79,3
1015,0
326,2
460,0
1730,1
662,1
548,2
1948,7
803,2
119,3
206,3
970,5
819,1
1912,1
1698,5
1237,0
1255,1
1638,4
342,5
940,0
1071,8
1534,4
691,4
1243,2
841,3
171,5
1347,7
1898,4
831,3
193,1
652,2
718,0
1955,1
834,5
838,0
771,0
747,5
2017,1
1920,3
590,4
446,5
1036,1
109,2
1280,5
1681,0
905,3
1218,4
1696,5
1562,1
1290,2
871,2
2035,0
506,1
1518,0
1351,5
1493,3
1602,0
805,2
953,5
703,4
262,5
732,5
888,0
197,3
479,3
1119,4
113,1
1323,6
833,0
532,2
1502,2
339,1
882,4
2196,2
296,8
1380,2
829,0
671,0
836,5
941,3
503,5
1600,3
1971,1
555,1
440,5
1705,5
748,2
1150,1
2081,2
1099,5
1575,3
1268,2
1072,3
1744,5
989,0
1405,0
1329,5
631,2
155,10
1928,1
639,0
439,5
1430,5
2020,0
1195,0
377,5
1068,2
137,1
1818,6
180,5
1541,4
734,1
2087,1
533,1
40,0
281,3
1258,3
388,5
689,3
512,1
1903,5
115,0
1462,8
1751,4
1945,3
958,1
431,1
1475,1
298,0
2119,1
1711,2
1140,2
317,4
2156,2
1384,0
972,1
367,5
605,5
1516,1
1942,10
271,2
1338,2
1117,2
1817,3
820,9
2056,5
189,10
910,1
70,1
1081,3
151,1
1531,1
1433,1
654,1
1660,1
1105,1
1604,2
434,5
449,5
756,3
1623,1
697,3
918,5
1574,5
184,2
2009,2
1103,3
1214,2
1805,5
2150,3
1749,0
1559,2
18,0
105,5
1100,0
946,2
592,0
717,5
982,1
909,0
1865,1
291,1
1619,0
2026,0
1833,4
1414,2
1974,5
2213,1
474,1
1510,4
385,5
979,5
376,2
1494,2
2220,0
1793,9
1334,0
1362,5
1075,1
1256,1
769,9
584,4
1512,1
1985,0
2079,0
1239,1
28,2
1624,5
2170,4
1188,3
947,3
1969,3
1404,1
725,3
1192,2
908,0
1661,2
508,1
1835,4
1689,1
1545,0
1719,1
1136,5
1620,3
437,1
356,5
66,3
2051,10
983,2
594,4
1189,5
612,1
1700,3
852,2
2161,1
835,3
1297,4
916,5
1409,5
1727,3
1289,3
902,2
2143,0
617,6
961,2
67,2
1616,1
1421,2
1044,3
1463,2
618,5
1444,2
241,1
877,1
2077,0
1747,5
1743,5
6,0
507,1
453,0
471,4
136,1
1810,2
674,5
1228,3
968,1
1037,5
1923,5
604,3
1204,1
575,10
112,2
2049,0
722,5
340,2
502,7
150,4
267,5
1852,5
1467,3
799,0
433,4
518,2
297,2
1008,1
1740,5
1758,3
1283,2
1501,1
962,6
2182,2
977,4
1224,3
35,0
659,5
493,5
349,2
969,5
293,3
1131,10
926,1
1454,0
101,4
2070,5
1445,2
1966,1
1320,4
2177,0
1609,2
965,3
1474,0
2215,8
784,10
1193,0
1125,2
1723,0
2060,1
459,8
315,4
405,0
1702,2
606,2
1991,5
724,2
777,5
1245,1
858,5
311,1
396,2
1171,2
1175,1
47,2
749,5
549,5
1999,5
2193,1
648,5
2186,2
1797,2
1095,5
209,3
2106,5
99,1
1848,1
9,5
1355,5
602,5
194,3
398,1
2131,2
802,3
441,0
541,0
1713,5
1830,1
2139,3
720,3
915,2
842,5
1952,0
1618,5
1080,5
407,5
1379,4
1016,10
1868,0
318,3
1177,3
259,5
272,3
1636,2
1227,5
1507,10
301,1
1262,2
1769,2
539,0
1621,5
1754,0
1461,0
1063,5
1350,0
1593,0
1274,1
847,2
1318,3
1963,3
114,1
2181,1
465,4
201,1
973,5
1815,1
