doc_idx,category
302,18
1173,12
2368,1
359,13
2014,16
1403,10
226,14
266,14
821,1
483,0
2403,16
800,6
2062,6
68,1
14,2
479,2
199,11
788,17
670,18
1759,7
1548,16
345,6
561,14
1057,12
378,1
2078,5
1569,11
1411,6
339,16
1147,7
1275,12
865,14
969,24
1714,19
1201,15
2269,10
259,10
1861,0
101,0
1938,0
2454,8
1685,0
1984,14
21,0
1788,0
1280,14
1869,2
440,0
1090,0
1344,14
1950,0
79,0
1974,1
1010,14
1282,17
1412,1
2165,9
1897,7
1831,0
673,16
1213,9
1073,25
864,24
2151,13
1617,6
797,16
1121,16
2129,10
2380,5
2212,20
697,16
1056,0
2116,1
1947,18
1447,0
592,15
413,2
385,11
1726,12
1387,6
1348,3
1102,11
1483,16
1485,6
99,1
1349,15
54,1
209,2
2239,17
1075,1
407,15
2426,15
2231,3
1054,9
903,9
2101,3
2197,3
1998,2
462,10
2190,0
1240,0
952,1
965,14
480,14
428,0
578,1
436,16
768,2
2106,1
549,0
1740,0
2232,15
1037,6
2218,16
117,6
1952,12
1260,16
782,3
1503,3
739,20
1044,6
2320,0
1557,1
995,0
1224,1
818,2
844,0
1567,6
1565,6
1568,14
2028,14
2179,12
2275,2
2445,0
2100,11
942,0
2277,9
704,0
1814,16
2010,0
455,16
235,1
86,25
2118,11
1964,10
1585,24
963,1
299,10
1276,24
232,24
1293,24
250,14
160,5
2060,6
323,0
1932,1
1461,6
1871,0
487,0
1796,18
63,25
2202,10
1161,13
241,2
2469,2
2461,0
2396,19
2054,9
628,15
1174,18
555,14
1034,12
1327,0
2331,2
1735,0
1346,2
2140,11
495,3
2439,7
906,2
337,18
832,18
2055,18
347,12
1754,11
2235,6
2043,7
515,6
46,1
1435,1
1863,1
765,3
1820,6
538,13
836,14
2141,0
1294,14
741,0
2065,15
1859,11
1335,15
350,1
1815,16
876,15
263,16
605,0
1214,6
1607,7
249,6
1769,6
2246,1
2290,14
1794,13
1269,14
1966,17
190,1
2000,0
1204,0
1551,6
1043,16
2450,0
948,18
856,16
807,15
1310,1
2172,7
981,9
1611,0
1210,13
1884,18
671,14
2287,4
151,19
750,0
579,0
1674,0
360,16
1673,15
1405,16
936,16
912,3
1234,1
1537,5
917,14
751,10
1757,14
161,15
328,1
737,9
943,15
1211,0
355,0
1853,2
5,16
540,13
1699,0
1351,18
2117,3
1278,3
1063,0
1701,3
655,0
7,0
2009,16
325,2
344,0
1843,0
1149,16
1,14
509,18
1808,18
1907,14
892,8
2164,6
764,7
1886,7
820,5
1634,17
1314,8
2334,-1
1250,0
1975,5
70,6
305,0
2421,2
934,14
1041,0
1361,6
2114,3
1424,15
989,5
140,6
676,0
2382,0
408,1
2417,0
274,2
649,0
102,0
1189,3
2399,0
31,16
1103,15
393,15
2030,24
1880,0
845,18
2076,5
2131,15
1533,24
265,10
2215,16
1400,6
2348,6
2435,0
139,24
935,1
1670,16
1956,18
2237,1
732,9
1179,15
1148,14
689,6
1644,6
2107,24
1370,0
1969,0
1848,0
1046,19
144,0
69,15
1592,16
1711,14
1133,3
1538,0
1281,0
2352,1
464,0
1106,3
1478,6
2470,25
554,1
162,10
905,9
2092,0
893,9
1444,12
1926,1
1086,12
1578,16
1479,1
261,15
159,0
1256,0
188,1
1700,0
795,12
2134,14
60,18
502,0
1099,0
679,10
1906,9
2018,10
187,2
34,16
1842,7
1131,3
2330,0
478,15
907,0
719,0
1489,13
111,18
1636,9
577,0
1373,3
2446,0
1428,4
1360,0
168,1
1921,20
1303,0
468,18
2161,2
277,0
285,1
1983,1
1389,15
2063,0
775,0
1144,7
315,13
2087,1
40,14
2353,14
28,2
875,0
2436,-1
2355,0
2160,0
742,14
835,21
805,15
426,6
3,0
77,10
2345,6
2145,7
1626,16
1558,1
1083,18
2057,19
987,0
1117,16
1284,16
19,14
761,21
1172,0
508,5
1273,2
1738,3
1993,20
2312,6
2431,21
450,16
283,0
582,15
252,0
1526,2
198,0
1017,15
929,12
853,1
2264,0
1620,0
2108,14
2021,10
2183,1
1217,1
1666,12
1001,7
1141,16
208,1
931,14
167,0
1504,0
2372,15
1692,15
1309,6
512,18
2245,20
2103,0
1029,0
1856,14
846,11
1764,17
1004,14
2032,14
1077,9
1749,3
971,18
573,1
365,9
2388,2
1511,11
2193,5
391,8
384,0
1760,0
287,15
547,2
563,7
2241,19
625,0
132,0
1255,20
1287,0
135,18
93,2
437,15
1977,9
1391,1
2213,5
1574,7
652,16
361,16
678,2
2463,6
1917,6
871,1
1564,9
839,7
435,14
916,15
2344,7
142,14
1953,18
2001,18
2415,3
745,1
2358,9
1367,8
1742,1
255,0
581,3
1664,1
653,5
4,13
959,0
2153,16
1801,14
1341,14
746,7
224,0
95,11
1596,0
939,6
2253,10
1420,16
1847,0
114,13
1459,6
213,16
1920,0
1778,1
2226,5
562,7
295,5
2425,1
39,0
1840,1
909,12
2236,18
1069,1
1923,0
938,0
2276,16
772,20
1810,10
327,18
955,0
341,16
2189,7
514,16
433,19
1777,10
1167,10
2314,10
1209,5
1336,6
