doc_idx,category
2364,12
2336,13
953,9
852,0
2358,6
728,18
1904,17
1385,20
716,3
1540,19
16,19
2077,22
379,6
1906,6
2983,17
242,16
2879,0
224,0
2207,0
63,0
1482,22
606,12
900,7
365,13
1801,2
1254,10
248,13
1757,5
1668,9
751,10
2893,9
2151,16
957,1
850,10
86,0
1823,10
1055,0
465,5
1370,19
1295,0
2797,15
2412,0
214,0
1259,17
2145,19
598,0
1697,0
1059,3
2115,14
2811,17
1813,18
2401,16
2053,13
860,13
411,20
302,16
1122,12
2274,5
2685,16
1997,0
1220,0
2156,5
1279,9
1196,14
291,0
1332,0
375,0
1588,1
889,0
1201,22
2359,16
848,20
1930,18
1047,18
1168,13
2044,1
1143,13
2395,13
100,22
284,0
1383,6
44,0
2976,14
234,1
2543,5
2429,10
1684,12
874,0
1193,1
1006,0
1565,17
1010,14
1526,0
1686,1
506,0
1480,0
803,0
2042,5
624,10
1282,6
448,1
1356,1
2404,9
880,0
1420,0
336,19
2385,0
2688,17
806,11
578,11
1592,12
2577,6
892,9
2102,0
2289,6
1946,0
2066,15
1038,1
2078,2
393,0
1656,15
2547,10
2390,6
112,18
955,2
1737,5
2986,16
1113,0
1876,0
128,0
245,20
2478,0
2379,1
556,9
1884,18
2859,18
1806,2
2635,18
1208,18
1376,1
709,0
1610,22
762,22
840,17
1145,0
2476,9
1577,1
1079,7
1750,12
1751,0
2235,13
362,1
2108,0
1716,0
2400,14
2220,13
1564,2
2720,22
132,14
2627,18
684,0
1614,2
2269,12
707,2
896,1
775,0
496,0
790,13
2186,7
459,22
980,22
1738,9
2489,17
2312,10
2505,19
405,12
1327,12
1315,14
644,10
1768,6
437,10
2890,13
575,15
1710,17
2338,7
2190,11
1508,5
1042,20
335,18
2821,19
1392,22
1132,22
1821,13
917,19
1597,0
426,0
2134,5
1781,0
1641,15
825,16
1095,17
2444,16
1671,7
1895,11
252,1
923,0
2658,16
1077,6
1412,1
1621,17
1365,11
485,1
2867,0
262,6
144,0
2305,0
1726,20
1281,0
156,10
1442,7
990,0
2690,5
2719,18
2598,12
2136,0
103,3
1694,19
1736,0
1570,2
2987,0
2304,2
2809,11
1578,20
532,0
1314,19
208,0
1947,0
2898,0
947,22
1241,0
2636,9
1029,0
2925,5
1277,10
2105,10
2352,0
319,12
1381,6
842,14
673,14
592,7
449,10
205,10
37,0
1718,0
1735,0
1779,6
521,1
1426,10
1955,20
1175,22
2928,13
1021,14
1634,9
2630,7
1379,14
2768,22
1302,9
921,0
334,11
1916,22
961,7
130,18
1984,19
1128,22
1690,10
440,10
2202,0
939,5
655,22
1325,0
2825,17
2708,17
1036,7
2778,15
1549,0
911,0
2411,7
1402,7
907,20
283,20
2201,13
2094,0
727,0
181,14
1266,16
619,17
2340,7
2793,6
795,19
2130,13
271,15
2716,9
2008,0
111,0
1953,0
329,9
285,18
140,13
1492,22
2560,13
2994,7
2780,1
2920,18
621,0
203,19
387,0
1377,0
1630,5
19,5
988,7
2071,0
1035,5
50,0
1936,18
85,5
2458,0
2915,9
180,9
2578,1
2209,1
1506,13
415,0
1380,14
1980,0
1917,6
2537,17
2953,0
1571,11
1012,0
2765,5
797,0
2236,13
2965,12
2226,6
932,0
1251,0
2107,19
2969,22
2684,5
2624,14
1858,11
2089,11
2019,11
188,0
756,0
866,1
1659,10
1445,19
2292,19
1800,17
1358,7
389,0
1335,22
2849,0
403,22
1063,22
2425,19
65,19
893,14
1481,14
1977,0
550,12
1871,9
2554,22
213,18
2531,22
1981,7
1879,5
2245,-1
29,6
434,12
1092,0
220,9
215,13
2812,0
1728,12
757,0
2096,13
1974,13
306,11
98,0
68,13
2835,0
276,0
27,9
1901,6
110,10
2590,14
1342,10
562,20
1696,20
2095,10
2659,0
643,13
1598,20
919,0
906,0
587,20
1899,20
99,6
1550,1
1107,13
891,13
770,0
984,11
2496,0
666,16
1522,22
76,0
820,22
2963,22
124,16
1642,12
924,0
1425,12
2155,0
2335,22
2776,9
1866,13
2535,22
2779,0
2653,0
1276,0
2743,10
1313,7
769,7
744,11
1430,11
763,10
2865,12
812,10
2374,11
123,11
2414,9
749,1
2828,0
2670,0
1720,0
1968,0
2259,2
2448,12
1988,7
1937,7
2322,6
2607,0
1456,6
2664,12
1072,0
1171,0
1353,17
1804,0
80,0
1224,14
77,0
1631,0
442,14
2896,13
883,0
805,5
2759,7
324,10
1755,0
605,9
377,3
382,14
706,10
1853,6
1014,6
1809,6
1673,2
2502,10
293,15
0,9
927,0
1683,13
1557,9
327,13
266,2
186,1
1472,15
159,0
1940,13
1252,12
531,16
580,2
875,18
2090,19
445,6
1411,-1
1996,0
627,0
2407,9
2621,20
2445,13
733,5
2737,0
1645,0
2005,16
402,11
2196,14
2179,7
2528,10
2707,22
2421,16
1559,20
1649,13
2480,17
2075,1
918,0
1770,22
2697,10
1100,7
17,0
1674,0
778,0
1366,6
888,14
104,0
2850,13
1076,22
1005,14
1783,0
1831,9
114,20
685,20
2911,0
1567,13
2237,13
1943,5
495,6
1530,7
2945,8
2018,6
2815,14
2282,6
185,6
1888,20
1921,9
2662,0
174,20
2229,20
2714,17
1428,19
1569,0
910,17
1498,0
320,12
1574,0
2520,2
1253,0
1516,5
2348,19
1022,0
768,9
2762,2
2771,0
1166,16
346,0
308,22
2615,14
2649,0
1618,10
966,9
2014,17
2918,0
1606,12
1094,2
634,9
2820,14
573,2
2801,0
1223,0
515,0
1174,10
240,19
307,12
989,5
2265,11
633,7
1948,20
1362,13
1485,12
198,12
2845,6
702,16
2260,13
1033,11
2721,0
1803,13
2140,0
492,12
2172,6
739,0
73,0
383,1
2360,0
1926,5
479,7
879,0
2162,14
704,12
2139,11
1310,19
1604,0
1923,3
2410,14
2456,9
1677,5
1591,16
2663,0
1856,16
2060,22
1207,2
572,0
2391,2
1638,0
1329,3
1932,12
81,0
2372,0
615,0
13,6
2877,0
1320,7
564,0
481,1
1169,0
265,11
628,0
1703,0
2503,11
1586,11
1219,20
288,9
1665,20
2009,7
2325,16
916,10
1907,14
2346,14
2397,0
1706,6
909,6
385,0
1375,11
663,0
1102,12
1519,0
1733,14
2212,10
958,6
1826,19
2754,15
2427,7
2287,10
2349,10
1993,2
995,0
2837,0
3,22
2286,22
2438,0
641,11
2003,3
2908,14
2205,0
1639,10
2974,19
1815,0
2092,14
314,13
2149,7
2572,0
1822,0
1390,0
2652,19
1391,17
1154,2
2121,0
2133,9
2807,0
2050,12
987,11
390,13
648,10
133,2
2449,7
826,16
2334,-1
273,0
802,19
2957,0
934,14
2584,20
305,0
2930,6
454,0
2081,0
317,0
1499,1
2131,0
1020,22
1798,1
417,16
1221,0
1912,0
1234,10
2157,0
2227,16
398,0
1780,17
1180,19
2144,5
642,22
1475,6
1439,1
2253,1
1360,0
1421,2
272,0
483,20
2874,20
2786,7
2378,0
82,16
2761,16
908,1
597,16
800,-1
1312,2
1417,0
1371,0
517,0
2119,14
2468,16
1368,5
2713,10
66,1
2331,14
1887,5
2611,1
2509,13
1244,0
1025,2
2271,0
834,0
14,1
2781,22
653,13
35,12
1000,16
1292,5
1583,0
40,0
2386,1
1681,22
421,11
2368,22
672,0
2704,12
807,0
1663,7
1553,0
2832,19
985,7
974,1
2428,10
1227,0
2573,0
2487,1
2057,14
1625,22
264,6
2504,9
380,0
2951,0
338,2
1562,0
2403,5
1323,14
1080,9
348,0
715,0
683,10
1546,0
2683,15
2785,19
1722,0
23,19
2549,9
2620,19
2158,16
1280,5
2822,10
774,11
674,19
1026,1
682,0
2937,12
2388,9
344,0
312,22
735,19
2570,18
1311,9
2826,19
2070,7
773,0
654,22
64,20
294,0
2154,12
244,6
281,0
1233,12
548,22
1535,11
2116,10
2405,9
458,7
249,0
51,15
72,0
2169,9
2398,0
337,0
2039,11
861,19
1419,0
274,10
602,16
2442,14
2491,10
651,0
333,14
1756,9
462,20
2439,5
2239,0
1852,22
2399,0
152,0
457,0
577,0
2052,0
406,1
2243,9
2541,2
2643,12
1749,19
2644,12
1333,0
2599,22
649,1
2650,9
2956,0
464,13
1187,19
172,17
2309,13
2006,22
230,22
904,22
2626,5
359,2
2916,19
2280,7
290,19
827,0
732,2
2550,0
2247,0
1922,22
2430,22
1608,7
1318,0
2188,20
2015,9
2065,20
1892,7
2927,5
2080,4
2991,7
1373,0
2802,20
463,13
584,7
1938,0
2001,20
1701,17
2437,0
1512,0
2181,17
2661,1
1177,0
299,14
700,20
1269,18
1483,18
52,16
490,22
347,9
2161,22
2,1
1881,10
2159,0
460,12
1962,18
2666,19
1066,6
2709,0
2465,12
512,1
1791,17
2558,0
2514,14
2603,2
2668,0
2101,19
2419,0
679,6
712,14
2840,14
821,14
2647,14
113,6
141,19
1847,9
1116,9
1247,20
31,7
2817,1
1023,2
2490,0
2679,19
1555,5
1958,0
2606,0
1124,9
1572,1
2585,6
885,0
303,0
680,9
1941,15
84,0
2740,12
1924,22
1437,0
87,16
801,6
2671,5
1542,0
1551,20
1369,14
1603,0
2298,2
902,0
1898,2
1431,7
1046,12
1778,16
536,0
1471,6
2424,14
146,14
959,6
60,0
1797,10
2441,0
518,16
745,20
887,0
1776,0
61,0
2749,20
2016,7
235,0
1808,19
41,19
2580,19
2529,20
1393,13
996,0
1249,0
2855,18
1214,14
1825,22
164,-1
