doc_idx,text,true_label
0,"Although his teams were outmatched by opponents, Robinson was respected as a disciplinarian coach, and drew the admiration of, among others, Langston University basketball player Marques Haynes, a future member of the Harlem Globetrotters.. The event trigger is coach.",9
1,"Its president was José Manuel Barroso, who presided over 27 other commissioners (one from each of the states composing the European Union, aside from Portugal, which is Barroso's state).. The event trigger is president.",15
2,"Mahmoud Abbas welcomed bin Laden's death, while Ismail Haniyeh, the head of the Hamas administration in the Gaza Strip, condemned what he saw as the assassination of an ""Arab holy warrior"".. The event trigger is administration.",15
3,"Others include Adrienne de Noailles, wife of the famous marquis de Lafayette; Philippe, King of the Belgians also descended maternally from Françoise Charlotte.. The event trigger is wife.",16
4,Devlet Bahçeli (born 1 January 1948) is a Turkish politician who has been the chairman of the Nationalist Movement Party (MHP) since 6 July 1997.. The event trigger is chairman.,15
5,"After a U.S. tour in the spring of 2009 and other dates following, Superdrag again became inactive after a May 22, 2010 performance in tribute to the recently deceased Big Star frontman Alex Chilton.. The event trigger is performance.",14
6,"Cuthbert competed for her native country of Jamaica in the 1992 Summer Olympics held in Barcelona, Spain, in both the 100 meter sprint and the 200 meter sprint in which she won the silver medals in both competitions, finishing behind the Americans Gail Devers and Gwen Torrence respectively.. The event trigger is silver.",21
7,Charge anyone entering $20 and require legal state issued ID. The event trigger is Charge.,29
8,Initially someone created a software concept that would produce Bitcoins quickly but as time passed it became more difficult to create them After about 8 million Bitcoins were produced even groups of people with computers couldnt produce Bitcoins without using more electricity than the current trading value of a Bitcoin and then companies produced special hardware that was designed for the sole purpose of producing Bitcoins When 20 million Bitcoins are eventually produced no more Bitcoins can be produced. The event trigger is produced.,1
9,"She finished a combined 1.74 seconds behind Isabelle Blanc in the parallel giant slalom in snowboarding competition at the 2002 Winter Olympics in Salt Lake City, an event that the two French snowboarders had dedicated to the memory of teammate Régine Cavagnoud, who had died in a 2001 training accident.. The event trigger is competition.",21
10,"Ninety-nine of those medals were won at Summer Olympic Games, with the sole Winter Olympic Games medal being the silver won by Annelise Coberger in alpine skiing at the 1992 Winter Olympics (the first Winter Games medal ever by an individual from the Southern Hemisphere).. The event trigger is medals.",21
11,"Active alumni include countertenor David Daniels, Boston Pops conductor Keith Lockhart, and violist Roberto Diaz, president of the Curtis Institute of Music.. The event trigger is president.",15
12,Keep in mind a few things in play Go to Africa and youll find non-white dudes killing thousands Secondly you have to recognize there is a different reference point between society is view of those who are dominant and those who arent Long under attack the White guy is considered still the race/sex that has every thing easy You cant really say it was his culture However it plays better if it is the underdog who is trying to fight the power and this was their last stand. The event trigger is this.,2
13,"Christopher Elton is a British pianist, former Head of the Keyboard department of the Royal Academy of Music in London and a professor emeritus of the University of London.. The event trigger is professor.",9
14,It is not worth sending anything to Portugal from outside the EU It sits forever in customs and they make up the duty and iva as they feel fit If you can have it send to another EU country and pay the extra postage and get it before you die. The event trigger is die.,8
15,"The Spanish Royal family were in the city to celebrate the marriage of her maternal uncle Infante Ferdinand, Prince of Asturias to Princess Maria Antonia of Naples 6 October 1802.. The event trigger is marriage.",16
16,"Montagu's position was further strengthened in 1705 by the marriage of his son and heir to Mary, daughter of John Churchill, 1st Duke of Marlborough and Sarah Churchill, Duchess of Marlborough.. The event trigger is marriage.",16
