doc_idx,text,true_label
0,make a coffee,0
1,remind me to pick up mark at the airport at six p. m.,1
2,remind me to get the oil changed,1
3,change volume to thirty five percent,2
4,play some good song from my play list,3
5,schedule a meeting with the accounting department on two thirty p. m. on friday,1
6,show me the contents of the list,4
7,i need some rap,3
8,reply to email,5
9,if it's sunrise in stockholm what time is it in okinawa,6
10,find an oscar nominee movie,7
11,turn off the socket,0
12,is it going to be sunny next tuesday,8
13,check new emails,5
14,what is the chance of precipitation in todays weather,8
15,hey olly i missed you,9
16,erase that from my calendar,1
17,facebook,10
18,should i bring a jacket with me tonight,8
19,tell me today's date,6
20,remind me to contact old friends that i have not talked with in six months before they pass,1
21,show me nearby musical events,7
22,what is the date for next tuesday,6
23,what sound does a dog make,9
24,don't talk until i ask you to,2
25,remove my appointment with my doctor on saturday please,1
26,list me the stock of apple right now,11
27,olly tweet apple that the iphone doesn't work,10
28,turn off the bathroom light please,0
29,who mailed me yesterday,5
30,olly if any new news comes out about the flood can you let me know right away,12
31,if it's five am in berlin what time is it here,6
32,have i received new emails in the last ten minutes,5
33,what time is it in london,6
34,play my playlist party songs,3
35,olly what is the weather forecast for today,8
36,add a meeting at the office with brian for three p. m. on tuesday,1
37,mention event in calendar with others,1
38,i helped a poor needy today olly,9
39,how do i make pizza,13
40,do i have anything set for the fourth of july this year,1
41,clear data,2
42,make a repeating reminder for this calendar event,1
43,what day of the week was december four one thousand nine hundred and eighty two,6
44,music,3
45,what's this week's weather,8
46,play,3
47,find out what song this is and tell me the name,14
48,could you please play the classical music for me,3
49,delete event from calendar,1
50,please remind me to call mom in half an hour,1
51,can you please order some food for me,15
52,what's ten percent off forty dollars,11
53,can you remind my next meeting with my boss one hour before it will happen,1
54,new gadgets,9
55,tell me the funniest joke that was ever told,9
56,remind me to call mom every tuesday at ten am,1
57,brighten up the lighting,0
58,what are the headlines on c. n. n.,12
59,olly what day of the week is halloween,6
60,book a cab to office for me,16
61,what is going on on december fourth,1
62,please modify my calendar with this event,1
63,play radio with nonstop songs,3
64,please show me marathon nearby me,7
65,switch off the lights,0
66,play the song major tom by david bowie,3
67,olly set alarm for reminder,17
68,look up the number of people living in miami florida,11
69,on monday the twentieth i need to have a conversation with greg about our weekend trip,1
70,could you please play the song from the artist madonna,3
71,please compose a new email to coworker,5
72,yes or no tomorrow's temperature is to be hot,8
73,alexa turn the lights down to seven,0
74,august fifteenth is what day of the week,6
75,play next episode of podcast,3
76,i want to listen to a sports podcast,3
77,turn up the brightness,0
78,what is the latest update on the new york bridge proposal,12
79,can you change the volume at,2
80,email naty for her birthday,5
81,go to the washington post website,12
82,can you please make a coffee,0
83,stop start the juice,0
84,find naty from my contacts and send her an email,5
85,tell me about this week's weather,8
86,elections in up,12
87,please play some jazz music,3
88,do not talk,2
89,send email to new contact,5
90,open games,3
91,add this person's email,5
92,check most current emails,5
93,send me a reminder of my meeting with tom next friday,1
94,open a reminder about next weeks managers meeting on tuesday,1
95,tune in to eight hundred and ninety seven f. m.,3
96,song title,14
97,suffering consequences,11
98,how have megatel shares done last week,11
99,f. m. ninety three point five radio songs,3
100,hey siri what's the time,6
101,what is the weather in pittsburgh,8
102,what is a work phone number of emilia,5
103,send mom an email now,5
104,could you please find me the latest news from a source that i do not usually go to,12
105,what date is it today,6
106,can i get delilah on the radio in the bedroom,3
107,please let me know the dog shows events going on in my home town,7
108,create a playlist,4
109,i want you to go to hot one hundred and five on the radio,3
110,is it going to rain on monday,8
111,what are my pending tasks,1
112,compose a reply to last email,5
113,what's jlo up to,9
114,what kind of music do you think i like,14
115,make the light in here redder,0
116,what is the current time in chennai,6
117,get rid of all events with jeff,1
118,when is my brunch with jennifer,1
119,how to get somewhere,16
120,get me the popular news from b. b. c.,12
121,turn off the porch light,0
122,can you play rock music for the next hour,3
123,tell me something to remind this week,1
124,what times are my alarms set for,17
125,turn off the bathroom lights,0
126,add my car payment on the twelfth in my calendar,1
127,let's play music hits,3
