doc_idx,rewrite
12,illuminatus plays alternative metal
1,Status Quo was signed to Pye.
2,iPhone 4S supports iOS.
8,Cuenca is located in Castilla-La Mancha.
7,Arseniy Yatsenyuk is the Prime Minister of Ukraine.
6,Duero is located in the Iberian Peninsula.
15,The Gates of Rome is based around the life of Julius Caesar.
18,Wayne competed at the 1976 Montreal.
13,Abdul Haseeb Khan is a politician.
17,European Union adopted framework decision
21,Geddy Lee plays the bass guitar.
22,Centerville Historic District is listed on the National Register of Historic Places.
25,Joakim and Niels are brothers.
26,Doug Magnus is affiliated with the Republican party.
4,Carl Peters founded German East Africa.
0,Frank Zappa is a musician.
11,Ramon Llull University contains ESADE.
28,USA is an abbreviation of United States Air Force.
24,Eurovision Song Contest won by Carola.
29,Kryvyi Rih is located in Dnipropetrovsk Oblast.
3,Frank Zappa created Uncle Meat
30,Central Europe contains Germany.
23,2007 election preceded Samak Sundaravej's prime ministership
31,Guardian Building is listed on the National Register of Historic Places.
9,Netherlands national football team competed at 1998 FIFA World Cup
33,part of
32,Emma Lincoln-Smith participated in the 2010 Winter Olympics.
27,Le Dernier qui a parlé... is a French song.
37,Croatia participated in the 2017 China Cup.
38,kokis is available in Sri Lanka
35,Ove and Henrik Bjelke are brothers.
36,Thunderjet is a product of Republic Aviation.
39,Toujours un ailleurs is an album by Anggun.
34,Bicentennial Man was written by Isaac Asimov.
40,Tamil Nadu contains Tiruvannamalai District.
45,Part of
43,part of
41,Vladimir Vavilov wrote Ave Maria.
44,Fantasia International Film Festival is located in Montreal
14,Nancy Pelosi was elected Speaker after the 2006 elections.
47,Archil Gomiashvili portrayed Ostap Bender.
46,Suzanne Baker won Best Animated Short.
42,Alonzo Cano was a Baroque artist.
16,"Wally Masur is from Sydney, Australia."
19,Shōnen Sunday Super is published by Shogakukan.
51,"Bloods is located in Los Angeles, California."
52,Wikimedia Foundation hosts English Wikipedia
53,Peter Case released an album on Geffen Records.
56,Mount Davis is located in the Allegheny Mountains.
54,Vedad Ibišević scored a World Cup goal.
57,"Cecil County Airport is located south of Elkton, Maryland."
50,Williamsport Armory is listed on the National Register of Historic Places.
55,Johnswood is listed on the National Register of Historic Places.
58,Abraham DeSomer served in the United States Navy.
20,Vortex Comics is based in Toronto.
5,Fistful of Metal is the debut album of Anthrax.
10,Palazzo Gualino was built by Gino Levi-Montalcini.
49,Harvest Moon: Friends of Mineral Town is a Game Boy Advance game.
48,Bosom Buddies aired on ABC.
67,"Scott Weiland is not from Los Angeles, California."
69,Menhaj Huda directed Kidulthood.
72,Safe is directed by Todd Haynes.
68,Mary Palmer is the sister of Sir Joshua Reynolds.
64,2016 FIFA Club World Cup participant
76,Sweetnighter is an album by Weather Report.
73,Legislative council is part of New Brunswick.
59,Knud Kristensen broke away from Venstre.
60,Microsoft Office is an application running on macOS.
75,Blakeney Point is owned by the National Trust.
70,Pripyat is a tributary of the Dnieper.
62,Salcombe Lifeboat Station was established by the Royal National Lifeboat Institution.
74,Night Watch was directed by Timur Bekmambetov.
63,One Step Beyond is a cover of a Prince Buster song.
83,part of
81,Tim McGraw recorded Watch the Wind Blow By
78,1971 and 1972 are consecutive years.
84,His first season occurred in the second division.
88,Toyota Motor Corporation owns Toyota Motor Engineering & Manufacturing North America.
87,Ooh La La is a song by Faces.
89,calming the storm is an instance of the miracle of jesus
91,Jean is the son of Philippe VI.
82,Kennebec Valley Community College joined the Maine Community College System.
86,motru is the main river of coșuștea river
80,Secrets of Rætikon is available on Windows.
85,Tsang Yok-sing participated in the 2008 Legislative Council elections.
79,Yitzhak Zamir is the Attorney General.
77,Antal Bolvári competed in the 1956 Summer Olympics.
94,Daniel Clowes was nominated for the Academy Award for Best Adapted Screenplay.
96,Michelle Magorian wrote the book of the same name.
97,President of Mongolia
98,autonomous spaceport drone ship is named by spacex
99,"Kitselas Canyon is located at Kitselas, British Columbia."
100,Chris Froome participated in the Tour de France.
95,Jeff Beal composed the music for Ugly Betty.
101,Kurgan Oblast contains Dalmatovsky District.
105,Jacques Tits contributed to group theory.
107,Christina is a female variant of the name.
108,Dustin Lance Black is an Academy Award winner.
103,Thomas Schroll participated in the 1992 Winter Olympics.
104,Szczytno County contains Gmina Świętajno.
109,Pico do Fogo is located in Cape Verde.
102,Great End is located in the Lake District.
106,Oppland contains Vågå.
113,Swissôtel Tallinn was designed by Meeli Truu.
112,Arthur Caplan works in the field of bioethics.
114,TrickStyle is a Dreamcast title.
116,2019 European Games took place in Minsk
119,Loyal Regiment is part of the British Army
115,Loyalties was written by John Galsworthy.
117,Renée of France is the daughter of Louis XII of France.
110,season is the duration of sporting de gijón's loan
121,Mount Massive is located in the Sawatch Range.
123,Royal Exchange was designed by Sir William Tite.
120,Josef Kammhuber was a leader of the Luftwaffe.
66,Drachen Fire was manufactured by Arrow Dynamics
71,Hoetger created Expressionist work.
65,The Elms was designed by Horace Trumbauer.
124,Quatro Rodas is published by Editora Abril.
122,Triticeae is a tribe.
61,"William, Duke of Nassau is the son of Frederick William, Prince of Nassau-Weilburg."
127,109 squadron is based at Ramat David
129,2008 contest featured Eglė Jurgaitytė
130,"KRDX is licensed to broadcast from Vail, Arizona."
132,Tim Kring co-wrote Teen Wolf Too.
126,Kdenlive is available for FreeBSD.
133,Amazon River is located north of Purus.
128,Aries is an astrological sign.
