doc_idx,rewrite
10,Sports broadcasting
5,College football quarterback change
1,Sports broadcasting
0,Minor League Baseball
3,Louisville football performance comparison
7,Basketball game attendance record attempt
8,Lacrosse game score update
11,Cricket match results and player performance.
13,NRL match analysis
4,Major League Baseball television scheduling
2,Chicago Blackhawks home game tickets
6,Arkansas State Football game broadcast availability
9,Sports fan kindness
12,College football game updates
23,Ice hockey
17,College baseball
15,College football
14,Arizona Diamondbacks baseball team performance
21,Soccer game result
20,Basketball classification game results.
22,Big Ten Network streaming issues
27,College football
16,Pre-season football fixture announcement.
18,Sports game result
25,Buffalo Bills football game
19,Rugby league championship victory
24,Sports game result
26,Atlanta Falcons football game
36,Youth soccer development
38,Dallas Cowboys football game
28,NFL officiating and accountability
29,Rice Football week two recap.
35,Cricket match results and upcoming fixture.
30,Women's floorball final game.
39,Milwaukee Brewers vs Chicago Cubs baseball game result
32,Philadelphia Eagles football performance
34,Cleveland Browns football game
31,Philadelphia Eagles football performance
33,Washington Football performance in the red zone
40,National Football League
37,Sports game announcement
41,League of Legends esports prediction
43,Professional esports playoff match.
55,Professional wrestling match.
54,Rap battle event results.
44,Pittsburgh Steelers quarterback controversy
50,Miami Dolphins football game analysis
42,Soccer game result
49,High school sports
51,NFL football game betting analysis
47,Baseball game highlights
45,High school hockey game lineup
48,Sports game analysis
46,NFL officiating controversy
52,College football picks
53,Syracuse football game attendance
56,Tyson Fury vs. Otto Wallin boxing match
65,Amateur soccer match announcement
64,Sports match result
63,India vs South Africa cricket match.
62,Girls football match
68,Professional wrestling match announcement.
66,NFL football game
67,NBA basketball game
60,NFL football game predictions
59,High school football game recap.
58,NHL preseason game prediction
70,Kansas college football history
61,High school basketball game score.
57,NFL player roster moves
71,Detroit Lions special teams issues
69,Cricket match announcement
72,UFC lightweight division matchups
73,Miami Dolphins team performance
76,Pittsburgh Pirates baseball team performance
74,NFL schedule change
75,Professional soccer match.
81,Women’s Tag Team Championships wrestling match.
77,Men's soccer game updates
79,Kansas City Chiefs football game recap
84,Todd Bowles' record against rookie quarterbacks.
78,Patriots football game recap
86,Sports memorabilia
80,Men's soccer game results
88,Saluki Football game performance
83,Gaelic football match announcement
87,Baseball game updates.
82,New York Giants quarterback change
85,Soccer match highlights
90,Club league goalkeeping records
89,Quinnipiac field hockey game preview
91,American football strategy
95,Boston Red Sox baseball update
92,Sports football game victory
94,Baseball game update
101,Green Bay Packers memorabilia
99,Professional football player performance.
98,Football manager recruitment
96,American football roster moves.
93,T20 World Cup cricket tickets
97,Kentucky football offensive strategy
100,American football player performance
103,Jeff Janis football trading card
107,Baseball
105,Green Bay Packers football memorabilia
108,Football offensive strategy
104,Philadelphia Eagles football
106,College football officiating
102,Green Bay Packers locker room culture shift
109,NFL football game
112,Rugby league refereeing decisions
118,New York Jets football offense
120,Tennessee Titans football
121,NFL football game live stream
117,Christian McCaffrey's NFL running back ranking.
122,Buffalo Bills football victory
114,Fantasy football trade advice
115,Horse racing.
116,Horse racing
110,Sports team engagement promotion
123,NFL officiating controversies
111,Sports team fandom.
113,Professional foul controversy in rugby league.
119,American football
124,Baseball strategy mistake
128,NFL player injury news
132,NFL officiating controversy
136,Seattle Seahawks football performance
126,NFL football game controversy
129,Cricket catch.
130,San Francisco 49ers football team
134,NFL game officiating
125,NFL officiating controversy
133,NFL officiating rules
135,Cleveland Browns football game takeaways
127,Green Bay Packers victory over the Dallas Cowboys
137,San Francisco 49ers football performance
139,Houston Astros World Series
141,Jose Altuve sending team to World Series
149,Detroit Lions football game day
144,Houston Astros baseball history
142,Houston Astros advancing to the World Series
140,Virender Sehwag's destructive batting style.
143,Professional baseball
148,Professional football match.
146,Houston Astros World Series appearance
145,Houston Astros World Series celebration
152,Cincinnati Bengals NFL football team
150,Rugby player Anton Lienert-Brown
160,College football game update
153,NFL football game performance
151,Arsenal midfielder Jordan Nobbs interview.
156,NFL football player performance
155,NFL football picks
157,Detroit Lions vs Minnesota Vikings football game
162,Chicago Bears football
159,Tiger Woods leading a golf tournament
154,Rugby World Cup refereeing performance
158,Sports betting picks and predictions.
161,WNBL basketball game updates and schedule
163,Los Angeles Chargers football victory
165,Denver Broncos offensive struggles
172,Los Angeles Clippers vs San Antonio Spurs basketball game
164,Los Angeles Chargers football game
168,Los Angeles Lakers jersey number opinion
167,Passionate reaction to a football game.
171,High school sports event tickets
169,NBA basketball game broadcast
170,Kimball Volleyball playoffs
166,San Francisco 49ers football
173,Professional wrestling storytelling and continuity
177,Los Angeles Clippers basketball
175,Professional basketball rivalry game
178,NBA game commentary quality
174,Los Angeles Clippers' load management controversy.
176,Women's basketball season preview.
180,UFC 244 fight results
183,UFC middleweight fight results
182,UFC 244 main event finish reactions
184,Davante Adams returning to football lineup
186,Stephen Thompson's victory at UFC 244.
181,Mixed martial arts
179,Los Angeles Lakers load management plan
185,UFC event at Madison Square Garden
187,Cricket formats analysis
190,Derrick Lewis' UFC 244 fight.
189,UFC 244 main takeaways
194,Canadian sports broadcasting limitations
192,Green Bay Packers offensive line holding
188,High school football.
195,Entertainment
191,Jorge Masvidal's UFC title shot.
