doc_idx,text,true_label
0,make a coffee,0
1,remind me to pick up mark at the airport at six p. m.,1
2,remind me to get the oil changed,1
3,change volume to thirty five percent,2
4,play some good song from my play list,3
5,schedule a meeting with the accounting department on two thirty p. m. on friday,1
6,show me the contents of the list,4
7,i need some rap,3
8,reply to email,5
9,if it's sunrise in stockholm what time is it in okinawa,6
10,find an oscar nominee movie,7
11,turn off the socket,8
12,is it going to be sunny next tuesday,9
13,check new emails,10
14,what is the chance of precipitation in todays weather,9
15,hey olly i missed you,11
16,erase that from my calendar,12
17,facebook,13
18,should i bring a jacket with me tonight,9
19,tell me today's date,14
20,remind me to contact old friends that i have not talked with in six months before they pass,1
21,show me nearby musical events,15
22,what is the date for next tuesday,14
23,what sound does a dog make,11
24,don't talk until i ask you to,16
25,remove my appointment with my doctor on saturday please,12
26,list me the stock of apple right now,17
27,olly tweet apple that the iphone doesn't work,18
28,turn off the bathroom light please,19
29,who mailed me yesterday,10
30,olly if any new news comes out about the flood can you let me know right away,20
31,if it's five am in berlin what time is it here,6
32,have i received new emails in the last ten minutes,10
33,what time is it in london,14
34,play my playlist party songs,3
35,olly what is the weather forecast for today,9
36,add a meeting at the office with brian for three p. m. on tuesday,1
37,mention event in calendar with others,1
38,i helped a poor needy today olly,11
39,how do i make pizza,21
40,do i have anything set for the fourth of july this year,22
41,clear data,16
42,make a repeating reminder for this calendar event,1
43,what day of the week was december four one thousand nine hundred and eighty two,14
44,music,3
45,what's this week's weather,9
46,play,23
47,find out what song this is and tell me the name,24
48,could you please play the classical music for me,3
49,delete event from calendar,12
50,please remind me to call mom in half an hour,1
51,can you please order some food for me,25
52,what's ten percent off forty dollars,26
53,can you remind my next meeting with my boss one hour before it will happen,1
54,new gadgets,11
55,tell me the funniest joke that was ever told,27
56,remind me to call mom every tuesday at ten am,1
57,brighten up the lighting,28
58,what are the headlines on c. n. n.,20
59,olly what day of the week is halloween,14
60,book a cab to office for me,29
61,what is going on on december fourth,22
62,please modify my calendar with this event,1
63,play radio with nonstop songs,23
64,please show me marathon nearby me,15
65,switch off the lights,19
66,play the song major tom by david bowie,3
67,olly set alarm for reminder,30
68,look up the number of people living in miami florida,31
69,on monday the twentieth i need to have a conversation with greg about our weekend trip,1
70,could you please play the song from the artist madonna,3
71,please compose a new email to coworker,5
72,yes or no tomorrow's temperature is to be hot,9
73,alexa turn the lights down to seven,32
74,august fifteenth is what day of the week,14
75,play next episode of podcast,33
76,i want to listen to a sports podcast,33
77,turn up the brightness,28
78,what is the latest update on the new york bridge proposal,20
79,can you change the volume at,2
80,email naty for her birthday,5
81,go to the washington post website,20
82,can you please make a coffee,0
83,stop start the juice,34
84,find naty from my contacts and send her an email,5
85,tell me about this week's weather,9
86,elections in up,20
87,please play some jazz music,3
88,do not talk,16
89,send email to new contact,5
90,open games,35
91,add this person's email,36
92,check most current emails,10
93,send me a reminder of my meeting with tom next friday,1
94,open a reminder about next weeks managers meeting on tuesday,1
95,tune in to eight hundred and ninety seven f. m.,23
96,song title,24
97,suffering consequences,37
98,how have megatel shares done last week,17
99,f. m. ninety three point five radio songs,23
100,hey siri what's the time,14
101,what is the weather in pittsburgh,9
102,what is a work phone number of emilia,38
103,send mom an email now,5
104,could you please find me the latest news from a source that i do not usually go to,20
105,what date is it today,14
106,can i get delilah on the radio in the bedroom,23
107,please let me know the dog shows events going on in my home town,15
108,create a playlist,39
109,i want you to go to hot one hundred and five on the radio,23
110,is it going to rain on monday,9
111,what are my pending tasks,22
112,compose a reply to last email,5
113,what's jlo up to,11
114,what kind of music do you think i like,24
115,make the light in here redder,40
116,what is the current time in chennai,14
117,get rid of all events with jeff,12
118,when is my brunch with jennifer,22
119,how to get somewhere,41
120,get me the popular news from b. b. c.,20
121,turn off the porch light,19
122,can you play rock music for the next hour,3
123,tell me something to remind this week,1
124,what times are my alarms set for,42
125,turn off the bathroom lights,19
126,add my car payment on the twelfth in my calendar,1
127,let's play music hits,23
