doc_idx,text,true_label
0,Khunik-e Pain (Persian: خونيك پائين‎ also Romanized as Khūnīk-e Pā’īn and Khūnīk Pā’īn; also known as Khānaq Khānaq-e Pā’īn and Khānaq-i-Pāīn) is a village in Qaen Rural District in the Central District of Qaen County South Khorasan Province Iran. At the 2006 census its population was 399 in 103 families.,9
1,Alief Elsik High School is a high school in the Alief region of Houston Texas.Elsik is divided into two campuses: the main campus (12601 High Star in Houston zip code 77072) and the Alief Elsik Ninth Grade Center (located at 6767 South Dairy Ashford city of Houston 77072) which serves ninth graders. Both campuses which are in the Alief Independent School District serve grades 9 through 12.,2
2,The Honda Silver Wing and Honda Silver Wing ABS are scooters designed and manufactured by Honda. The name SilverWing was also used for an earlier motorcycle series including the GL500 and GL650. In 2001 Honda resurrected the Silver Wing brand this time in the form of a 540 lb (240 kg) 582 cc maxi-scooter. It has a CVT transmission.,6
3,Polyscias quintasii is a species of plant in the Araliaceae family. It is endemic to São Tomé and Príncipe.,11
4,Dust in the Wind is a live album from American rock band Kansas released in 2001. It is the same performance as that on the King Biscuit Flower Hour release but with the tracks in a different order.,12
5,Soulnik is the second of two albums led by American jazz bassist Doug Watkins featuring tracks recorded in 1960 and released on the New Jazz label.,12
6,Dallas Preston Kruse is the producer of Suburban Legends' 2007 Japan-only album Dance Like Nobody's Watching: Tokyo Nights an extended version of their 2006 EP release; their 2007 album Infectious and their 2008 album Let's Be Friends... and Slay the Dragon Together.,3
7,The Talbot County School District is a public school district in Talbot County Georgia USA based in Talbotton Georgia. It serves the communities of Geneva Junction City Manchester Talbotton and Woodland Georgia.,2
8,A. S. Rugge House is a historic home located at Glens Falls Warren County New York. It was built about 1880 and is a 2 1⁄2-story gable-roofed brick Italianate style residence. It features 1-story side and entrance porches with turned posts and paneled balustrades.It was added to the National Register of Historic Places in 1984.,7
9,McIntosh Laboratory is an American manufacturer of handcrafted high-end audio equipment based in Binghamton New York. The company was founded in 1949 by Frank McIntosh. McIntosh is highly recognizable for their black glass front panels McIntosh Blue amplifier power meters and iconic logo.,1
10,The Swan Princess Christmas is a 2012 American computer-animated family/fantasy film directed by Richard Rich produced by Crest Animation Productions and distributed by Stage 6 Films. It is the fourth film in The Swan Princess series and follows the adventures of Odette and Derek celebrating their first Christmas together.,13
11,Belinda (1986) is a novel by Anne Rice originally published in 1986 under the pen name Anne Rampling.Belinda follows in the footsteps of Exit to Eden in its themes of the darker side of human romance. Whereas the latter novel explored BDSM Belinda explores the relationship between a grown man and an underage girl.,14
12,The Schwarzhorn is a mountain of the Bernese Alps located between Brienz and Grindelwald in the Bernese Oberland. With a height of 2928 metres above sea level it is the highest summit of the group north of the Grosse Scheidegg. The Schwarzhorn is also the highest mountain in the Commune of Brienz.A small glacier named Blau Gletscherli lies on the north side of the mountain.The Schwarzhorn is regarded as one of the most stunning look-out peaks in the Bernese Oberland.,8
13,Březina (Jičín District) is a village and municipality in Jičín District in the Hradec Králové Region of the Czech Republic.,9
14,The Trion City School District is a public school system located in Trion Georgia. In February 1990 it fell victim to a devastating flood. This was considered the worst disaster Trion has experienced. In 1996 the Pre-K Elementary and High schools were combined and relocated to 919 Allgood Street Trion Georgia. It serves students from Pre-K through twelfth grades. The school system accepts students living in Trion and surrounding counties.,2
15,Angélique Kpasseloko Hinto Hounsinou Kandjo Manta Zogbin Kidjo commonly known as Angélique Kidjo is a Grammy Award–winning Beninoise singer-songwriter and activist noted for her diverse musical influences and creative music videos. Time Magazine has called her Africa's premier diva. The BBC has included Kidjo in its list of the African continent's 50 most iconic figures.,3
16,Parrsboro Regional High School also known as PRHS is a school located in Parrsboro Nova Scotia Canada. PRHS consists of six grades- 7891011 and 12 with approximately 250 students and with two classes per grade; generally known as ClassA (11A for example) and ClassB (11B for example.) PRHS is located adjacent to Parrsboro Regional Elementary School. Students attend both schools from about a twenty-five kilometer radius.The school's sports teams are called the Warriors.,2
17,Christoph Christian Sturm (1740–1786) was a German preacher and author best known for his Reflections on the Works of God in Nature. The son of Johann Jakob Sturm a lawyer at Augsburg was born at Augsburg January 25 1740. He studied at the universities of Jena and Halle. He was then appointed in 1762 as one of the masters in the Paedagogium at Halle and in 1765 became Conrector of the school at Sorau at that time still part of Brandenburg.,3
18,Lac d'Ourrec is a lake in Hautes-Pyrénées France.,8
19,Melissa Woodbury (born in 1969 in Palo Alto California) is an American politician and a Republican member of the Nevada Assembly since February 2 2009 representing District 23.,5
20,The Dom Tower (Cathedral Tower Dutch: Domtoren) of Utrecht is the tallest church tower in the Netherlands at 112.5 metres (368 feet) in height and the Gothic-style tower is the symbol of the city. The tower was part of the Cathedral of Saint Martin Utrecht also known as Dom Church and was built between 1321 and 1382 to a design by John of Hainaut. The cathedral was never fully completed due to lack of money.,7
21,Calliostoma frumari is a species of sea snail a marine gastropod mollusk in the family Calliostomatidae.,10
22,Davy Byrne's pub is situated at 21 Duke Street Dublin 2 and was made famous in James Joyce's novel Ulysses. In the novel Leopold Bloom stops for a gorgonzola cheese sandwich and a glass of burgundy while wandering through Dublin.The pub is not fictitious and is still around today. It is a popular pilgrimage point for fans of the novel who like Leopold Bloom stop and have a cheese sandwich and a glass of wine.,7
23,Miguel Caballero Ortega (born Madrid July 8 1982) is a Spanish ski mountaineer and ultramarathon runner. He is member of the mountain club (Spanish: Club de Montaña) of the Guardia Civil.,4
24,Last of the Country Gentlemen is a single disc album release from Texan musician Josh T. Pearson.The album was recorded in Berlin in two nights freshly written and committed to tape after Pearson saw how the songs affected audiences when he played them live.The recording which was released in March 2011 by Mute Records is the first solo album from Pearson.,12
25,Trichostema rubisepalum is a species of flowering plant in the mint family known by the common name Hernandez bluecurls. It is endemic to California where it has a disjunct distribution occurring in three main locations. It is known from the North Coast Ranges of Napa County the Central Coast Ranges of San Benito County south of the San Francisco Bay Area and a section of the Sierra Nevada foothills.,11
26,The Koolhoven F.K.51 was a 1930s Dutch two-seat basic training biplane built by the Koolhoven Company.,6
27,I Won't Be Denied is the debut album by rapper Fiend. It was released on November 14 1995 for Big Boy Records and was produced by Leroy Precise Edwards with David D-Funk Faulk on guitar bass keyboards/synths etc. The album did not make it to any charts but Fiend would find greater success two years later when he signed with No Limit Records.,12
28,Transformers: Theme Song Collection (トランスフォーマー テーマソング・コレクション Toransufōmā Tēma Songu Korekushion)is a two disc CD soundtrack of the Transformers series. It was released by Columbia Music Entertainment on August 20 2003 in Japan Only.,12
29,Atma Singh (born 1960) is a British Asian political figure. From June 2001 until July 2007 he was the Policy Advisor to the Mayor of London on Asian Affairs in the Greater London Authority under Mayor of London Ken Livingstone. He was a member of Socialist Action from 1981 to 1994 but continued to work closely with its members for another decade.,5
30,St Mary's Church Westham is an active Anglican parish church located in High Street Westham East Sussex England standing to the west of Pevensey Castle. The earliest fabric in the church in the south wall of the nave and in the transept dates from the late 11th century. The north aisle and the tower were added to the church in the late 14th century. The chancel was either rebuilt or remodelled in about 1420.,7
31,Amanoa bracteosa is a species of plant in the Phyllanthaceae family. It is found in Ivory Coast Ghana Liberia and Sierra Leone. It is threatened by habitat loss.,11
32,A Soldier's Story is a 1984 American drama film directed by Norman Jewison based upon Charles Fuller's Pulitzer Prize-winning Off Broadway production A Soldier's Play. A black officer is sent to investigate the murder of a black sergeant in Louisiana near the end of World War II.,13
33,The Scarborough Town Centre is a shopping mall in Scarborough Ontario Canada. Central to the Scarborough City Centre it is adjacent to the Scarborough Centre RT station and Scarborough Centre Bus Terminal.,7
34,Sibin [ˈɕibin] is a village in the administrative district of Gmina Kamień Pomorski within Kamień County West Pomeranian Voivodeship in north-western Poland. It lies approximately 11 kilometres (7 mi) south-west of Kamień Pomorski and 54 km (34 mi) north of the regional capital Szczecin.Before 1945 the area was part of Germany. For the history of the region see History of Pomerania.,9
35,Reencuentros is a collection of hits by Mexican pop singer Yuri. It was released in 1994.It sold more than 100000 copies earning Gold disc.[1].,12
36,David Bremner Henderson (March 14 1840 – February 25 1906) a ten-term Republican Congressman from Dubuque Iowa was the Speaker of the United States House of Representatives from 1899 to 1903. He was the first Congressman from west of the Mississippi River the last Civil War veteran the second foreign-born person (after Charles Frederick Crisp) and so far the only Iowan to serve as Speaker.,5
37,Trifolium amoenum known by the common name Showy Indian clover is endemic to California and is an endangered annual herb that subsists in grassland areas of the San Francisco Bay Area and the northern California Coast Ranges.,11
38,Dichaetophora campestris is a genus of flowering plants in the daisy family Asteraceae.,11
39,Compania Industrială Griviţa is a bus manufacturer based in Chitila Ilfov county Romania. The company is also specialized in vehicle servicing and spare parts production. Their main production line is the coach bus called Grivbuz.,1
40,The Old Farm Schoolhouse at Park Ave. and School St. in Bloomfield Connecticut was built in 1795. Also known as Brick School it was listed on the National Register of Historic Places in 1972.It is the oldest surviving public building in Bloomfield.,7
41,Daphnella corbula is a species of sea snail a marine gastropod mollusk in the family Raphitomidae.,10
42,Edwin Charles Tubb (15 October 1919 – 10 September 2010) was a British writer of science fiction fantasy and western novels. The author of over 140 novels and 230 short stories and novellas Tubb is best known for The Dumarest Saga (US collective title: Dumarest of Terra) an epic science-fiction saga set in the far future.,3
43,Alfred Ainger (9 February 1837 – 8 February 1904) was an English biographer and critic.,3
44,The Nushagak River (Iilgayaq in Central Alaskan Yup'ik) is a river in southwest Alaska USA. It begins in the Alaska Range and flows southwest 450 km (280 mi) to Nushagak Bay an inlet of Bristol Bay east of Dillingham Alaska.The Mulchatna River is a major tributary. Other navigable tributaries include the Nuyakuk River and the King Salmon River.Jet-boats are commonly used to access these tributaries and the upper Nushagak.,8
45,Gusto Records is a Nashville Tennessee based record company specializing in reissuing and licensing recordings from its vast catalogue of music from acquired record labels and their own studio recordings.The catalogues Gusto owns include those of King Records (except for recordings by James Brown[1] & of Bethlehem Records) Starday Records Scepter Records (except for recordings by Dionne Warwick[2] and the pre-RCA recordings of The Guess Who[3]) Wand Records (except for recordings by The Kingsmen[4]) Musicor Records Chart Records Federal Records Audio Lab Ovation Step One Records Atteiram Records and others.,1
46,For the Second Time is a 1975 studio album by Count Basie with bassist Ray Brown and drummer Louie Bellson the sequel to their 1974 album For the First Time.,12
47,Foster Grant or FosterGrant is a brand of eyewear founded by Sam Foster in 1929. The FosterGrant brand is a subsidiary company of FGX International a consumer goods wholesaler with headquarters in Smithfield Rhode Island USA which has been owned by Essilor since 2010.Foster Grant's original production line was ladies' hair accessories; over the company's lifetime they also produced other plastic materials including heart-lung pumps.,1
48,Sarah Macdonald is an Australian journalist author and radio presenter.After completing a cadetship at ABC NewsRadio Macdonald worked as Triple J's political correspondent in Canberra later hosting its morning show.,3
49,Fontessa is a 1956 album by the Modern Jazz Quartet released on Atlantic Records. It was the first of their albums released on Atlantic.The album was released in the USA in mono on the black Atlantic label with catalogue number 1231. It was released in the USA in stereo on the green Atlantic label with catalogue number SD 1231. The prefix SD stands for Stereo Disc. The current internationally available CD release is the mono version. A Japanese CD exists of the stereo version.,12
50,Tatyana Alekseyeva (born October 7 1963) is a former 400 metres runner from Russia. Her personal best result was 49.98.,4
51,The Dayton-Wright T-4 Messenger was a light single-seat reconnaissance aircraft built in the United States by the Dayton-Wright Company in 1918 in the hope of gaining a production contract from the United States Army. It was a small conventional single-bay biplane with a neatly streamlined fuselage and staggered equal-span wings. The undercarriage was of fixed tailskid type and the pilot sat in an open cockpit.,6
52,Patrick L. Pat Dunn (March 17 1931 – November 11 1975) was an American professional basketball player. Dunn was selected in the 1956 NBA Draft by the New York Knicks after a collegiate career at Utah State. In one season which he played for the Philadelphia Warriors Dunn averaged 2.5 points 1.1 rebounds and 1.0 assists per game.,4
53,Iguana is a 1988 film directed by Monte Hellman. The movie is based on the titular novel by Spanish novellist Alberto Vázquez-Figueroa itself based on a real Irish sailor called Patrick Watkins. The movie was mainly shot on location in Lanzarote. Monte Hellman won Bastone Bianco Award (Special Mention) for this movie on the Venice Film Festival in 1988.,13
54,Henry John Brinsley Manners 8th Duke of Rutland KG TD (16 April 1852 – 8 May 1925) known as Henry Manners until 1888 and styled Marquess of Granby between 1888 and 1906 was a British peer and Conservative politician.,5
55,François Barraud (14 November 1899 – 11 September 1934) was a Swiss painter.Barraud was the eldest of four brothers who all painted or sculpted at various points in their lives. The brothers François Aimé Aurèle and Charles were largely self-taught artists having been raised as professional plasterers and house painters. Barraud attended evening classes at the local art school in 1911 together with his brothers.,3
56,Kid Blue is a 1973 film directed by James Frawley and starring Dennis Hopper Warren Oates Peter Boyle and Ben Johnson.,13
57,Louie Broady Nunn (March 8 1924 – January 29 2004) was the 52nd governor of Kentucky. His election in 1967 made him the first Republican to hold that office since the end of Simeon Willis' term in 1947 and the last to hold the position until the election of Ernie Fletcher in 2003.After rendering noncombat service in World War II and graduating from law school Nunn entered local politics becoming the first Republican county judge in the history of Barren County Kentucky.,5
58,Solandra /sɵˈlændrə/ is a genus of flowering plants in the nightshade family Solanaceae. It is named after the Swedish naturalist Daniel C. Solander.The vines it contains are commonly known as Chalice Vines and are native to the Caribbean Mexico and South America.,11
59,Khvosh Neshan (Persian: خوش نشان‎ also Romanized as Khvosh Neshān) is a village in Farim Rural District Dodangeh District Sari County Mazandaran Province Iran. At the 2006 census its population was 38 in 13 families.,9
60,Aralia elata or Japanese angelica tree is a woody plant belonging to the family Araliaceae.,11
61,State Bank of Mauritius (SBM) is a bank in Mauritius. It is licensed as a commercial bank by the Bank of Mauritius the national banking regulator.,1
62,Clare Majella Martin (born 15 June 1952) is a former Australian journalist and politician. She was elected to the Northern Territory Legislative Assembly in a shock by-election win in 1995. She was appointed Opposition Leader in 1999 and won a surprise victory at the 2001 territory election becoming the first Australian Labor Party (ALP) and first female Chief Minister of the Northern Territory.,5
63,Paide tehisjärv is a lake next to the town of Paide in the center of Estonia .,8
64,Centronia is a genus of plant in family Melastomataceae. Species include: Centronia brachycera (Naudin) Triana Centronia laurifolia D. Don Centronia mutisii (Bonpl.) Triana Centronia peruviana J. F. Macbr.,11
65,The Iwaki River (岩木川 Iwaki-gawa) is a river that crosses western Aomori Prefecture Japan. It is 102 kilometers (63 mi) in length and has a drainage area of 2544 square kilometers (982 sq mi). Under the Rivers Act of 1964 the Iwaki is designated as a Class 1 River and is managed by the Japanese Ministry of Land Infrastructure Transport and Tourism.,8
66,Belgium Tuatagaloa (born 19 September 1989 in Auckland New Zealand is a New Zealand rugby union player who represents Canterbury in the ITM Cup. Tuatagaloa made his provincial debut for Canterbury in 2013. Tuatagaloa also plays for the New Zealand Sevens Team.,4
67,The Mercedes-Benz E-Class is a range of executive cars manufactured by Mercedes-Benz in various engine and body configurations. The E initially stood for Einspritzmotor (German for fuel injection engine); a new feature in volume production vehicles at the time that the E-Class first appeared with the E as a suffix to the engine nomenclature (e.g. 230E) in the 1950s.,6
68,Hanover-Horton High School (formerly Hanover-Horton Central Secondary School) is a public secondary school located in Horton Michigan U.S.. The school serves about 450 students in grades 9 to 12 in the Hanover-Horton School District.The school's colors are red and white and the mascot is the Hanover-Horton Comet.,2
69,Robert E. Pierre (born 1968 in Franklin Louisiana) is a longtime reporter and editor at The Washington Post. Pierre has written articles on adult incarceration juvenile justice and social justice and he was one of 18 writer-contributors to an award-winning series of articles for the Washington Post later republished in an anthology as Being a Black Man: At the Corner of Progress and Peril.,3
