doc_idx,rewrite
7,public school district
1,"A high school in Houston, Texas"
0,A village in Iran
12,A mountain in the Bernese Alps.
6,American record producer
10,A 2012 computer-animated film.
17,German preacher and author
16,"A high school in Nova Scotia, Canada"
19,American politician
3,A species of plant
15,Beninoise singer-songwriter and activist
14,A public school district in Georgia.
18,a lake in Hautes-Pyrénées France
22,A pub in Dublin
25,Species of flowering plant
20,A church tower in the Netherlands
13,A village and municipality in the Czech Republic
21,A species of sea snail
23,Spanish ski mountaineer and ultramarathon runner
24,Album by Texan musician Josh T. Pearson
8,A historic home in New York.
2,Honda scooters and motorcycles
33,A shopping mall
29,British Asian political figure
30,An Anglican parish church
28,A two disc CD soundtrack.
35,A music album.
26,Dutch two-seat basic training biplane
11,Belinda (1986) is a novel by Anne Rice originally published in 1986 under the pen name Anne Rampling.Belinda follows in the footsteps of Exit to Eden in its themes of the darker side of human romance. Whereas the latter novel explored BDSM Belinda explores the relationship between a grown man and an underage girl.
4,Live album by American rock band Kansas
34,A village in north-western Poland
43,English biographer and critic
37,endangered annual herb
36,A United States Congressman and Speaker of the House
38,A genus of flowering plants
41,A species of sea snail
40,"A historic schoolhouse in Bloomfield, Connecticut."
42,"British writer of science fiction, fantasy, and western novels"
47,An eyewear brand
45,A Nashville-based record company.
51,American reconnaissance aircraft
50,Russian former 400 metres runner
48,"Australian journalist, author, and radio presenter"
44,A river in southwest Alaska
49,a 1956 jazz album
52,American professional basketball player
55,Swiss painter
56,A 1973 film.
46,A 1975 studio album.
59,A village in Iran
57,A former governor of Kentucky
58,A genus of flowering plants
62,Australian politician and journalist
60,a woody plant
61,A commercial bank in Mauritius.
63,a lake in Estonia
64,A genus of plants
67,A range of executive cars
66,New Zealand rugby union player
65,A river in Japan
54,A British peer and Conservative politician.
69,American reporter and editor
68,A public secondary school in Michigan.
70,A butterfly in the Pieridae family
75,Two connected historic buildings
74,A species of wild bean.
76,A village in Iran
78,Australian athletics competitor
73,A genus of turtles
77,A fossil species of beetle.
72,A 1966 adventure/romance film.
71,A co-educational school in Bangalore.
79,mini sport utility vehicle
80,American aircraft manufacturer
81,A Chinese animated puppet film.
82,Brazilian footballer
86,An Australian play by Alan Hopgood.
83,A Union Navy gunboat.
90,American sports aircraft
84,A 1971 Norwegian film
87,A large freshwater lake on the Kola Peninsula.
89,"A historic laundry building in Portland, Oregon."
88,Spanish Jesuit missionary and author
93,An office tower in downtown Edmonton.
92,An experimental hydrofoil
31,A species of plant
85,A village in northern Poland.
39,Bus manufacturer based in Romania
98,An Iranian film
97,British actor of the silent era
96,A small lake in New Zealand
100,British record producer and songwriter
101,A post-apocalyptic fiction novel by Jack London
94,A plant of Amazonian origin
99,A 1977 book by Nikolai Tolstoy.
103,A village in Poland
105,Hungarian agrarian engineer and politician
106,A tribute album to Laura Nyro
107,Class of Royal Navy sloops
110,"A river in Minas Gerais state, Brazil."
5,A jazz album.
9,American manufacturer of high-end audio equipment
104,A private Christian college.
108,Mexican politician and academician
109,"Art Deco-style building in Columbus, Ohio"
114,A 1996 album by Belgian band Deus.
113,American musician and singer
117,Indian Parliamentarian
116,A residential tower in Downtown Orlando
111,"An archaeological museum in Amman, Jordan"
112,Italian luxury jewelry corporate group
118,Portuguese retired footballer
121,American Abstract Expressionist painter
119,A river in Chile
120,A music album
124,Genus of sea snails
91,A 2009 direct-to-video film.
102,A live album and video release by the Dave Matthews Band.
123,A global Swiss agribusiness company
127,A species of flowering plant.
125,A Canadian chief constable
129,North Carolina House of Representatives member
128,Album by Mexican pop singer Bibi Gaytán
126,A moth of the Gelechiidae family.
130,A Bengali language daily newspaper
137,A memoir by Russell Brand.
133,A young-adult dystopian science fiction novel
135,daily newspaper
138,a lake in the Northwest Territories
136,"Brazilian rapper, writer, and composer"
140,American football running back
139,A village in Iran
131,American oil and gas services company
134,An album by Jandek
132,"Russian poet, critic, and translator"
141,Ohio politician
142,A mountain in Ethiopia
95,Italian comic strip artist
27,Debut album by rapper Fiend
32,A 1984 American drama film
143,A hybrid Japanese citrus.
53,A 1988 film directed by Monte Hellman
144,A woody shrub of the Proteaceae family.
145,"A museum and art gallery in Cardiff, Wales"
147,Chinese historian and historiographer
150,American politician and railroad executive
148,French Canadian musician
152,Metalcore band
157,A private Catholic school in France
156,An experimental diesel locomotive
153,"Public high school in Dallas, North Carolina"
149,A concept album by Grégoire.
151,Species of flowering plant
154,Former Soviet diver and Olympic champion
146,Bob Seger's seventh album
158,a river in Romania
159,A genus of monopodial bamboos.
160,American vanity record label
161,A village in Norway
164,President of Haiti
168,A compilation album by Belle & Sebastian
166,A novel by Enid Blyton.
162,The second album by Rhea's Obsession.
167,a general degree college
171,Japanese fiber and textile manufacturer
165,Swedish dancehall artist and music producer
169,A mountain on the island of São Vicente.
170,A village in Iran
172,A novel by Donald McCaig
173,A music album
176,Private Roman Catholic all-girls school
174,Honduran football defender
177,A village in Bosnia and Herzegovina
178,A coeducational grammar school in Hong Kong.
180,American politician from Ohio
175,Albanian music artist and producer
181,2008 documentary film
182,Professional baseball player
183,A type of railmotor.
155,American professional boxer
185,Republican state legislator
184,A 1984 horror film
188,Debut extended play by Mudvayne
189,Debut studio album by Biz Markie
187,Prince Edward Island educator and politician
191,A species of tree
193,Indian Bollywood film
194,American physicist and administrator
195,a small non-profit private Christian college
192,An aquatic plant species
190,A historic building in Washington D.C.
197,A public bus transport operator in Singapore.
196,A village in western Estonia.
198,aquatic turtle species
200,Mexican singer-songwriter and pianist
199,A 2003 American musical comedy crime film
202,Species of ray-finned fish
205,Arcade game developer
204,A Roman Catholic parish church
203,Scottish National Party politician
201,Quebec notary and political figure
207,A class of United States Navy hospital ships
212,A department at Carnegie Mellon University
211,A village in southern Poland
213,Sammarinese politician
209,A village in Iran
210,A Finnish daily newspaper.
208,An American politician
214,United States Federal Appeals Judge
215,Former Chairman of the Federal Communications Commission
216,A medium-sized lake
217,Live album and DVD by Dropkick Murphys
220,American politician
218,A 2001 Dutch film
186,A village in Iran
227,Sixth highest mountain in the world
225,A species of sea snail
226,American politician
224,A peer-reviewed scientific journal.
223,a moth of the Coleophoridae family
228,A novel by Lian Hearn
222,A software company
221,Species of plant
219,A coeducational state secondary school.
230,A novel by Robin Cook
231,A plant genus
