doc_idx,rewrite
9,Requesting an update on the current situation in Guam.
2,Send Anthony Ford a video message.
10,Find easy fish taco recipe.
6,Ignore Debate club meeting alerts for Wednesday.
11,Retrieve list of new events in Michigan for this year.
4,Inquire about basketball game start time from Ashlee.
0,Inquire about Crystal's availability for a trip to Hawaii from the 18th-23rd.
3,Display mutual friends between me and Mini.
13,Inform Marta of my attendance at the nurse's meeting at 8.
7,Get a weather update for this morning.
5,Shop for me.
8,Read the latest news in Washington.
14,Retrieve information on Jeff Lord's termination.
15,Send a Messenger message.
18,Display past events.
1,Skip to the chorus.
19,Inquire about the calorie content of burgers.
17,Play top 10 songs on Google Play.
22,Set alarm for midnight.
16,Play 1980s top hits.
12,Set a reminder to email the HOA about the fencing company's estimate next Tuesday at 10 AM.
20,Identify employees at Sonic.
21,Display friends on screen.
25,Verify if Jaymes previously worked at Mack.
29,Play The Studio Albums 1990-2011 by Aerosmith.
23,Delete reminders for today.
27,"Play ""Keeps Gettin' Better: A Decade of Hits"" album on iheartradio."
32,Set a reminder to black out the week of August 27th due to being out of town.
24,Check who is currently online.
31,Request for instructions on making chocolate ganache.
26,Notify me of the start time for the second event.
30,Retrieve information on friends attending Technical School.
28,Requesting the percentage of rain for Wednesday night.
34,"Retrieve current temperature in Ankara, Turkey."
36,Requesting extended forecast for specific area.
33,Set a reminder for my flight time at 11:45 AM on Tuesday.
39,Find a recipe for a peanut butter based dessert.
37,Retrieve recent news about the White House.
40,Show reminders for Betty Ann's accident.
38,Identifying friends living in Mexico.
45,Requesting current temperature information for Detroit.
35,Generate a new list of sounds.
47,Call my dad.
46,Make a phone call to my mom.
41,Set alarm for 6am.
48,Play dancing music.
49,Determine the date of Election Day.
42,Set reminder to pay water and light bill on Friday by 2 PM.
44,Check the timer duration.
43,Requesting information on other Lehman graduates.
50,Check if anyone texted me on Facebook.
53,Verify Janice's employment location in Pembroke Pines.
51,Inquire about cooking temperature for chicken.
52,Play Journey's latest album.
55,Requesting the water to flour ratio.
60,Play music by Jay Park.
58,Find live sports events in DC next week.
59,Recipe request for making potato chips in an air fryer.
64,Play music from the 60s.
66,Verify if friends are employed at Google.
54,Requesting the number of calories in each portion.
65,Check if Funko Group has sent me anything.
61,Play soft jazz.
67,Activate alarm immediately.
68,Identifying contacts residing in San Diego.
57,Set alarm for 12pm.
63,Make a phone call to the second person.
62,Set work alarm for 7am.
70,"Mark user as interested in ""Katja Petrowskaja: A Family Story Between Memory and Forgetting."
56,Change reminder time to pick up mom from 6:13 am to 9:48 am.
73,Retrieve current temperature in San Diego.
75,Send message to Joe stating arrival in one hour.
71,Display all reminders due today.
69,Request for the best recipe for scrambled eggs.
80,Retrieve yesterday's low temperature.
77,Set a reminder for John about the 3:30pm dinner date.
72,Requesting information on employees located in Jakarta.
76,Requesting weather forecast for snow in New York in October.
74,Retrieve reminders for this week's dates with Zach.
81,Retrieve news from yesterday.
83,Display Ricardo's brother.
85,Get the forecast for 7am on Christmas morning.
82,Identifying acquaintances who attended SCSU.
78,Inquire about Andrew's current work schedule.
84,Call Francisco Mineau.
89,"Seeking activities in Boston, MA for tomorrow."
90,Check fog warnings for my commute today.
86,Inquire about the necessity of sunscreen for a hike in Bend today.
87,Set status to unavailable.
79,Set recurring alarms for Tuesdays at 5am and 3pm.
88,Create an alarm.
96,Retrieve information on PUC graduates.
94,Identifying Brian's employer.
98,Set a reminder to start getting ready for the meeting at 3 pm today.
95,Find events happening in Atlanta on Friday.
92,Play The Fray on iHeartRadio.
99,Start timer.
100,Requesting immediate news update.
101,Set alarm for 02h25.
103,Requesting current weather conditions.
102,Retrieve number of user's friends living in San Francisco.
105,Request for information.
104,Make a phone call to Isaiah Prince Davenport.
106,Find music events in Syracuse happening tomorrow.
107,Check the status of the timer.
97,Play Korean music.
93,Change genre to pop.
109,Switch the call.
108,Set walking timer for 45 minutes.
111,Initiate a call with Gregory.
113,Delete reminder for George to feed chickens at 5 AM tomorrow.
91,Call my Anime group on Whatsapp.
110,Check remaining time on boiled eggs timer.
112,Initiate a phone call to Baird Brandon immediately.
115,List upcoming birthdays for Sulek and Mina.
118,Play Michael Jackson's greatest hits.
120,Read all current news headlines.
114,Find information on attending the event with Katja Petrowskaja.
119,Add Amy's sister to the call.
122,Read latest news stories.
116,Increase Inhaler timer by twelve minutes.
121,Requesting weather forecast for Friday.
125,Play classical station on Pandora.
126,Make a phone call to 9675550071.
130,Request for a vegan recipe.
117,Play Golden Age.
124,Requesting current weekend temperature in Fahrenheit.
131,Check the temperature forecast for Karachi tomorrow morning.
134,Add brothers to call.
127,Inform Mary about Madonna's concert in El Paso in September.
133,Make a phone call to the user's mother.
128,Set alarms immediately.
129,Schedule Zack to come to work at 10am instead of 2pm tomorrow.
132,Set alarm for 2am.
123,Retrieve CNN headlines.
135,Set alarm for 2235.
140,Read Facebook texts.
139,Inquire about travel safety in Spain from the State Department.
144,Message Amy on WhatsApp.
137,Set a reminder to buy chlorine for the pool tomorrow morning.
136,List all cat reminders and alerts set.
145,Find sporting events in Newport today.
143,Make a phone call to Vanessa's granddaughter.
138,Call Janet on WhatsApp.
147,Inquire about the ingredients in BBQ Power Bowls.
146,Call mum.
141,Requesting instructions on making gnocchi.
142,Call my uncle.
153,Retrieve yesterday's headline.
154,Retrieve the latest political news.
150,Seeking recommendations for activities in New York City for the evening.
156,Retrieve Donald Trump collusion stories.
151,Set a reminder to buy milk tonight.
148,Call my mom.
157,Do not answer phone calls after 11pm.
155,Get the weather forecast for New York.
149,Initiate a WhatsApp video call with Mariana.
159,Play Muse on iHeartRadio.
152,Check remaining time on first timer.
160,Retrieve today's top headlines.
164,Call me at noon.
162,Play music by Migos.
158,Set a reminder to call the vet at 7:30 am tomorrow.
161,Make a phone call to Aubrie's friend.
168,Check for lunch reminders.
167,Retrieve contacts who attended Stanford University.
165,Determine the type of government in France.
166,Create chore reminder.
170,Add mom to call.
172,Inquire about upcoming events on Monday.
169,Initiate a new timer.
163,Display current online users.
173,Skip.
175,Send a message to Sophie expressing love.
171,Play Guns n Roses.
174,Inquire about the temperature needed to bake cupcakes.
182,Read Stephanie's messages sent today.
179,Identifying Jerry's employer.
177,Identifying the female voice in the song.
176,Answer new call.
178,Schedule a call with Bridget regarding the meeting.
181,Check the weather forecast for Sacramento tomorrow.
180,Set trash reminder for Monday evening at 7pm.
186,Requesting weather forecast for tomorrow.
188,Extend download timer to three hours.
184,Initiate a call on WhatsApp with Marcus.
185,Provide additional information about Jeremy.
189,Inquire about nutrition content in fried chicken.
193,Set alarm for 9am.
187,Send message to grandparents.
194,Set a 40-second timer.
190,Set reminder for Jodie to call Karen about ride to pool on Saturday.
191,Change movie reminder on Thursday to be an hour earlier.
196,"Inquire about the start date of school in Miami, Florida."
192,Display reminder for tomorrow.
198,Make a phone call to Brunch.
202,Requesting a summary of today's agenda.
201,Set iHeartRadio as default music provider.
195,Requesting weather forecast for Newcastle.
199,Set a timer for 7 minutes.
204,Delete all reminders for today.
206,Delete Monday's oil change reminder.
183,Set iTunes as primary music source.
205,Delete reminder for camping trip this weekend.
200,Retrieve latest trending news.
203,Requesting the temperature forecast for 9PM tonight.
209,Seeking assistance or information from someone in Russia.
207,Set daily pick up alarm at 2:30 PM Monday to Friday.
210,Set a new alarm for 4:00.
212,Get the weather forecast for noon today.
208,Play country song list on Spotify.
211,Send a text message to Mary on WhatsApp.
217,Notify Nora of my late arrival for picking her up from dance.
213,Set alarm for Tuesday 14th May.
215,Play 98.9 radio on iHeartRadio.
197,Requesting karate reminders for the month.
218,Requesting information about a specific person's graduation from the University of South Carolina.
216,Call Garrett immediately.
220,Add Michael to the current call.
221,Stop the music halfway through.
219,Restart cooking timer.
222,Delete morning walking club reminders.
223,End the call.
225,Set a reminder to buy toilet paper on Friday.
224,Stop sending reminders for Emerson's birthdays in May.
226,Retrieve number of birthdays on May 23rd.
227,Retrieve latest news about Korea.
230,Make a phone call to Sal Crockett.
229,Provide the latest news on Trump.
231,Requesting information about the timing of the solar eclipse.
214,Inquire about current events.
232,"Set a reminder to buy bread, eggs, and milk tomorrow at 5 pm."
228,Seeking information on events in Lake Havasu City for this evening.
234,Set a timer.
237,Retrieve news about Trump and USA today.
236,Skip to the next call.
239,List ingredients for deviled eggs.
233,Find upcoming events for me.
242,Set a reminder to pick up groceries this afternoon.
243,Requesting weather forecast for Victoria.
241,Find sporting events in Austin happening tomorrow.
240,Set nap alarm for 3pm today.
238,Set alarm for tomorrow morning.
235,Retrieve Dave's morning message content.
246,Set a reminder to call the dentist for an appointment.
245,Reminder to file taxes.
247,Set an alarm for this afternoon to remind me to do a task.
249,Set alarm to repeat every minute for 20 minutes.
248,Inquire about the calorie content of a slice of cheesecake.
250,Set alarm for 4 am.
253,Set a Blink timer.
251,Display vegan and gluten free recipes.
257,Play Portugal. The Man on iHeartRadio.
260,Set daily alarm for 5:30 am.
254,Play the new mint condition song.
252,Set alarm for 4:00 today.
262,Requesting current weather conditions in Scotland.
244,"Play ""Tonight"" on Pandora."
258,Provide weather overview for Miami today.
261,Cook a 4-pound beef roast.
265,Set daily alarm for AM until Friday.
263,Set a 7 minute alarm.
264,Get information about today's weather.
259,Send video to church group.
269,Adjust timer by subtracting 3 minutes.
256,Identify the current radio station.
266,Read the message.
268,Send Facebook video message to Lucy.
267,Reschedule my doctor's appointment reminder to Thursday the 17th.
272,"Identifying the founder of the ""alt right"" movement."
270,Send a WhatsApp message.
273,Set a reminder to put dinner in the oven at 5 PM.
274,Adjust timer for brushing until completion.
277,Set a reminder to finish take home test before 6pm to avoid failing.
276,Retrieve information on current residents of Virginia Beach.
280,Create alarm named 'delivery' for tomorrow at noon.
255,Requesting information on ViaSat 2 status.
271,Requesting hourly forecast for today in Fort Lauderdale.
275,Call Carlos Booker on WhatsApp.
281,Determine amount of milk needed for eggs.
278,Clarification on how to prepare noodles for lasagna.
286,Play Linkin Park song.
282,Set a reminder to call Amy at 5:00 pm.
289,Find events happening in Omaha this weekend.
290,Set reminder to contact John about counselor meeting on Tuesday.
283,Call my dad immediately.
288,Call Pierre Logan.
287,Make a video call with Amy.
294,Set alarm for 5am.
279,"Call Clarissa, Jessie Herring, and Francesca."
284,Send to Sabina Boster.
296,Identifying David's employer.
295,Start a 30-minute timer.
297,Set a timer for hard boiling eggs.
285,Get weather forecast for Australia.
299,Requesting the next expected rain date.
302,Check for a video message sent earlier today.
298,Play current rap music.
291,Determine the time of dusk in Bremerton.
300,Create a reminder for a cookout this weekend.
292,Requesting the current low temperature in New York City.
301,Get local news.
305,Set alarm for 20 minutes from now.
304,Initiate video call.
293,Set up a reminder for dentist appointment scheduling on Saturday at 2 p.m.
306,Set alarms for 1pm Monday and 2pm Friday.
303,Play WQXR on iHeartRadio.
308,Inquire about China's assistance with North Korea.
312,Find Levi's address.
311,Send message to sisters to plan meeting in New York next Saturday.
314,Delete reminder to buy milk.
307,Set a reminder to send flowers to Joyce's daughter for the funeral on Tuesday.
313,Retrieve the high temperature for Richmond today.
310,Set a reminder for Love and Hip Hop episode at 5 pm.
316,Retrieve the latest headlines.
319,Requesting additional time.
317,Inquiring about the start time of snowfall tonight.
323,"Set status to ""maybe"" for second event."
321,Message Ezra using WhatsApp.
318,Set the best temperature for pork.
315,Requesting weather forecast for Sunday.
322,Check reminders for concert buddies group.
324,Check remaining time until alarm goes off.
326,Make a phone call to my sister.
329,Requesting weather forecast for Isle of Mann this weekend.
327,Recommend morning visit locations.
309,Decrease the time by 3 minutes.
325,Set reminder for Anthony's soccer training on Monday at 6:00pm.
328,Request for instructions on making homemade ice cream.
332,Identifying employees at Chipotle.
331,Show weather in Shipston on Stour.
333,Call Mum.
340,Set reminder to wake up in 10 minutes.
320,Requesting advice on bringing an umbrella tomorrow.
330,Adjust work timer to trigger earlier.
339,Record a video message for Nina.
338,Display friends' birthdays on Saturday.
336,Show video messages from significant other Blakely.
335,Set alarm for 8:30 pm.
337,Set a reminder to buy flowers for mom.
334,Request Leo's location and estimated time of arrival.
342,Display available individuals.
343,Set a reminder to clean the garage for the sale on Tuesday.
345,Retrieve current headlines on Fox.
350,Set a reminder to check the appointment log for the baby.
344,Send a video message to Kendra.
347,Respond to the cake thread with text.
352,Find the best cheeseburger recipe on Food Network.
349,Add Beth to the call.
348,Identify Payant's girlfriend born on the 30th.
351,Requesting duration of Steven's employment at Hibiscus Homes.
346,Retrieve and read the most recent news articles.
354,Requesting to see additional concerts.
353,Check the temperature around Tokyo tomorrow morning in Celsius.
355,Inquire about weekend volleyball match.
357,Search for a pizza dough recipe.
356,Show Facebook messages.
359,Send Happy Birthday message to Joe.
367,Create reminder for next month.
341,Set timers for 14 minutes and 3 hours.
362,Requesting more diverse events.
360,Set daily repeating alarm for 7pm.
361,Set weekly alarm for Thursdays at 5AM until July 1st.
363,"Play ""My Everything (Italian Edition)"" on shuffle on Pandora."
365,Identifying the type of meat needed for stew.
369,List bananas foster ingredients.
364,Read recent local headlines.
368,Requesting recent news update on Afghanistan.
358,"Get the weather forecast for Queensland, Australia."
366,Reduce timer by 5 minutes.
371,Delete reminder to renew RT license in September.
373,Record video message.
370,Provide news updates.
376,Read about the Taylor Swift court trial.
