doc_idx,rewrite
0,Giffords' rehab delayed due to brain fluid buildup.
1,Trailer talk for upcoming movie releases.
2,RNC appoints chairman for Tampa convention.
3,Gbagbo's camp cuts impact Ivory Coast economy.
4,Chinese president's meeting lost in translation.
5,England's fishing community criticizes management system.
6,Protests against government reforms in Yemen.
7,Stuxnet linked to Chernobyl incident.
8,iPhone's market share in smartphone industry.
9,YouTube video highlights NBA Finals game.
10,Kia's Super Bowl commercial goes viral.
11,Facebook shares personal details of users.
12,Super Bowl commercial highlights.
13,Bruce Willis comments on Kardashian.
14,Journalist attacks escalate in Egypt.
15,Keith Olbermann joins Current TV.
16,Christina's performance at Super Bowl praised.
17,Sundance film festival celebrity encounters.
18,Acai berry supplement linked to weight loss.
19,Review of 'Black Swan' and Natalie Portman's role.
20,Rahm's ballot controversy in Chicago.
21,Charlie Sheen's abuse allegations.
22,Music featured in Motorola Xoom commercial.
23,Movie review of 'Rite' and its themes.
24,Potential replacement for Steve Jobs discussed.
25,Yemen president signals intention to stay in power amid conflict
26,Debt settlement lawyer discusses easier debt settlement options
27,Christina Aguilera flubbed national anthem performance
28,Romanian journalist threatened and detained while reporting in Egypt
29,Acai berry capsules claimed to aid weight loss
30,Pew Internet report on American social networking and politics
31,National high school fishing program introduced
32,Jesse Ventura slams TSA lawsuit
33,King Speech wins best ensemble cast at SAG Awards
34,New fee for saltwater fishing license announced
35,Bottega Veneta releases teal turquoise snakeskin clutch
36,Slow cooker chicken recipe shared
37,Fake snowstorm leads to White Stripes breakup announcement
38,Chrysler's Super Bowl commercial revealed
39,Kids encouraged to fill out FAFSA for college
40,Aguilera's national anthem performance discussed on Yahoo News
41,Hollywood director honored for King Speech
42,Kung Pao chicken recipe shared
43,Giffords' recovery progress reported in health news
44,Complete list of Super Bowl commercial advertisers released
45,Senator avoids Tea Party caucus
46,Volkswagen's Super Bowl commercial available on YouTube
47,Washington legislature debates immigration verification requirements
48,Starbucks introduces huge Trenta cup for drinks
49,Carney speaks on behalf of Obama as press secretary
50,Kardashians respond to Piers Morgan's question.
51,Hugo Chavez marks year in office as Venezuelan president.
52,Rite Aid horror film 'Devil' review.
53,Chipotle fire linked to immigration raid.
54,Beetle commercial teaser for Super Bowl.
55,Thousands protest government in Yemen.
56,Constitutional showdown reaches Supreme Court.
57,Aquarium fish success story.
58,Supreme Court extends workplace retaliation protections.
59,Jay Carney speaks at White House press briefing.
60,Oscar reaction to 'King's Speech'.
61,CNN hack affects Facebook security features.
62,NFL concussion survey results released.
63,National Guard deployed in Chicago snowstorm.
64,Christina Aguilera's national anthem performance at Super Bowl.
65,Steve Martin's cameo in Super Bowl commercial.
66,Acai berry diet claims nutritional benefits.
67,Traffic update on Oceanside red light cameras.
68,Hugo Chavez apologizes to Venezuelan people before election.
69,Fishing news banner on website.
70,Keith Olbermann joins Current TV.
71,Rahm Emanuel's name on Chicago ballot.
72,Tazo iced tea and iced coffee promotion.
73,chicago rahm emanuel ballot
74,tanning iced coffee tazo iced tea hello trenta
75,"Kourtney, Kim, and Khloe Kardashian news"
76,Vincent Tabak charged with murder
77,Bruschetta chicken bake casserole recipe
78,National anthem epic fail top ten list
79,Fish tank heater information
80,Grilled chicken tomato salad recipe
81,Gasland movie concerns
82,The King's Speech wins top film award
83,SAG award predictions
84,Kia's Super Bowl commercial spending
85,Doritos commercial during Super Bowl
86,IDF chief discusses Iran's nuclear bomb
87,CSIS and NCIS enjoy The Mentalist
88,Robert Kubica injured in rally accident
89,The King's Speech wins top honor at Screen Actors Guild
90,Obamacare ruling by federal judge in Florida
91,"Tunisia, Egypt, and Yemen news"
92,Chrysler's Super Bowl commercial comeback
93,Journalist attacked and detained in Egypt
94,List of journalists hurt in Egypt
95,Facebook's controversial move this year
96,Journalist attacked in Egypt news
97,Lady Gaga's fitness campaign announcement
98,Judge rules on Obama health care law
99,Christina Aguilera's national anthem performance at Super Bowl
100,Acai berry powder and its health benefits for weight loss.
101,Facebook updates user privacy settings.
102,Taco Bell's beef pricing and convenience.
103,Mass protests in Jordan demanding the Prime Minister's resignation.
104,"Promotional video for sport fishing in Yap, Palau."
105,Supreme Court ruling on third-party bias protection.
106,Author promotes fly fishing book in digital era.
107,Oklahoma metro hosts trout fishing instructional clinic.
108,Three tons of striped bass seized for illegal fishing.
109,Federal judge strikes down health care reform mandate.
110,Khloe Kardashian's love life.
111,Fighter King nominated for SAG Award tonight.
112,Christina Aguilera's Super Bowl national anthem performance mistake.
113,Match results between Murray and Djokovic.
114,Calls for increased sanctions on Myanmar.
115,Poll shows GOP gaining on Democrats via social media.
116,Nobel Peace Prize awarded for WikiLeaks and Cablegate.
117,"Police lose an officer, reported by BBC News."
118,Doritos and Pepsi Max Super Bowl commercial.
119,Federal judge rules on healthcare law.
120,King's speech wins top director award for movie.
121,Recipe for chicken fricassee shared on Tuesday.
122,Acai berry's secret benefits for natural weight loss.
123,Memo addressed to the President regarding the State of the Union.
124,Employment rates improving as jobless rate decreases.
125,Yemeni protests in Sanaa against government actions
126,Video of dangerous texting while driving
127,Steve Jobs attacked by Netgear boss
128,Christina Aguilera flubs national anthem at Broncos game
129,Governor proposes cuts to New York school Medicaid funding
130,New concussion detection test developed by Fox News
131,Kardashians' new season captivates viewers
132,Pledge to avoid texting while driving
133,Surf fishing technique for striped bass in Maine
134,TSA introduces new body scanner software
135,Oscar-winning speech from 'The King's Speech'
136,Teen develops anti-bullying program for schools
137,Bedbugs evolving resistance to pesticides
138,Super Bowl commercial rankings released
139,Fast food industry faces immigration scrutiny
140,Jay Carney appointed as White House press secretary
141,High court rules on third-party retaliation lawsuits
142,Christina Aguilera repeats national anthem performance
143,Volkswagen's Super Bowl commercial
144,Bedbug cover story goes viral
145,Taco Bell sued over alleged false beef claims
146,BBC report on unrest in North Africa and the Middle East
147,Sidney Crosby's concussion rule change discussion
148,Charlie Sheen hospitalized due to medical emergency
149,Trenta cup controversy over wine capacity
150,Healthy school food initiatives
151,Financial aid advice for college students
152,Texting while driving awareness
153,Hispanic woman receives financial aid scholarship
154,Egyptian journalist targeted by Mubarak's regime
155,Favorite Super Bowl commercial video
156,Remembering Alex Brown
157,VW Beetle Super Bowl commercial
158,Campaign to prevent texting while driving
159,Lake Shore Drive shutdown in Chicago
160,Potential replacement for Steve Jobs at Apple
161,Acai berry chocolate weight loss diet
162,Red cabbage noodle salad recipe
163,Boosting American fashion industry
164,Workshop on preventing bullying in schools
