doc_idx,rewrite
13,Get the current temperature.
11,Check visa limit.
5,Freeze bank account.
8,Find out MMR vaccination deadline.
9,Place order for entire shopping list.
3,Get a Thai food recommendation.
10,Request information about creator.
6,Change assistant's name to Arnold.
1,Check American Airlines flight status.
0,Roll a four-sided die.
4,Find a suitable new credit card.
12,Check market performance since the start of the year.
7,"User wants to know what ""ya"" means."
2,Set an alarm.
15,Check current speed.
18,Get preparation time for dish.
14,Check gas level for trip to Washington DC.
17,Check the contents of the fridge.
16,Get instructions for applying cream to soothe itching.
20,Get the date for tomorrow.
23,Seeking philosophical insight or guidance.
21,Tell a joke about mice.
25,Restore original settings.
27,Get daily step count.
26,Get instructions for boiling eggs.
22,Check transaction fee for Discover card in Cuba.
19,User wants to know if an HDMI cord is visible.
24,Expresses uncertainty or inability to answer.
28,Make a phone call to her.
29,Check Virgin Airlines flight status.
30,Find a pork recipe.
34,Check credit score.
32,Find nearest hospital location.
33,Check Republic Bank card credit limit.
35,User wants advice on beer spending.
36,Find the best plan upgrade option.
31,Find current mortgage interest rates in my area.
38,Find popular travel destinations abroad.
40,Request oil change instructions and oil type.
39,User wants to know the importance of pi.
37,Find out the cost of a Mother's Day bouquet.
41,Check if enough funds exist for Nike purchase.
42,Get the title of the currently playing song.
46,Check my shopping list.
49,Reset factory settings.
43,Get user's name from assistant.
45,Check transaction fees for Discover card in Cuba.
44,Check if grocery shopping is on my reminders.
50,Find advice on handling lost luggage.
47,Check Applebee's customer reviews.
48,Check reviews for tacos at the buffet.
51,Define the meaning of discontent.
52,Correct the previous response.
55,Check remaining vacation days.
53,Request information about the taste of water.
54,Inquire about assistant's areas of expertise.
56,Convert British pounds to Mexican pesos.
57,Convert 10 kilos to pounds.
58,Find W2 form for tax purposes.
61,Turn off whisper mode.
63,Roll the dice.
59,Make a $175 payment on my Visa.
60,Cancel reservation for Barry at Red Robin.
64,Get a random coin toss result.
62,Find due date for car payment bill.
65,Set up direct deposit for paycheck at Nations Bank.
67,Check the weather in Seattle.
68,Find the nearest Fry's location.
69,Set microwave timer for 3 minutes.
66,Rent a Mercedes in Indianapolis from May 3rd to May 5th.
71,Schedule an oil change appointment.
70,Recite shopping list.
72,Check credit card application status.
73,Check meeting schedule for infrastructure.
75,Increase speaker volume.
74,Add eggs to the grocery list.
77,Get today's news headlines.
78,Request information about the Gold Rush.
76,Find the type of plug z uses.
80,Check recent video game spending.
79,Find divorce attorneys in New York.
84,Check for computer viruses.
87,Check for card charge at location X.
86,Get instructions for jump-starting a car.
88,Find a black suit under $100.
81,Check last vacuuming time in living room.
83,Check credit card APR.
91,Check on parents' survival after crash.
90,Check if Ned's reviews are good.
85,Book a hotel near Chase Field in Phoenix.
89,Find Beatles White Album sheet music online.
93,Cancel reservation.
82,Schedule a conference room for Thursday at 4:00.
92,Request travel safety information for Cambodia.
95,Request a new credit card.
96,Unlock bank account.
97,Request car trouble diagnosis.
94,Check water bill due date.
102,Check checking account interest rate.
101,Get extended zip code for my address.
98,Get instructions on transferring a 401k.
100,Check if grocery shopping is on to-do list.
104,Request substitution of turkey for beef.
103,Check recent Visa card transaction.
107,Cancel or delete this appointment.
108,Get fuel efficiency information.
105,Check vaccination requirements for Astana.
106,Pay utility bill from bank account.
99,Dispute unauthorized charges from Old Navy.
109,User wants to explore both options.
110,Check total balance across bank accounts.
113,"Set user name to ""Deb""."
111,Increase credit limit by $500.
115,Speak more slowly.
114,Increase credit limit by $500.
112,Check days off taken this year.
121,Change voice to female.
122,Get instructions for boiling eggs.
119,Get car's miles per gallon.
116,Get travel time to Boston by bus.
117,Check meeting schedule with invoicing.
118,Summarize today's meetings.
120,Find Denver's timezone and location.
124,Request feedback on Piada's pasta.
123,User wants to know about the health effects of calorie intake.
127,Check NFCU interest rate.
125,Affirmation of AI's previous statement.
129,Request insurance benefits information.
128,Report an electric outage to my provider.
126,Check traffic conditions to Detroit at 9:00.
130,User wants to end the conversation.
135,Request tax form from previous employer.
131,User wants to know their name or alias.
134,Learn about bottled water purification methods.
138,Dim screen brightness.
132,Check restrictions on carrying lighters on a plane.
137,Identify the creator of the assistant.
139,Schedule oil change reminder.
133,User wants to know what's for dinner.
136,Get car's miles per gallon (mpg).
140,Get critic rating for The French Laundry.
141,User confirms a previous question.
142,Request information about Mickey Mouse.
143,Check for unauthorized bank account access.
151,Substitute ingredient in recipe.
146,Inform Dave of arrival soon.
152,Verify recent visa card transaction.
150,Request W-2 form retrieval.
145,Expresses preference for cats or dogs.
144,Get car's miles per gallon (MPG).
155,Check mushroom prices.
149,Set an alarm for ten o'clock tomorrow.
148,Find out army service requirements for college tuition.
154,Report a potential fraudulent charge.
147,Set oven temperature to 350 degrees.
153,Request information about the origins of mythologies.
157,Provide directions to the user.
156,Cancel reservation for Fred at Red Robin.
160,Improve credit score.
158,Block Bank of America account.
161,Stop the assistant from speaking.
164,Get routing number information.
159,Book a JetBlue flight from Barcelona to Paris.
166,Get information about school year length.
162,Notify bank of upcoming travel to the Bahamas.
168,Get date of last oil change.
167,Get user's yearly income information.
171,Request fun facts about science.
165,User wants to know the assistant's hobbies.
163,Flip a coin and tell me the result.
169,Find out Windows 7 support end date.
170,Find the origin of jiu jitsu.
172,Freeze bank account.
173,Find the year of the first airplane.
174,Set a timer for one hour.
175,Check credit card APR.
178,Check NASCAR race start time.
177,Request diagnostic assistance for check engine light.
183,Check current shopping list.
181,Get information about check engine light.
179,Convert US dollar to Mexican pesos.
184,Book an Uber to Universal Studios.
185,Check visa credit limit.
176,Remind me of my last car check-up date.
180,Find safe storage time for uncooked chicken.
182,User wants to correct a previous response.
186,Claim Visa card rewards.
188,Affirmative agreement or confirmation.
189,Request help with vacation itinerary.
187,User wants to know the assistant's capabilities.
190,Get car payment and insurance price information.
197,Change insurance policy information.
196,Turn on whisper mode.
198,Perform a virtual coin flip.
194,Request information about the assistant's pets.
192,Get calorie information for potatoes.
199,Find online opinions about Chick-fil-A nuggets.
195,Expresses gratitude and acceptance.
191,Request ingredients for spaghetti carbonara.
193,Get instructions on using the microwave's defrost function.
200,User wants to know about the assistant's control.
203,Get the creation date of Green Book.
202,Use only the Whisper sound.
201,Check vacation approval status.
204,Check credit card expiration month.
206,Increase volume of speech.
209,Increase volume of speech.
205,Close all open internet tabs.
208,Request travel health advice for Indonesia.
207,Compare CenturyTel plans to current plan.
214,Set a reminder alarm for a workout.
218,Request user name.
212,Make a call using my name.
215,Get information about the next full moon.
210,Request car cleaning supplies list.
213,Check for liquor sales.
211,Request assistant's name.
217,Check the Cheesecake Factory's busyness.
220,Check accrued days off.
216,Seek information about Einstein's views on quantum entanglement.
221,Report a lost card instructions.
219,Call bank and inquire about account freeze.
223,Tell me an elephant joke.
224,Schedule car repair appointment.
222,Find clam restaurants in Cleveland.
225,Find the location of my phone.
226,Request information about vacation requests.
227,Redeem Visa points instructions.
228,Find upcoming holidays and their dates.
230,Expressing gratitude for assistance.
229,Change assistant's name to Owen.
231,Check urine sugar level from this morning.
232,Get the Los Angeles time zone.
233,Request substitution for applesauce.
238,Check expiration date of jerky.
234,Set the oven to 350 degrees.
235,User wants to know if assistant speaks Mandarin.
237,Request health advice for travel to Colombia.
236,Transfer 401k information.
239,User wants to initiate a conversation.
241,Find the most popular MMA style.
240,Get date of last car check-up.
242,Repeat the previous statement.
243,Get the current timezone on mobile.
244,Check reservations for Joe and Will.
245,Check remaining vacation days.
247,Check the weather in Seattle.
246,Get the timezone for New York.
248,Inform bank of travel plans.
250,Reset to default settings.
249,Request user's birthday information.
252,Add milk to the shopping list.
253,"Change user name to ""bob""."
251,Check Denny's business hours at 6 am.
254,Find median salary for engineering degree holders.
256,Requesting information about time travel.
257,Purchase a Nintendo Switch game.
258,Request information about lasagna ingredients.
255,Remove fencing event from May 7th calendar.
259,Set up direct deposit instructions.
260,Inform about being late for dinner.
261,Ask about the next holiday event.
265,Get car's miles per gallon.
264,Get the date five days from now.
262,Set oven temperature to 350 degrees Fahrenheit.
263,Get traffic information from Philadelphia to the New Jersey Turnpike.
266,Send flood cleanup information to my phone.
271,Confirm factual accuracy.
267,Check gas level for home trip.
272,Cancel afternoon event.
268,Cancel reservation for Bob at Red Robin.
269,User wants to know the creator of the assistant.
273,Get instructions on fixing a leaking sink.
274,Find articles on essay writing for beginners.
270,Calculate the division of 300 by 42.
275,Confirm reservation for March 1st at 7.
281,Check computer RAM amount.
277,User wants to end the conversation.
280,Get calorie information for spaghetti.
278,Get weather conditions for Seattle.
279,Find largest video game purchase this month.
282,Report unauthorized transaction from Foot Locker.
276,Request information about assistant's knowledge domain.
284,Request meal suggestion from the South.
283,Share location with a specific person.
285,Check if today is payday.
286,Convert kilos to pounds.
288,Find information about Boston Marathon bombing casualties.
287,Flip a coin and tell me if it lands on heads.
290,Find a chili recipe.
291,Purchase speakers on Amazon.
289,Express disagreement or challenge a statement.
296,Report lost luggage.
295,Check oil change schedule.
298,Request information about mental illness resources.
297,View spending history or expenses.
293,Confirm reservation at Fleming's for Jane.
292,Guide me through jump-starting a car.
300,Notify bank of travel to Brazil.
294,"Add ""dusting"" to my to-do list."
299,Check today's to-do list.
301,Identify the creator of the assistant.
303,Find the maximum enlistment age in the army.
305,Change the assistant's accent.
309,Increase speaker volume.
307,Place an order for olive oil.
302,Check meeting room availability between 1 pm and 3 pm.
304,User wants to know the origin of the assistant.
311,Check car tire pressure.
306,Transfer ten thousand from money market to checking.
308,Request information on stress relief methods.
310,Request substitution of bacon for ham.
312,Cash in credit rewards.
314,Help paying water bill.
313,User wants to finish a task before completing a request.
315,"Define the word ""apoplectic""."
320,Get current weather forecast.
321,Check visa requirements for Peru.
318,Get today's date.
317,Check accrued vacation time.
319,Change voice to male.
316,Request more checkbooks to be mailed.
