doc_idx,category
1193,24
526,15
1094,8
1761,6
950,10
2629,24
1005,4
1241,12
239,1
2419,3
2274,0
2719,9
17,16
2664,0
1132,23
1973,15
1532,0
2073,13
460,24
2252,10
1676,0
1272,0
36,6
2136,10
2641,1
1913,12
2156,18
808,15
904,0
126,6
379,14
205,0
1200,15
952,1
547,7
2729,16
2758,23
1618,17
250,0
1758,0
2221,7
2634,16
1718,0
1766,7
64,22
2301,10
1665,7
531,10
1998,0
404,2
2448,0
1283,3
2460,15
1792,22
643,21
2755,4
700,10
172,6
2217,0
2455,18
1569,1
2099,8
2522,15
2306,24
478,6
1839,20
1237,0
1209,0
2014,1
150,0
1029,1
1216,8
1882,0
218,10
1334,13
833,5
2963,1
270,6
850,13
1331,1
1542,7
2506,15
1677,25
1282,0
1240,0
958,6
1695,19
1034,5
982,24
1475,1
707,22
2750,8
2751,16
996,12
1927,4
2358,3
281,13
331,3
523,3
276,5
2938,0
2553,15
2215,5
1319,15
2897,15
2933,24
874,15
340,0
1288,23
878,9
1327,7
1476,6
1394,1
440,7
2403,7
1018,16
2482,6
489,0
2346,15
731,16
1086,16
1946,13
2927,5
2875,1
1582,9
538,17
2281,0
1700,12
2372,13
2194,0
400,9
2928,9
566,0
2395,1
112,7
2101,3
1114,3
1512,9
1962,8
1368,7
2657,0
1230,0
16,6
644,0
766,15
732,7
365,8
2614,7
1175,12
2160,6
2735,4
200,0
691,13
2275,23
73,9
2743,8
1387,0
1123,0
181,19
2150,1
2182,8
1180,3
1122,16
2862,0
1715,7
455,0
405,7
1603,24
1174,0
2036,3
2952,0
2498,15
495,0
449,6
626,13
1483,1
1514,15
324,24
53,8
1341,3
2833,8
2315,21
107,22
2884,15
2303,6
784,9
2179,1
2461,12
1162,17
1587,6
1303,0
1992,16
133,9
902,17
1530,8
1550,18
1030,1
2344,3
585,23
409,2
1931,24
1310,1
565,16
2909,8
924,3
2749,6
560,10
1445,15
918,6
2476,8
153,9
2919,1
1116,22
2636,9
755,0
1774,15
1951,15
1250,9
914,9
46,3
2809,0
389,3
87,3
1376,0
2392,5
1505,4
1723,17
826,12
2646,0
1401,16
905,10
786,15
2209,7
1975,0
2539,3
2679,4
577,0
1481,0
2148,7
1995,1
336,6
2350,18
883,8
569,6
955,7
298,14
680,9
977,10
256,0
95,5
2851,4
1959,8
1372,6
1687,23
1815,7
2575,0
499,12
1492,3
466,3
1095,0
2527,9
528,6
2117,6
719,4
1574,0
710,9
2009,6
2840,6
1087,15
81,0
1957,21
1035,4
51,17
969,0
2511,8
293,16
30,10
1450,7
1441,16
1419,4
2028,5
836,0
1540,4
1248,15
506,5
2004,0
2129,15
693,1
382,7
524,24
461,15
1316,8
20,8
1420,12
2100,0
2291,9
685,8
1879,0
2085,6
667,8
1366,0
2778,23
1294,0
1697,1
1001,1
828,0
1751,8
718,12
2698,0
1467,23
1486,8
1201,1
1090,16
1799,20
2310,6
2815,1
225,15
163,0
113,0
2017,0
2480,21
2325,1
1479,0
1336,0
483,3
2089,4
1780,0
265,0
411,6
1562,10
1939,6
2505,7
2236,6
2830,13
1330,24
927,6
1925,0
2332,9
994,6
22,18
2444,1
1081,7
2694,2
1821,6
1257,9
1374,3
2044,12
2181,7
1564,0
2163,7
1664,1
2583,6
1855,7
2109,14
2717,2
2127,0
2200,6
657,9
2722,3
2040,10
1154,0
2357,9
2380,11
10,0
2835,18
745,8
1259,15
2773,20
2152,7
2602,6
1093,8
1109,8
344,10
1602,6
2622,14
1348,13
2627,1
1136,21
1597,6
2806,15
372,14
1232,7
2782,22
387,18
1127,3
1234,0
23,15
659,7
712,16
403,3
390,20
1266,7
646,0
614,15
1822,15
556,8
2159,8
2654,0
1362,0
1694,0
2005,0
291,0
790,3
734,8
2027,15
24,0
369,7
2456,21
2021,18
2178,9
2305,6
2173,20
2361,20
2049,20
801,23
1135,3
2053,6
2354,0
1704,10
1721,20
1828,6
983,15
600,19
1732,0
2437,10
1113,0
2960,9
2111,19
2760,19
888,7
2125,12
1837,24
720,16
109,5
2810,9
539,0
1585,3
267,9
2958,3
2829,17
1470,0
2786,8
1273,6
2684,0
1933,8
1779,17
2147,5
1999,0
2491,7
62,6
2347,3
2255,2
1301,17
99,5
1684,0
2559,5
537,2
1317,5
1409,2
966,24
740,18
77,9
2912,3
2561,0
821,7
844,3
1426,6
2626,22
7,3
2185,4
1352,12
846,0
2899,20
2598,3
89,7
2104,7
909,8
664,15
219,7
2528,7
43,0
2593,6
2265,19
1521,0
595,1
266,3
1382,0
777,10
190,0
1554,0
2601,3
1137,16
1164,13
778,4
1312,1
1498,0
2282,15
1571,17
2853,0
1737,24
2293,16
1247,22
1229,21
2007,4
1599,3
347,0
2384,2
785,13
119,12
238,7
1400,17
706,0
2086,3
2124,3
2078,11
264,6
1262,15
2538,24
2572,0
676,2
1612,0
52,0
1943,0
2263,22
2103,6
2515,5
2791,1
948,16
1188,9
2164,0
2341,14
32,7
2,8
158,6
594,0
851,1
144,0
575,0
1212,15
2961,12
991,3
1416,0
481,24
1075,8
2277,8
1468,5
2950,6
2229,15
234,15
2929,15
170,12
596,3
2247,17
2025,0
2240,4
2842,0
2087,16
1499,7
1326,10
885,9
1006,6
2709,9
2700,23
1509,9
1726,2
854,0
2388,6
231,10
1460,24
1190,15
2665,8
1451,1
2969,12
252,17
465,18
2097,0
2850,7
355,1
2299,6
303,9
782,13
1482,1
678,10
44,3
2098,20
797,22
1950,6
341,6
2375,7
2309,7
2074,1
2881,1
1831,9
2756,0
1184,15
2222,0
956,15
2704,2
2820,7
2796,15
2072,0
2399,22
2817,3
2870,2
998,12
1997,7
2954,24
852,22
582,6
1459,7
2579,7
1169,7
2180,7
447,0
1267,0
698,2
2703,0
535,9
232,7
1786,24
2067,22
2696,15
141,23
224,2
867,22
262,0
2035,17
137,7
2063,8
728,10
2886,6
1807,8
