doc_idx,rewrite
6,Human rights and the war on terror
10,Spanish football match resumption after bomb scare
2,New UK rules targeting sham weddings.
0,World Economic Forum annual meeting in Davos
14,Death of former British Prime Minister Lord Callaghan
4,Court witness support reforms
7,Mobile phone consumer lifestyle trends
11,Vienna debut of The Sound of Music musical
3,Wales rugby team injury updates.
9,Rugby refereeing decisions controversy
8,Pakistani president's views on women's rights and Islam
16,Argentina's economic recovery.
18,Greek sprinters' careers ending in doping scandal.
19,Movie industry lawsuits against file-sharing networks
20,BBC licence fee spending scrutiny
22,Deutsche Boerse's bid for the London Stock Exchange
15,Tennis coaching rejection
27,MCI shareholder lawsuit regarding Verizon buyout.
24,Future of video game consoles
23,UK political debate on the EU constitution
26,Screen Actors Guild Awards film winners.
30,Russian oil firm Yukos sues over state auction.
13,Tottenham Hotspur signing Iceland Under-21 midfielder.
29,Approval of cannabis-based drug for MS.
31,Justine Henin-Hardenne's return to tennis.
33,British athletics sprinting criticism.
32,Former European 200m champion Dougie Walker retires from athletics.
35,US company bribery in Benin
34,UK election campaign news
36,Baywatch named worst US TV import in UK poll.
38,Welsh council tax funding and potential rises
40,EU software patent law rejection
25,SEC reconsidering post-Enron corporate governance rules.
39,UK Labour Party politics
42,Scottish music band poll results
43,Film about the Baghdad Blogger
41,Annual blog awards voting.
44,Overseas aid and debt relief.
45,Vodafone appoints new Japan boss.
46,Mobile gaming industry
48,German unemployment reaches record high.
49,UK retail sales figures
51,Greg Rusedski's withdrawal from Marseille tennis tournament.
50,Carnival Corporation stock market performance
47,Japan's industrial output and unemployment rates.
53,Concerns about education secretary's religious views affecting scientific research.
56,Kenyan athletics suspension news
55,Supreme Court file-sharing copyright case
1,IBM's investment in Linux software.
12,UK aid for Rwandan genocide rape survivors.
5,Scottish public smoking ban announcement
58,Egypt-Israel trade agreement
54,Updates to search engine personalization features
61,Greek athletes facing doping charges
60,Shell executive severance package after reserves scandal.
37,Paul O'Connell dismisses Lions captaincy rumours.
52,Oil prices rebounding after weather impact.
64,Indoor athletics championship trials and results
66,UK tsunami aid increase
65,Robert Blake murder trial
70,Bangkok International Film Festival
63,UK internet users illegally downloading US TV shows
69,Prisoner escape from high-security hospital
71,Scottish football management
67,US retail sales performance
72,Future of television technology
57,First US criminal conviction for email spam.
68,London's 2012 Olympic bid
59,Apple iPod product updates and market expansion
75,Steven Gerrard's commitment to Liverpool
73,Government anti-terrorism control orders and civil liberties
76,US consumer confidence and retail sales.
82,Champions League clash between Chelsea and Barcelona
74,Marion Jones doping allegations and potential medal stripping
17,Mercedes slump impacts DaimlerChrysler profits.
84,Regulation of ultra wideband wireless technology
62,UK politics and economy.
21,Scottish politics and alcohol policy
28,US manufacturing growth slowdown
78,Politicians' earnings and outside interests
83,JP Morgan's admission of historical links to slavery.
81,Legendary New York music studio closing
80,Business profits in the brewing industry
79,George Galloway's election campaign against Oona King
77,Gordon Brown calls for international AIDS funding.
93,Criminal investigation into Citigroup bond trades
98,Government anti-terror detention policy
90,Mexican remittances from the US
87,Australian mining firm takeover bid.
88,British television standards criticism
85,Consumer preference for portable music over video
94,Music awards
96,Rugby union match result
89,Russian oil firm lawsuit against the government
86,Microsoft anti-spyware trojan investigation
95,UK ban on psychological tricks in new casinos
91,Celebrity tsunami aid TV special
99,U2's performance at the Grammy Awards
101,BT's initiatives to combat rogue dialler scams.
100,Greek sprinters attend drugs hearing.
106,Death of conductor Marcello Viotti
104,Literary talent search competition for crime writers.
108,Iranian mobile network deal with Turkish firm
105,Irish rugby performance and achievements
110,Government policy on using force against burglars.
92,Continental Airlines warns of potential cash shortage.
107,UK politics and government controversy
102,UK court ruling on terror detainee human rights
113,Spider-Man 2 DVD review
115,Public sector pension reform strike talks
114,Music awards nominations
116,Rugby union tour news
112,Qantas airline profit and earnings outlook
97,Celtic midfielder Juninho seeks talks with manager
117,Political campaign cold calls
119,Labour Party conference venue selection
118,Brain-computer interface technology
121,Greek sprinters' doping verdict delay
126,RBS Six Nations rugby.
122,BT offers free internet calls with broadband signup.
120,Harry Connick Jr. starring in Broadway musical revival
125,Slow adoption of mobile multimedia messaging.
123,Microsoft's new anti-spyware toolkit for Windows.
124,Cat Deeley resigns as host of CD:UK.
128,England rugby union team leadership.
130,Andre Agassi's Australian Open injury doubt
136,Radio 1 chart show revamp
129,Security breach regarding Pakistani president's visit to London.
131,Tottenham football manager resignation news.
132,Oasis singer fined for German hotel brawl
133,UK Conservative Party tax cuts
138,Political strategist Dick Morris advising UKIP.
135,China suspends power projects on environmental grounds.
137,Vibe awards to continue despite stabbing violence
141,Next James Bond actor casting.
111,UK box office results
145,Future of Scottish Army regiments
144,EU plans to lift China arms embargo
147,US crude oil and gasoline prices surge.
146,Dundee United manager's job security.
143,Chinese export growth and trade surplus.
152,UK airport expansion plans face legal challenge
149,Lebanese stock market reaction to Hariri assassination
154,Half-Life 2 computer game review
150,Rising sales and technology of camera phones.
153,Celtic unhappy over Bulgaria international fixture date.
157,Discovery of lost Jim Morrison film clip
156,Political impact of older voters in UK election
160,Manchester United takeover bid
159,Scotland rugby coach Matt Williams's job security
155,India-Pakistan trade relations
151,Berlin Film Festival celebrates European cinema.
158,PlayStation 3 chip technology
161,UK's stance on EU rebate.
162,Decline in UK film production.
163,Fiat-GM business deal negotiations
164,Greek sprinters face doping ban ruling
165,Balco steroid distribution trial in athletics
167,Indonesian government fuel price rise.
168,US stock market reaction to presidential election
169,US trade deficit and dollar decline.
171,Kelly Holmes' 2005 British athletics schedule.
172,Film adaptations of classic children's television series.
170,Economic impact of Asian tsunami
139,Government anti-terror legislation
148,EU fund fraud reporting failures
175,Wales rugby victory over England.
166,Turkey's economic progress and EU accession prospects
177,Japanese stock market and economic recovery.
178,South Korean credit card lender bail-out
179,Joss Whedon to write and direct Wonder Woman movie.
