doc_idx,text,true_label
0,"Caching Placement in Stochastic Wireless Caching Helper Networks:
  Channel Selection Diversity via Caching",25
1,Improved Method for Searching of Interleavers Using Garello's Method,25
2,One-Bit Compressed Sensing by Greedy Algorithms,25
3,"Sum Secret Key Rate Maximization for TDD Multi-User Massive MIMO
  Wireless Networks",25
4,"Variable-length codes for channels with memory and feedback:
  error-exponent lower bounds",25
5,"Data Dissemination using Instantly Decodable Binary Codes in Fog-Radio
  Access Networks",25
6,Reconstruction of Frequency Hopping Signals From Multi-Coset Samples,25
7,Degrees of randomized computability: decomposition into atoms,25
8,The Capacity of Wireless Channels: A Physical Approach,25
9,Secrecy Transmit Beamforming for Heterogeneous Networks,25
10,"Fast Analog Transmission for High-Mobility Wireless Data Acquisition in
  Edge Learning",25
11,Polar Codes: Analysis and Construction Based on Polar Spectrum,25
12,Multi-packet Hybrid ARQ: Closing gap to the ergodic capacity,25
13,Computability of the Channel Reliability Function and Related Bounds,25
14,"Performance Analysis of Ultra-Reliable Short Message Decode and Forward
  Relaying Protocols",25
15,Degrees of Freedom of Multi-Source Relay Networks,25
16,Joint Power Control in Wiretap Interference Channels,25
17,"On the Maximum Number of Non-Confusable Strings Evolving Under Short
  Tandem Duplications",25
18,"Bayesian Optimization for Radio Resource Management: Open Loop Power
  Control",25
19,"A Steganography Based on CT-CDMA Communication Scheme Using Complete
  Complementary Codes",25
20,Improved Eigenvalue-based Spectrum Sensing via Sensor Signal Overlapping,25
21,"Two-Stage Subspace Constrained Precoding in Massive MIMO Cellular
  Systems",25
22,"Code Annealing and the Suppressing Effect of the Cyclically Lifted LDPC
  Code Ensemble",25
23,Energy-Efficient Soft-Assisted Product Decoders,25
24,Six Constructions of Difference Families,25
25,Quasi-cyclic subcodes of cyclic codes,25
26,"Joint Activity Detection and Channel Estimation for IoT Networks: Phase
  Transition and Computation-Estimation Tradeoff",25
27,"Optimal Power Control for Fading Channels with Arbitrary Input
  Distributions and Delay-Sensitive Traffic",25
28,Intrinsic entropies of log-concave distributions,25
29,On the Distribution of the Weighted Sum of Chi-Squared Variables,25
30,"Secret Key Agreement Using Correlated Sources over the Generalized
  Multiple Access Channel",25
31,"Capacity of UAV-Enabled Multicast Channel: Joint Trajectory Design and
  Power Allocation",25
32,"Decision Theoretic Cutoff and ROC Analysis for Bayesian Optimal Group
  Testing",25
33,"Private Information Retrieval from Locally Repairable Databases with
  Colluding Servers",25
34,Full Diversity Unitary Precoded Integer-Forcing,25
35,"BER-Based Physical Layer Security with Finite Codelength: Combining
  Strong Converse and Error Amplification",25
36,Non-Adaptive Group Testing with Inhibitors,25
37,"Sub-string/Pattern Matching in Sub-linear Time Using a Sparse Fourier
  Transform Approach",25
38,"Performance-Oriented Association in Large Cellular Networks with
  Technology Diversity",25
39,An algebraic look into MAC-DMT of lattice space-time codes,25
40,Cayley graphs without a bounded eigenbasis,44
41,Finding Certain Arithmetic Progressions in 2-Coloured Cyclic Groups,44
42,Disproof of a packing conjecture of Alon and Spencer,44
43,Path count asymptotics and Stirling numbers,44
44,Characteristic and Ehrhart polynomials,44
45,On indicated coloring of lexicographic product of graphs,44
46,Grothendieck polynomials and quiver formulas,44
47,The secretary problem on an unknown poset,44
48,"A better bound on the largest induced forests in triangle-free planar
  graphs",44
49,Is the missing axiom of matroid theory lost forever?,44
50,Extension of Paley Construction for Hadamard Matrix,44
51,Combinatorial Interpretation of General Eulerian Numbers,44
52,Maximal-clique partitions and the Roller Coaster Conjecture,44
53,"An elementary approach to solve recursions relative to the enumeration
  of S-Motzkin paths",44
54,Symmetry Parameters for Mycielskian Graphs,44
55,On the Ramsey-Tur\'an numbers of graphs and hypergraphs,44
56,"On the number of partitions of $n$ whose product of the summands is at
  most $n$",44
57,On Metric Ramsey-type Dichotomies,44
58,"Gr\""obner bases and cocyclic Hadamard matrices",44
59,Third Power of the Reversed Dickson Polynomial over Finite Fields,44
60,On maximum components of a class of perfect codes,44
61,Lines in the plane with the $L_1$ metric,44
62,"The permutation class Av(4213,2143)",44
63,Parameters Changes for Generalized Power Series,44
64,Strong General Position,44
65,Asymptotic behavior of the number of Eulerian orientations of graphs,44
66,Classification of Levi-spherical Schubert varieties,44
67,"Homomorphism complexes, reconfiguration, and homotopy for directed
  graphs",44
68,The Chromatic Number of Joins of Signed Graphs,44
69,Three Recitations on Holonomic Systems and Hypergeometric Series,44
70,"Giambelli, Pieri, and tableau formulas via raising operators",44
71,Characterization of the Pareto social choice correspondence,44
72,On graphic splitting of regular matroids,44
73,Recognition of generalized network matrices,44
74,Completely Positive Tensors and Multi-Hypergraphs,44
75,Monochromatic and Zero-Sum Sets of Nondecreasing Diameter,44
76,"A generalization of combinatorial identities for stable discrete series
  constants",44
77,Monodromy in Kazhdan-Lusztig cells in affine type A,44
78,"On the Schur expansion of Hall-Littlewood and related polynomials via
  Yamanouchi words",44
79,A triple lacunary generating function for Hermite polynomials,44
80,On Generalized Commutator,49
81,Normal subgroups of limit groups of prime index,49
82,Rational rigidity for E_8(p),49
83,Representation growth of maximal class groups: various exceptional cases,49
84,Property (T) for fiber products,49
85,"The number of composition factors of order $p$ in completely reducible
  groups of characteristic $p$",49
86,Bounds for the relative n-th nilpotency degree in compact groups,49
87,A characterisation of uniform pro-p groups,49
88,Definable sets in a hyperbolic group,49
89,Strict dead end elements in free soluble groups,49
90,A metric Kan-Thurston theorem,49
91,On involutions and indicators of finite orthogonal groups,49
92,Computing $n^{\rm th}$ roots in $SL_2$ and Fibonacci polynomials,49
93,On finite groups with certain complemented $p$-subgroups,49
94,"On the rate of convergence to the asymptotic cone for nilpotent groups
  and subFinsler geometry",49
95,Homotopy type of the complex of free factors of a free group,49
96,"What is a space? Computations in emergent algebras and the front end
  visual system",49
97,Defining amalgams of compact Lie groups,49
98,Elementary abelian 2 subgroups of compact Lie groups,49
99,On the geometry of sharply 2-transitive groups,49
100,Dense normal subgroups and chief factors in locally compact groups,49
101,"On the exponent of a finite group admitting a fixed-point-free
  four-group of automorphisms",49
102,On Nilpotent Multipliers of Pairs of Groups,49
103,On the Gap Conjecture concerning group growth,49
104,"Almost cyclic elements in Weil representations of finite classical
  groups",49
105,Strongly real classes in finite unitary groups of odd characteristic,49
106,Doubles of groups and hyperbolic LERF 3-manifolds,49
107,Classifying Virtually Special Tubular Groups,49
108,Towers and the first-order theory of hyperbolic groups,49
109,Finding involutions with small support,49
110,Groups whose prime graph on class sizes has a cut vertex,49
111,Bounded cohomology and virtually free hyperbolically embedded subgroups,49
112,"Generalized presentations of infinite groups, in particular of
  $Aut(F_{\omega})$",49
