doc_idx,category
1240,7
986,8
301,0
2698,6
2782,7
2625,3
1417,5
107,7
292,0
463,11
736,3
221,3
1151,2
636,14
2343,8
2009,8
1772,10
991,4
2626,13
1833,3
578,9
1823,3
1402,4
1791,4
1651,5
464,6
951,2
1533,8
321,8
2865,6
1677,0
1034,4
2181,3
2637,3
1558,2
45,10
2094,4
157,7
1819,2
2327,2
2077,15
2342,8
2843,4
12,10
2425,8
2392,4
1676,0
2880,10
188,2
2600,9
937,3
359,7
28,5
1849,4
2806,7
338,9
2353,5
2248,0
535,5
639,7
1982,8
1901,16
1150,10
2527,5
63,4
543,1
919,2
1115,9
763,7
2566,4
260,4
298,0
75,4
575,9
2543,7
1812,6
95,4
2332,5
218,13
132,2
1635,8
2620,8
2853,0
158,8
1937,1
2660,4
1708,4
2134,12
2517,5
870,2
1066,10
2900,8
1547,3
2632,1
1077,6
583,7
1088,5
2973,8
563,9
2588,13
1878,8
420,3
594,4
686,13
294,0
186,14
1818,0
1549,10
2858,2
1009,0
1897,7
684,3
2438,4
1576,11
1299,0
747,3
2115,4
2136,13
112,3
1326,13
2789,4
2221,3
2377,7
209,0
2694,2
2063,2
1162,0
1504,7
114,0
381,8
1191,1
692,17
2189,3
2652,13
1954,0
2083,7
2370,8
2172,2
2049,3
2109,16
2045,10
174,8
1542,3
828,0
2452,0
1224,5
2203,10
2536,5
2808,5
891,7
2871,3
2420,9
651,4
2602,8
461,14
1334,12
1828,8
518,2
111,9
2788,1
644,0
1234,0
1219,9
926,2
1630,12
797,7
2648,4
1588,3
614,14
415,2
341,8
281,12
1994,5
1396,7
1757,3
419,7
2902,2
1966,2
1601,2
2672,9
2419,4
664,14
1320,0
1984,9
1432,8
1607,15
2492,8
832,8
1100,7
1540,4
2642,0
2328,7
105,7
600,11
2068,0
1746,0
2598,4
894,8
2689,0
2733,7
2207,5
2599,7
1516,15
2893,0
523,7
480,4
2355,12
1580,0
2232,2
1069,7
1006,8
448,8
1597,8
1043,4
2153,0
2563,3
2933,6
604,12
354,5
737,0
99,4
2966,8
123,2
1154,0
2659,7
1721,0
786,14
1841,8
2493,14
1319,7
87,4
2899,3
631,1
1170,6
1178,2
128,10
1295,4
1144,11
2157,6
2821,14
117,8
1652,2
474,6
1302,10
2950,8
274,5
1165,14
1905,6
2582,8
996,7
2568,0
106,4
946,11
2700,5
1497,4
613,0
959,0
2721,9
1122,1
291,7
970,2
2761,6
1199,0
390,3
2471,0
627,7
2539,4
73,5
1920,7
897,12
2322,3
239,10
696,4
2384,2
669,0
2417,9
252,9
2717,2
195,13
1575,2
1218,2
504,8
2264,2
241,11
226,2
1212,7
2811,3
213,12
23,7
428,4
2339,13
853,9
2464,12
527,7
2748,0
748,8
974,4
7,4
2819,5
1411,0
1038,0
2295,0
2217,0
2596,5
229,7
2346,15
1593,10
2151,4
725,14
2026,3
282,0
1773,6
648,0
2574,8
2288,7
1370,3
1085,0
100,0
2636,5
2389,17
1368,3
44,4
1809,1
2237,0
2832,4
1517,13
565,1
2307,13
1213,6
2828,3
1367,9
819,7
990,5
2442,4
160,5
1902,7
1184,7
2505,3
769,8
2368,5
874,7
585,5
1918,13
1910,14
1694,0
1766,3
1421,15
537,2
1660,15
1509,5
586,13
193,15
1119,3
393,16
1793,10
2509,0
2190,4
161,7
654,13
1711,14
1618,9
987,0
1322,9
784,5
1441,1
2690,7
2429,0
2114,4
1099,4
811,4
499,7
1974,3
500,4
1343,2
2413,4
1189,4
2076,15
2031,5
1359,13
2530,1
145,13
2430,7
904,0
2719,5
444,11
2575,9
2222,0
460,6
711,7
307,3
2465,4
389,4
1959,2
1171,8
2348,8
2228,12
513,0
516,3
2896,2
1738,2
22,8
2507,6
270,8
572,4
1113,0
199,3
681,9
1208,5
1440,8
1360,0
1940,7
2882,2
61,7
2569,3
2143,7
734,2
2603,4
900,7
961,0
1484,2
1248,14
1943,0
2055,3
2024,14
39,12
742,4
1106,2
2304,4
366,1
1550,0
890,13
2211,0
2869,0
137,3
1769,14
2461,0
1442,5
439,0
2316,2
2344,4
1269,7
2891,14
1712,4
182,3
1204,7
1380,12
757,5
1384,3
1109,2
1439,2
2920,8
1427,13
2119,9
1276,2
885,5
2128,0
2962,5
1301,6
88,0
1761,8
1561,7
2953,3
1407,7
2889,8
1044,8
872,14
1826,4
2567,13
2286,13
259,1
1443,0
1052,8
285,5
14,10
465,7
2662,0
2308,15
65,5
1341,4
2008,4
1794,8
2771,5
217,3
2856,7
726,7
2847,0
960,10
2807,10
432,7
2549,0
569,8
2876,1
310,14
2958,4
2919,10
791,3
315,5
2129,14
2713,9
495,14
772,15
2906,8
392,5
247,12
2959,0
1888,2
459,6
431,15
1967,1
938,4
596,4
1420,7
1283,4
2515,4
1532,9
1978,8
2333,10
546,11
1225,3
70,4
1764,8
1335,11
1021,9
2191,6
5,8
540,3
1795,1
2255,2
1193,6
972,3
1531,7
356,11
2267,7
376,3
2100,4
2540,1
102,7
941,7
1047,3
1305,9
36,8
1740,4
1155,4
1279,4
1674,12
2802,0
2212,0
434,16
1458,10
788,2
618,10
1409,2
194,13
2239,7
792,5
1050,1
2674,7
1297,5
1328,5
1971,10
1854,8
979,1
2589,4
58,13
2798,3
1691,4
928,7
1688,4
1374,4
2305,8
2149,14
2590,2
988,0
2934,11
1906,7
1134,7
2878,7
2224,0
940,5
279,0
159,0
591,4
1419,11
1675,7
1139,8
871,5
1654,10
2012,9
1306,0
735,14
2111,11
2670,10
2842,0
181,11
443,7
899,14
2064,8
1137,1
1180,4
40,8
837,3
662,6
325,6
478,8
728,13
2722,4
302,10
1259,7
405,3
2624,3
920,9
412,8
2693,5
605,2
2467,6
2762,5
2268,13
169,13
2167,7
568,3
1955,14
2423,10
1951,7
2769,4
2164,7
2320,2
353,15
608,0
1876,14
598,9
151,0
1355,8
1375,10
398,1
807,2
2194,4
936,7
602,9
1239,3
2138,10
1594,2
1935,1
1327,3
2728,15
932,0
1040,0
1111,7
1307,8
2329,8
2741,8
659,3
205,9
1120,3
1623,4
1543,10
2003,11
2376,0
1156,15
921,0
869,4
1637,2
1641,0
1609,1
1026,8
69,8
976,7
1313,0
984,4
1805,5
2366,0
2885,7
800,3
2940,10
2101,4
702,6
2565,2
2829,0
98,15
196,8
245,0
2936,14
86,0
1546,2
2233,4
2412,8
2799,2
421,15
1881,7
1136,15
2742,11
985,8
2282,7
2489,15
896,2
1318,3
1019,2
2573,4
2557,6
967,15
1972,4
1503,3
1702,7
2449,7
1644,0
2844,4
2479,8
1001,10
2711,7
2399,13
2781,9
2619,2
1670,8
2763,0
1004,0
2514,0
1131,0
1969,15
2005,0
2912,4
1945,10
1596,7
20,2
2411,5
2701,0
2804,2
