doc_idx,category
1903,2
659,2
281,4
214,2
828,3
638,1
1948,10
586,12
414,3
1572,5
454,6
155,1
911,1
2072,9
319,2
403,2
564,6
1834,4
1368,3
1489,4
533,4
1849,9
651,4
1909,2
63,6
1667,2
1788,6
1273,2
2170,6
1969,4
969,2
34,4
1982,5
1121,3
1353,2
1721,2
1757,14
857,10
1037,2
412,2
2038,3
529,2
366,6
1420,2
493,2
1787,6
818,4
854,2
268,10
749,2
1991,2
1517,5
1609,1
684,5
1558,2
1600,9
164,2
186,6
1426,4
652,1
603,3
786,6
379,2
1530,4
1980,2
1155,5
793,4
194,4
373,2
1023,6
1295,5
1712,2
330,5
128,2
789,14
514,1
1511,2
1315,1
111,3
1856,2
1251,6
1249,9
1075,3
1877,6
991,6
1750,9
549,2
47,1
1820,2
171,2
801,10
365,3
2094,2
1015,3
350,6
2061,2
1596,2
23,4
1535,5
2182,5
485,4
647,2
2119,3
1742,2
294,2
1087,6
426,2
1555,2
1822,5
540,6
174,2
1150,3
1480,5
1772,1
1020,3
1868,9
547,10
1373,8
2035,9
1819,6
11,3
1835,6
798,5
1654,4
2096,6
1630,12
2191,6
1241,3
1152,9
630,2
2123,2
1598,2
700,4
664,4
168,1
348,6
2208,3
1720,1
306,2
989,2
434,2
1845,1
2188,3
2156,1
383,4
224,3
1536,6
2120,3
1035,5
607,3
3,2
2140,1
624,2
127,1
166,1
131,2
1430,2
1939,10
666,6
2207,8
1493,4
71,2
2086,1
2129,6
520,3
912,3
824,4
1183,1
161,12
1459,5
1887,6
867,2
2202,3
1142,9
1004,3
1590,6
1974,2
392,4
1652,1
698,1
1704,3
295,6
1514,2
1336,4
1777,3
960,4
180,2
1071,6
175,2
101,6
2054,5
697,4
149,13
256,3
864,6
1827,9
302,9
1885,9
1069,3
2019,8
1330,6
1895,6
1786,4
1709,6
1665,3
24,6
2184,2
1577,2
1766,6
855,3
1749,4
1,6
2050,3
975,4
1925,3
2015,2
707,6
280,2
2014,7
1163,5
1047,5
244,6
121,2
1552,2
460,2
919,6
1761,5
1869,6
1627,14
1752,5
1789,9
1024,6
938,9
1337,6
1260,4
573,6
77,7
1700,4
1345,9
1896,2
6,10
151,3
5,7
1213,1
628,4
1334,1
1187,3
416,5
469,2
1255,3
1011,2
1564,3
1348,6
871,9
1117,1
1656,5
1105,3
75,2
1503,1
890,9
370,5
481,12
735,3
2052,2
252,14
445,3
2046,3
36,3
150,6
1937,9
1341,2
2058,3
2081,5
572,5
345,5
521,4
333,9
1938,12
2218,9
504,5
512,3
313,5
1106,4
1072,4
1616,3
1196,9
1935,2
1062,1
1972,3
341,1
1244,6
1188,4
495,6
701,8
980,6
920,4
1398,6
711,6
1235,1
825,2
245,2
730,1
927,2
1320,6
22,5
523,3
1916,6
1294,3
79,4
1633,2
580,2
783,14
2145,10
930,6
213,1
413,2
1953,1
1836,5
468,1
230,3
1956,6
33,2
721,1
1454,8
329,9
655,2
657,3
1404,2
1994,2
1847,12
2193,3
1107,9
425,14
1250,3
1417,6
134,1
207,5
229,6
2006,3
679,2
461,3
898,4
577,6
1299,9
237,6
1447,6
388,2
851,3
546,8
1759,3
404,4
1637,9
1437,5
877,3
2085,5
1864,1
505,15
1477,5
1448,13
874,2
1168,14
1450,2
1528,4
1215,3
1940,3
2219,5
1094,1
1727,4
1957,12
812,9
1141,6
2200,1
594,6
2142,6
1073,5
48,1
231,2
1258,4
2149,5
1009,10
2013,2
718,10
737,3
1464,9
763,10
1122,6
2223,3
1333,6
791,6
258,6
1606,12
471,7
617,7
1425,4
575,12
1751,5
300,2
770,2
1153,2
1722,8
1402,14
1695,3
978,1
1203,2
731,5
916,2
74,2
1040,3
526,2
90,1
419,13
2047,1
2099,4
104,3
1296,3
356,2
1967,13
943,5
1560,3
1661,5
981,3
509,3
427,9
488,4
692,2
240,1
286,4
913,4
363,1
1912,3
2041,2
545,4
96,2
929,3
382,6
1634,3
1008,3
1220,2
2057,6
124,3
1416,1
1873,6
87,5
1210,1
162,3
1623,3
757,2
962,7
1746,0
7,6
567,9
0,12
1748,6
1687,2
1929,4
473,6
1327,2
1318,4
397,6
2042,2
2199,10
961,1
1615,6
1029,4
904,1
2079,4
746,6
209,4
1208,5
1933,11
1635,3
494,7
1908,4
2189,6
1491,2
418,4
4,9
518,6
1806,9
1054,5
2144,3
2206,4
1966,9
27,5
833,6
696,6
1781,14
1418,1
1381,6
287,6
910,9
1286,3
436,5
94,3
648,2
1026,4
1918,9
903,6
217,2
1793,8
1739,2
712,2
788,6
1844,2
2059,1
1247,6
1807,2
340,4
254,2
1902,2
1470,2
1754,2
204,2
1523,2
1216,2
661,1
949,3
185,6
1831,4
931,5
815,5
538,3
1494,1
2025,9
1785,3
1617,6
61,2
706,6
1356,3
189,12
625,2
1881,14
894,3
2055,2
765,2
1673,2
1735,3
1254,5
1332,2
687,7
2010,4
226,13
1694,4
1169,4
1354,1
907,5
1473,3
105,2
502,3
284,5
347,2
1764,2
156,4
668,2
457,2
331,5
957,4
307,3
1512,3
1717,4
1205,9
1501,6
1762,3
1465,6
293,4
391,1
1436,6
2169,4
1259,4
816,2
1191,6
417,12
315,6
1900,2
21,10
1275,1
1156,3
1758,9
263,9
477,2
1775,2
803,5
1537,4
1575,9
296,1
1041,2
945,1
1684,2
557,6
55,6
1198,3
670,5
97,2
959,2
1111,9
308,3
1894,6
1239,3
65,9
702,10
192,1
1692,2
1366,2
2150,4
381,3
714,5
157,3
1932,4
1920,4
1030,9
1395,6
472,3
1584,4
257,12
1913,4
1474,1
1357,4
2131,12
255,2
1253,11
1409,2
1412,2
1130,6
1172,6
2011,1
1897,6
395,4
1518,6
550,6
1823,5
882,9
1931,2
1539,3
1923,2
1463,9
997,3
1611,4
555,3
1171,5
769,8
312,2
843,3
840,14
1279,6
2122,8
1458,2
115,4
325,5
1601,6
1671,6
321,10
1708,4
120,3
1084,3
565,11
72,6
1018,2
2133,3
1197,3
1277,5
827,2
1632,3
1876,2
400,4
530,4
304,4
528,2
1773,3
499,5
83,9
612,6
1576,4
548,1
1124,3
1195,4
26,3
2053,5
995,3
2027,2
188,2
1589,4
1364,2
1242,2
950,4
260,5
1848,3
2112,4
599,6
1952,5
570,6
1804,10
608,13
1954,8
1563,1
191,2
1927,3
541,1
869,6
1211,3
976,1
355,8
70,3
1792,2
2117,6
1541,6
506,3
1440,3
1587,3
1403,3
543,5
32,2
887,4
616,2
125,6
1911,6
928,6
1809,9
1561,2
464,1
1043,6
759,2
1859,2
2109,4
195,9
2104,4
2088,4
678,2
1899,5
1176,2
933,9
1306,6
1817,4
1193,5
443,2
1569,14
1039,6
804,6
193,3
1089,3
450,1
54,6
1863,2
977,6
1097,5
1025,4
1031,6
1499,9
1149,4
1874,3
1641,6
1531,3
614,3
1442,9
2220,7
428,4
377,2
386,2
1507,12
1240,6
384,1
148,9
667,2
1904,3
1225,2
1649,3
2080,5
748,9
1478,4
1323,7
1731,1
1036,3
790,5
974,1
1862,2
241,6
1164,6
187,3
1729,3
686,2
1504,6
1019,2
1217,9
208,9
705,2
2029,2
524,6
847,1
1993,2
646,5
2128,4
1297,6
1814,2
880,3
1266,9
1344,3
1828,5
2172,9
1867,2
1340,5
1116,2
129,9
1683,2
1857,2
177,1
2040,5
1387,1
677,4
935,3
432,5
1274,2
196,13
1408,11
1367,3
704,12
439,2
1394,3
88,3
62,4
744,11
1310,1
2176,2
311,3
914,6
2008,1
1732,4
479,12
709,5
1331,2
1406,6
441,9
491,5
736,6
908,10
1146,2
1422,1
544,3
1202,3
1189,2
12,10
1942,3
1132,2
2125,9
653,12
2023,3
1860,4
558,6
68,2
640,6
476,6
142,4
401,2
1977,5
2135,2
583,2
2161,3
848,6
534,4
1434,1
67,1
310,4
2178,5
1716,4
829,3
1021,3
2126,12
1697,2
346,6
958,3
1377,3
423,4
1736,2
1302,1
100,2
1525,1
1145,4
1370,2
766,6
856,2
372,6
507,3
1119,6
359,3
918,2
1544,3
866,2
994,2
1157,9
720,4
1872,3
1559,1
1816,5
291,3
2063,6
167,1
717,2
1621,2
314,3
160,2
889,5
1568,6
1928,3
1681,14
987,6
1285,3
1443,6
1713,2
422,5
212,9
602,2
1643,6
154,6
2056,2
1556,6
733,3
992,2
1032,3
1335,3
1319,12
239,3
1479,4
683,6
1206,9
1924,3
844,1
1990,3
30,5
1551,3
682,4
762,2
972,3
360,2
424,9
1958,3
1981,6
1390,9
1614,3
456,4
1131,12
758,4
862,9
1767,2
16,1
1181,6
235,11
1475,3
917,4
1978,6
1542,2
337,9
2097,2
754,3
883,3
406,2
1562,3
1821,6
1655,6
1313,4
1292,2
1675,4
1050,3
292,6
1159,5
437,3
663,6
2045,5
654,3
108,12
779,2
1944,6
1456,2
1636,5
595,3
641,2
837,6
1280,2
1755,2
1136,2
836,2
1701,2
2093,2
901,2
201,10
2004,2
1339,4
2152,3
320,2
809,1
787,9
1140,1
1811,6
1689,3
1889,2
1095,2
438,1
1005,2
942,3
932,3
941,4
2115,2
1143,4
