doc_idx,category
1579,2
81,1
221,2
4,9
520,1
948,1
2080,2
1169,3
269,4
107,3
1892,1
806,3
65,14
1498,3
36,1
473,4
1213,2
1020,1
1692,6
1533,2
1904,1
1048,4
1901,6
1615,4
1842,2
1009,10
1457,4
2147,2
1597,2
1398,4
626,12
1646,6
485,3
1088,2
1554,2
2116,4
881,1
325,5
564,4
1035,2
187,1
614,1
1162,2
1585,9
412,6
304,3
1352,4
316,6
621,7
876,8
1128,2
120,1
1992,6
1909,6
699,6
1558,6
2084,5
1856,6
89,2
907,2
208,9
745,1
423,3
1152,3
1144,6
270,1
1664,1
1978,4
615,1
1837,2
1278,6
1631,7
380,6
735,1
1932,3
765,6
800,6
1630,8
1480,2
632,10
1622,1
997,1
2038,1
307,1
815,2
667,6
1308,4
1608,1
352,1
1739,6
553,6
650,6
251,2
2062,9
181,4
1484,1
1775,6
664,3
1641,10
646,2
2191,1
1665,1
1236,6
930,4
1260,3
634,4
1422,2
666,4
890,2
589,9
2127,8
202,6
1221,9
752,6
945,2
974,2
321,1
569,1
2018,2
778,1
483,6
1656,2
246,6
862,9
593,4
1348,4
1728,1
1082,3
981,1
853,4
1482,6
78,3
1284,10
384,2
240,2
361,1
1750,9
1552,6
319,6
118,4
851,1
464,2
1910,9
963,1
487,7
41,1
1156,1
701,12
2221,6
68,6
186,4
1514,6
379,6
1261,6
587,11
1246,1
1399,4
1305,1
878,3
1029,3
263,9
975,13
1654,3
2028,4
1265,6
2058,1
678,6
1993,6
1777,1
1776,2
462,6
1047,2
1369,4
921,6
558,4
949,1
525,3
1003,1
1199,8
1884,2
579,3
939,6
276,1
2104,3
365,1
2171,4
1298,2
937,4
444,4
1364,6
1264,1
248,6
106,1
730,2
2025,9
347,6
1626,1
33,6
1873,4
416,2
1761,2
1211,1
198,3
1982,2
1276,2
2200,2
591,1
2078,6
466,6
2151,6
1282,9
1367,1
792,4
1118,4
1164,1
891,6
1253,7
314,1
42,1
1079,14
658,6
1408,7
1561,6
1657,2
1090,1
547,10
1675,9
2121,9
175,6
1275,2
2158,6
278,8
72,1
154,1
859,2
1160,3
1784,2
223,8
1215,1
848,4
418,3
1469,2
2045,2
1737,2
530,3
27,9
1767,6
217,6
661,10
455,2
955,7
814,1
1403,1
1043,4
988,3
2073,6
894,1
875,6
1782,1
1651,1
1148,1
565,7
1699,4
1420,6
892,4
1299,3
1249,9
942,1
914,4
1151,3
1432,3
2163,2
624,6
1895,4
774,6
468,2
164,6
2178,2
374,6
299,15
1000,1
1930,6
492,1
2136,2
1772,2
927,6
1109,4
494,5
438,2
713,3
1860,3
1850,2
938,9
1134,9
1470,6
1460,1
1989,0
1762,1
1060,9
2185,6
1286,1
1325,2
182,6
773,6
1130,4
17,2
1578,3
1667,6
132,1
443,6
1949,0
1207,4
357,2
1285,1
1869,4
1021,1
656,2
1353,3
442,3
1497,4
1802,3
38,2
1233,4
2175,2
1067,2
1343,9
12,10
76,13
560,9
111,1
1024,4
1658,3
1190,6
358,6
528,6
1219,9
258,1
1517,2
633,2
1980,6
976,2
149,8
1303,6
2149,4
1960,4
1605,4
759,6
141,1
1200,4
1216,6
389,2
1244,4
1709,4
381,1
1879,9
2002,1
1180,1
1010,8
1577,6
552,2
1925,1
543,2
1149,3
2093,6
231,6
435,8
218,9
215,6
1581,6
1365,1
415,9
1682,1
719,2
1722,12
456,9
1023,12
787,9
812,9
1691,3
158,4
681,2
741,1
731,2
1935,6
1209,2
595,1
2011,2
57,9
1327,8
1683,6
1101,4
1886,3
1028,1
770,6
1339,5
61,6
450,2
996,3
289,1
1897,4
1116,6
762,6
1449,8
1542,6
1201,1
561,9
1231,6
2022,2
670,2
854,6
944,1
2032,9
1186,6
1039,4
1336,10
50,2
1007,12
2064,4
2206,10
1814,6
934,6
172,1
491,9
1331,9
1635,1
2052,6
482,2
1881,2
2209,3
2205,2
1967,2
1804,10
1567,3
1366,6
987,4
1309,12
2013,6
2033,2
247,6
779,6
1592,3
2075,6
1649,11
1926,1
275,3
1397,3
1836,2
2050,1
1515,3
843,1
1688,6
2000,1
1435,2
849,2
1248,4
1477,5
869,4
69,9
625,6
1757,4
1880,6
1165,1
1155,2
690,2
328,3
1679,6
1050,1
867,6
1841,9
2041,6
1668,1
723,2
2148,4
1142,9
370,2
505,1
364,6
1500,6
110,3
1998,6
1697,6
1185,9
2190,4
1413,6
636,1
261,2
1123,1
712,6
1053,3
1415,2
1226,8
896,6
1780,2
598,7
1488,3
478,6
1065,4
1520,4
1936,6
1530,3
1696,6
1562,1
1290,2
871,9
2035,14
506,1
1518,4
1351,6
1493,3
1602,7
805,2
953,6
703,4
262,6
732,6
888,9
197,3
479,8
