doc_idx,category
1615,2
1851,9
1787,12
168,1
893,2
870,10
943,1
1844,2
2289,4
2619,4
1876,10
746,6
1069,10
727,6
2124,8
2727,12
1410,8
263,1
1881,10
250,11
2974,10
425,10
884,8
278,1
2235,5
2506,5
1359,12
2276,10
1682,2
538,4
2031,2
1628,2
1741,5
1515,5
1491,1
2215,8
1918,12
46,6
1619,1
579,2
2762,9
325,9
2624,5
2261,5
2698,5
1020,1
2558,4
39,12
2482,12
2047,10
1891,1
2599,5
1331,8
2607,10
81,1
1586,6
209,5
1709,5
1103,5
737,9
711,9
1970,5
1212,1
2704,7
1006,8
1954,0
2280,9
99,9
2951,4
2081,10
1482,10
178,4
2175,7
1348,1
1222,5
1816,8
1712,9
478,9
1121,5
2262,1
122,5
714,2
1140,9
235,2
1853,8
794,8
2819,2
1416,8
1805,0
423,10
2345,2
1014,10
764,2
540,3
1200,4
2800,8
2540,5
1953,8
2375,1
1840,10
2483,8
2437,2
1092,10
183,8
265,12
2312,1
226,1
810,4
997,2
447,6
1062,12
1297,9
14,12
1533,12
1967,5
2059,11
1875,7
1351,6
2744,9
2603,0
2202,0
422,9
2199,6
2178,9
1860,12
393,5
1842,10
1795,8
93,2
2210,5
2697,8
2965,4
625,2
3,0
2925,1
879,8
611,10
1409,0
407,2
2799,9
1664,8
1485,8
974,5
2507,12
2854,4
1561,5
2525,12
1576,10
2630,5
1959,10
1791,12
1507,2
1309,1
1858,9
1940,2
2247,5
788,8
2356,8
837,8
563,8
2400,9
652,12
2508,10
397,5
2418,5
2001,5
772,9
1058,8
2408,5
1286,5
2478,4
2473,8
1605,10
2203,5
868,5
2112,2
2986,5
1986,1
2158,10
2681,7
1153,2
2283,10
2079,4
79,8
2941,10
662,8
2019,5
2098,12
2989,1
283,12
70,5
182,10
2976,6
562,5
892,8
2975,10
2729,12
934,5
2616,8
350,10
1287,8
323,2
721,4
1874,9
77,5
2589,8
171,12
114,6
385,4
1072,2
2531,8
2367,10
1693,2
1883,12
1611,5
2249,1
2659,12
1857,5
243,4
1630,2
1123,10
2638,12
852,8
2644,2
2909,5
1415,1
2555,1
2942,6
969,8
1526,1
190,2
413,5
241,1
161,5
2319,2
65,2
360,3
2497,3
1548,5
347,0
331,10
1854,12
426,12
21,5
1041,1
2212,6
2374,5
1843,12
502,10
2831,2
1626,5
2360,6
1213,5
2094,8
2631,2
875,2
1375,4
435,1
2232,8
1960,12
2035,6
2306,12
1438,9
2650,10
697,2
1721,1
2370,10
1524,9
555,4
2407,3
1698,2
63,2
1133,3
1054,3
1282,9
1535,8
1778,3
963,9
61,4
769,10
512,5
5,1
1508,9
305,8
1574,4
909,5
2095,3
1256,2
1180,4
152,9
2217,9
738,1
678,2
732,9
2038,8
266,9
2857,2
1298,5
2773,10
1553,3
2895,10
167,12
2167,9
1958,8
2394,2
130,9
440,1
1431,8
801,2
741,8
1463,2
116,2
355,6
2234,10
1809,2
935,8
1386,1
68,4
2117,6
450,8
1815,1
48,10
270,1
1780,2
40,2
2462,8
2809,12
2970,3
232,2
948,9
1365,11
1118,4
865,8
2760,7
1901,5
2515,8
645,1
719,8
199,7
1966,2
54,8
1224,10
2511,2
2063,5
882,1
2134,1
2025,8
2514,8
1056,2
1701,6
1182,9
464,4
2797,5
1011,8
2299,8
2197,3
2653,8
1659,9
2075,2
2195,0
1715,12
1247,5
673,10
2348,8
1534,10
1756,8
1884,5
2335,6
2071,9
69,2
1769,12
2392,5
174,3
2982,5
784,5
1468,1
1250,2
1335,12
1269,9
2286,2
1279,5
2664,8
153,12
2598,10
1570,12
2547,9
994,12
971,4
1856,0
149,1
115,5
295,1
2126,5
2424,2
455,2
1418,7
479,5
2674,4
2099,5
2273,5
1673,5
504,5
1509,10
1248,12
1757,12
1720,1
1950,2
198,5
765,3
1666,8
2918,4
2574,6
605,1
2816,10
2330,2
1772,2
2957,0
1240,2
845,8
74,1
2865,12
1181,10
2757,9
2412,12
2445,2
2559,1
965,5
1700,2
1314,5
2157,12
2919,1
2051,5
856,11
894,12
1963,2
1711,1
299,2
231,1
2103,6
367,5
327,12
1593,1
1490,5
359,10
581,8
938,2
2830,8
2039,9
1729,2
675,9
42,10
782,8
1210,12
2466,10
1699,10
1863,2
2853,5
2259,6
2491,2
2580,5
1450,2
1239,5
839,6
451,1
2162,2
1789,10
2792,6
2913,2
1459,10
60,1
762,6
987,4
1059,2
2184,2
2325,5
781,5
1677,0
187,8
1841,10
483,8
2971,6
1898,12
1833,1
2337,8
2036,6
1301,2
1353,5
2885,5
1449,10
2504,2
1802,5
2069,1
787,3
2633,5
2190,2
2357,2
1440,1
989,1
820,6
1093,2
1323,8
2954,10
1522,1
1127,2
2881,4
1186,12
2350,2
790,3
1211,4
682,3
216,2
1825,6
2373,2
903,8
871,8
594,9
37,1
1645,2
259,2
1912,3
1077,10
818,4
2880,9
2415,12
1634,12
521,10
1871,1
1736,1
2421,1
2912,2
1037,2
2929,1
2115,2
1850,8
2609,6
1394,6
1257,11
2387,2
2692,8
2949,2
135,9
2485,12
1607,8
277,6
1363,12
2871,12
2396,12
2983,10
524,2
1550,1
2368,6
272,10
905,11
1944,10
637,9
210,11
487,2
1315,5
1821,12
1251,10
960,5
1822,1
1040,2
1916,5
2770,10
2055,1
992,1
10,6
470,5
601,8
2300,1
1084,5
771,0
2471,8
1931,9
2634,5
959,5
2838,10
2054,8
1728,8
442,5
2269,10
1531,2
655,10
851,10
2835,8
408,12
1585,4
726,2
363,5
848,10
2566,4
2928,5
1935,8
274,2
1506,1
981,1
2365,8
1290,12
1192,2
2323,8
2577,8
2388,2
2452,10
2851,1
2972,12
626,3
1596,3
1125,4
505,1
332,8
117,8
1761,8
1115,1
1053,11
2904,2
2658,2
1552,2
2858,1
2671,2
2230,10
121,10
1204,9
982,8
2818,10
1470,4
1824,2
547,0
495,12
2536,2
2528,11
2129,1
2701,12
2160,8
3007,2
2116,0
468,12
1754,12
1172,10
1071,8
1640,1
344,10
907,6
2837,1
76,5
1379,6
2843,10
71,12
72,1
2721,8
624,10
1258,1
1992,4
1636,1
2590,2
1169,9
1082,1
2959,10
912,4
774,2
554,8
1126,8
1905,2
1510,8
2200,1
1613,2
101,9
2962,9
800,7
348,12
742,12
353,1
1245,1
537,2
2626,10
1904,2
1694,9
430,10
844,8
2159,10
2012,2
2050,12
2372,10
462,1
2869,5
2072,5
1777,4
2795,5
549,4
761,1
1273,2
2111,11
160,12
2076,6
720,2
2088,6
608,0
2739,2
249,8
59,5
2991,2
2850,2
2789,2
1074,12
345,5
2772,5
1975,8
1554,2
2586,4
553,9
1477,6
1740,6
3006,10
1264,9
670,8
2447,1
1417,12
2724,1
89,2
1793,8
269,12
118,10
2125,10
664,10
2648,2
411,5
751,2
1471,6
876,11
2346,12
2238,12
433,8
155,10
1361,6
1392,12
883,2
1541,1
2484,10
1827,2
86,9
1395,6
2204,12
2062,5
2165,10
577,3
1624,12
932,10
1189,5
2570,12
1068,12
436,5
519,1
1540,5
328,8
2952,1
1441,8
7,12
2468,10
1587,2
1831,5
2218,10
2156,5
2855,0
1367,5
667,10
2177,5
1147,2
428,10
2588,5
1519,2
1892,5
853,2
739,3
2825,9
480,5
2344,1
2862,2
144,0
922,8
1016,5
1979,10
2999,7
1,12
4,1
1578,6
1564,8
1762,8
2538,5
1019,2
832,4
2848,9
432,2
2815,5
2841,8
2737,5
2401,8
1763,1
1565,1
2618,4
1230,7
2179,12
313,5
2237,1
1447,12
1549,1
91,7
1043,8
1646,10
640,2
2567,2
