doc_idx,rewrite
7,Astrophysics
4,Anharmonic lattice heat conduction
5,Computer science dynamic memory management
8,Discrete time crystals in quantum spin systems
0,Coarse-grained potentials for water modeling
11,Convolutional Neural Network error correction
1,Linear systems in group theory
10,Quantum mechanics of atomic orbit quantization.
13,Dynamic advertising modeling in oligopoly markets
9,Nonlinear optics in liquid crystals
6,Hamiltonian lattice quantum chromodynamics
2,Wireless network throughput analysis
3,Particle physics and gravitational wave cosmology
12,Protoplanetary disc accretion physics
15,Stochastic prediction of ergodic systems
14,Wireless communications and UAV trajectory optimization.
27,Functional analysis
24,Conformal Field Theory
23,Experimental particle physics
18,Higher dimensional gravity invariant under the AdS group
16,Quantum computing and quantum digital simulation
21,Molecular dynamics simulations.
26,Parameterized complexity of graph algorithms
19,Generative adversarial networks for image-to-image translation
20,Stellar astrophysics
25,Quantum physics of Bose-Fermi ring systems
22,Concurrent programming verification under relaxed memory models
28,Cognitive history of collective and individual intelligence
29,Quantum physics of spins in diamond defects
17,Quantum Monte Carlo methods for many-fermion systems
37,Sparse Gaussian Processes and Variational Inference
33,Condensed matter physics
35,X-ray astronomy
38,Nuclear energy density functionals
32,Condensed matter physics
31,High-energy astrophysics
42,Physiological condition monitoring in intensive care units.
39,Automotive embedded software engineering
30,Analysis of the Laplace Dirichlet heat kernel
43,Cryptography and computational number theory
36,Low-dimensional topology and geometric group theory
41,Approximation theory
44,Graph theory
34,Statistical mechanics of colloidal particles in binary fluids
45,Cybersecurity and software attacks.
46,COVID-19 time series forecasting using deep learning
52,Matrix algebra
55,Plasma wakefield acceleration
48,Silicon-based quantum computing
53,Multivariate normal variance mixture distributions
40,High-energy physics effective field theory
51,Time series forecasting using computer vision.
49,Generative modeling and conditional simulation.
50,String gas thermodynamics and cosmology
56,Semiconductor defect physics
54,Theoretical physics and statistical mechanics.
67,Algebra and discrete mathematics
64,Cosmology and inflationary perturbation theory
60,Graphene optoelectronics and nanophotonics
57,Biophysics of growing surfaces
62,Theoretical physics
61,Graph theory
58,Quantum optics and quantum measurement theory
68,Plasma physics
59,Computer vision and motion capture.
65,Biomedical imaging segmentation
72,Cognitive cellular networks
69,Condensed matter physics
63,Supersymmetric dark matter detection
71,Protoplanetary disk astronomy
66,General relativity and theoretical physics
77,Quantum simulation of condensed matter physics
78,Medical image analysis in oncology
70,Interstellar boron abundance and depletion.
82,Astronomy and astrophysics
81,Text-to-speech synthesis
80,Theoretical physics and cosmology
85,Astronomy and astrometry
75,Combinatorics
79,Quantum field theory and the quantum Hall effect
84,Robotics and locomotion on deformable terrain
87,Galactic magnetic field evolution in interacting galaxies
86,Software engineering code clone detection
73,Stellar magnetic fields and dynamo theory
83,Digital communication systems
76,Natural Language Processing
74,High-energy astrophysics
47,Statistical model selection and clustering
95,Interpretable Deep Neural Networks
91,String field theory
93,Learning-based navigation systems
88,Theoretical particle physics
89,Mechanical engineering design optimization
90,Fast radio burst scintillation
99,Geophysical fluid dynamics
94,Probability theory and stochastic processes
96,Applied probability and queueing network theory
104,Theoretical computer science
102,Algebraic topology
100,Cosmic ray isotopic composition
97,Supervisory control and automata theory
101,Quantum simulation of nonequilibrium many-body physics
105,Metric geometry
107,Computational geometry
92,Stellar evolution of binary systems
98,Network epidemiology of beneficial contagions
108,Astrophysical tests of Lorentz invariance violation.
106,Weakly supervised temporal action localization
103,Statistical physics of biased diffusion in confined media
111,Quantum chromodynamics and relativistic heavy ion collisions.
113,Numerical computation of Maass cusp forms
109,Optics and photonics
114,X-ray binary astrophysics
115,Cosmic Microwave Background weak lensing
110,Sensitivity analysis for independent groups of variables
112,Astrophysical black hole accretion
121,Number theory
119,Multiband superconductivity
122,Plasma physics and fusion devices
116,High-energy quantum chromodynamics and parton saturation.
117,Hom-Lie algebras and Hom-Hopf algebras
118,Solar physics
120,Robotic manipulation and Signal Temporal Logic optimization.
129,Computer security and memory safety
127,Condensed matter physics
130,Algebraic geometry
125,Natural language processing
128,Fluid mechanics of settling particles in Bingham fluids
124,Financial markets and market making
126,Riemannian geometry over normed division algebras
131,Experimental particle physics
123,Stellar element abundance determination
133,High-energy Quantum Chromodynamics
132,Multilingual Natural Language Processing
134,Algebraic number theory
136,Algebraic number theory
135,Statistical mechanics of magnetic systems
143,Theoretical physics
137,Causal inference and experimental design.
138,Quantum mechanics and eigenfunction statistics
148,Theoretical particle physics
146,Bayesian Item Response Theory modeling
150,Elasto-capillary structural instability in liquid-filled tubes
139,Interstellar medium astrophysics
144,Neural rendering of participating media
141,Interstellar dust and gas chemistry
140,Experimental particle physics
147,Hysteresis model identification
149,Machine learning model selection
145,Differentially private machine learning
151,Brillouin laser physics
142,History of astronomy
153,Particle physics
152,Target localization in wireless sensor networks
155,Phonon transport in graphene and two-dimensional materials
156,Semiconductor nanowire photodetectors
166,Relativistic gauge theory of nonlinear quantum mechanics and gravity
165,Nonparametric Bayesian statistics
154,Condensed matter physics
162,Nonlinear spin evolution in degenerate electron-positron-ion plasmas
164,Neutrino propagation through fluctuating astrophysical media
157,Polymer chemistry
163,Combinatorial rigidity theory
159,Quantum mechanics and information theory
170,Computational number theory and algebra
160,Experimental particle physics
158,Condensed matter physics
168,Theoretical physics in curved space-time.
161,Nonlinear Schrödinger equation and Korteweg-de Vries reduction
167,Computer vision and semantic segmentation
169,Graph theory and combinatorial optimization
