doc_idx,rewrite
4,Request for tracking number of new card.
8,Track my card status.
0,Request for status update on delayed card delivery.
6,Request for card delivery status update.
3,Request card delivery status update.
10,Request for status update on new card delivery.
12,Request for bank card delivery status.
9,Request for card delivery status update.
1,Request for assistance with undelivered card.
11,Inquire about delayed card delivery.
7,Inquire about card delivery time.
2,Inquire about card delivery status.
5,Request for card delivery status.
14,Inquire about delayed card delivery.
19,Inquire about delayed card delivery.
15,Inquire about missing card delivery.
18,Inquire about delayed card delivery.
22,Track my card delivery status.
17,Inquire about new card delivery time.
16,Check card order status.
27,Request for card tracking number.
13,Inquire about card delivery status.
29,Reactivate my card.
20,Requesting tracking number for mailed card.
32,Re-add card to banking app.
21,Inquire about delayed card delivery.
33,Add card to account.
31,Add new card to app.
28,Card not visible on app.
23,Inquire about card delivery status.
26,Requesting tracking number for sent card.
30,Link new card.
35,Link a new card.
34,Re-enable my old card.
25,Request for assistance with a lost card delivery.
24,Request status update on delayed card delivery.
39,Reactivate misplaced card.
37,Add card to app.
38,Link new card to account.
36,Link existing card.
44,Reactivate found lost card.
45,Link existing card to account.
43,Reactivate my card.
42,Add card to app.
46,Add new card to app.
48,Reactivate old card for app use.
41,Link card on website.
47,Link new card to account.
40,Request to link existing card.
51,Guidance on entering card info in app.
52,Relink found card to account via app.
54,Link existing card to account.
57,Inquire about exchange rates.
55,Link replacement card.
49,Request to reactivate a lost card.
53,Reactivate my previously lost card.
56,Inquire about exchange rates.
58,Inquire about exchange rate determination.
50,Link my card to my account.
60,Inquire about exchange rate update frequency.
61,Inquire about the current exchange rate.
59,Inquire about the source of exchange rates.
62,Inquiry about exchange rate calculation.
63,Inquire about exchange rate basis.
64,Inquire about current exchange rates.
69,Inquire about current foreign exchange rate.
65,Inquire about current exchange rates.
66,Inquire about currency exchange timing.
72,Inquire about exchange rate basis.
67,Inquire about exchange rate information.
70,Inquire about available currency exchange rates.
74,Inquire about currency exchange rate details.
76,Inquire about current exchange rate.
71,Inquire about the source of exchange rates.
73,Inquire about current exchange rates.
75,Inquire about the current exchange rate.
77,Inquire about exchange rate details.
68,Request for exchange rate information.
79,Inquiry about exchange rate sources.
81,Inquire about foreign exchange rate.
78,Inquire about current exchange rate.
82,Inquire about foreign exchange rate for currency exchange.
83,Inquire about current exchange rate.
80,Inquire about exchange rate determination.
84,Dispute foreign currency exchange rate on purchase.
86,Dispute incorrect exchange rate on international purchase.
89,Dispute exchange rate on recent purchase.
87,Correct exchange rate on purchase.
88,Verify exchange rate accuracy.
85,Dispute currency exchange overcharge.
90,Dispute foreign currency exchange rate.
91,Correct exchange rate for card payment.
95,Inquire about unexpected charges.
96,Request exchange rate correction for a purchase.
94,Inquire about incorrect exchange rate for card payment.
97,Correct card payment conversion value.
93,Report incorrect exchange rate on a transaction.
98,Correct exchange rate for foreign currency purchase.
99,Check exchange rate for transaction.
102,Inquiry about unexpected fee on statement.
104,Inquiry about unexpected charge on account.
92,Clarification on foreign transaction exchange rate discrepancy.
101,Request to correct currency exchange rate error.
105,Request for refund of overcharge.
108,Inquiry about unexpected charge.
106,Inquire about an unexplained charge.
107,Request for transaction clarification.
109,Inquire about unexplained $1 charge on statement.
103,Dispute fee on statement.
100,Dispute exchange rate for card payment.
111,Inquiry about unexpected card charge.
110,Inquire about unexpected fee.
115,Inquire about unexpected fee on statement.
112,Inquire about unexpected fee.
114,Request to investigate and refund an extra charge.
117,Inquire about unexpected fee on statement.
116,Dispute unauthorized charge on account.
118,Inquiry about an unexplained fee on statement.
119,Request to investigate an unauthorized charge.
121,Resolve unexplained pending charge on account statement.
125,Inquiry about unexpected fee on statement.
120,Inquire about an unknown $1 transaction charge.
124,Request for transaction reversal status update.
122,Inquiry about an unexpected charge on a bank statement.
126,Cancel pending ATM transaction.
127,Resolve pending cash withdrawal transaction.
129,Inquiry about cash withdrawal processing time.
113,Request fee clarification.
128,Investigate and resolve incomplete ATM transaction to prevent incorrect charges.
123,Inquiry about an unexplained €1 fee on statement.
133,Check withdrawal posting time.
136,Check cash-out processing time.
130,Check status of pending cash withdrawal.
132,Check status of pending withdrawal.
134,Cancel pending ATM transaction.
131,Resolve ATM transaction issue.
135,ATM cash withdrawal pending inquiry.
140,Check status of pending cash withdrawal.
139,Inquiry about pending cash withdrawal.
142,Clarification on pending cash withdrawal.
137,Investigate incomplete ATM transaction and prevent incorrect charges.
138,Clarify pending ATM transaction and resolve card decline issue.
143,Resolve pending status of cash withdrawal.
150,Check status of pending card transaction.
144,Resolve pending cash withdrawal issue.
145,Clarification on pending transaction preventing card withdrawal.
149,Resolve ATM transaction showing as pending.
148,Inquire about pending cash withdrawal.
146,Inquire about pending cash withdrawal.
147,Inquire about pending transaction status after ATM withdrawal.
155,Request to cancel a pending transaction.
154,Inquire about ATM withdrawal posting time.
157,Inquire about available fiat currencies for holding and exchange.
159,Inquire about holding multiple currency accounts.
152,Inquiry about pending cash withdrawal duration.
161,Inquire about available currency options.
164,Inquire about supported fiat currencies for exchange.
165,Inquire about currency holding options.
167,Currency exchange inquiry to EUR.
166,Currency exchange inquiry for EUR.
168,Currency exchange inquiry.
169,Inquire about available currencies for exchange.
170,Currency exchange to euros request.
171,Inquire about available currency options for holding money.
172,Currency exchange request.
173,Inquire about multi-currency account options.
174,Inquire about multi-currency account options.
175,Inquire about available currency options for accounts.
176,Assistance with accepting exchanges to the EU.
179,Request for immediate card issuance.
160,Currency exchange request to EUR.
141,Check status of unposted withdrawal.
158,Currency exchange location inquiry.
151,Inquiry about pending cash withdrawal on statement.
153,Request refund for declined withdrawal charge.
162,Currency conversion to euros request.
156,Inquire about available currency options for accounts.
178,Inquire about currency exchange services.
180,Request for expedited card delivery.
181,Inquire about delivery time.
177,Inquire about supported fiat currencies for holding and exchange.
182,Inquire about card delivery status.
163,Inquire about supported fiat currencies for holding and exchange.
183,Request for expedited card delivery.
184,Inquire about delivery time to the US.
189,Request specific delivery date for card.
191,Request delivery by a specific date.
188,Inquire about delivery time.
192,Schedule delivery for a specific date.
187,Inquire about US delivery time.
185,Inquire about delivery time for US location.
194,Inquire about card delivery time.
193,Inquire about card delivery status.
190,Inquire about delivery options differences.
195,Inquire about delivery speed.
186,Inquire about card delivery timeline to the US.
197,Inquire about card delivery time.
199,Inquire about card delivery status.
198,Inquire about delivery time to the United States.
201,Inquire about US shipping duration.
202,Request to expedite card delivery.
204,Inquire about new card delivery timeframe.
207,Select delivery date.
206,Inquire about card delivery status.
205,Request for expedited delivery.
210,Inquire about automatic account top-up.
196,Check delivery status and ETA for order.
203,Inquire about card delivery time.
200,Inquire about card delivery timeline.
209,Inquire about auto top-up limit.
212,Request for automatic account top-up feature.
215,Schedule automatic deposits during travel.
213,Request for automatic account top-up feature.
217,"Locate the ""auto-top"" feature."
218,Enable auto top-up feature.
214,Locate auto-top up feature in app.
216,Set up automatic deposits.
208,Schedule card delivery date.
219,Inquire about auto top-up limits.
221,Inquire about auto top-up limit.
222,Set up automatic top-up.
220,Assistance with auto top-up setup.
211,Request to enable auto top-up feature.
223,Inquire about automatic top-up limit.
224,Set up automatic card top-up on specific days.
227,Inquire about automatic account top-up feature.
225,Request for auto top-up feature when account balance is low.
228,Set up automatic travel top-up.
226,Request to schedule recurring money transfers.
232,Inquire about maximum Auto Top limit.
229,Assistance locating auto-top up option on website.
235,Request for card repair assistance.
233,Card activation issue.
230,Request for automatic account top-up at a specific balance.
236,Request for card replacement.
234,Request card assistance.
238,Card functionality issue inquiry.
237,Request to resolve card malfunction.
231,Inquire about account top-up feature.
239,Identify issue with bank card.
241,Activate or troubleshoot physical card.
242,Request for assistance with card malfunction explanation.
243,Inquire about card malfunction.
244,Request for card replacement.
240,Unblock card via app.
246,Request to fix non-functional card.
247,Request to fix a non-functional card.
249,Request for card replacement.
251,Request for card replacement.
245,Resolve card malfunction issue.
250,Request to fix non-functional card
252,Reactivate my card.
253,Card assistance request.
254,Request to resolve card usage issue.
256,Resolve card malfunction.
257,Request card functionality assistance.
259,Verify card functionality.
258,Request to resolve card malfunction.
248,Check card functionality.
255,Request to resolve card malfunction.
260,Resolve card transaction issues.
261,Inquire about card malfunction原因
263,Currency exchange request.
264,Currency exchange inquiry.
262,Reactivate my card.
266,Currency exchange inquiry.
269,Request to change account currency.
265,Currency conversion guidance request.
270,Currency exchange inquiry.
268,Inquire about currency exchange process from GBP to AUD.
267,Currency exchange inquiry
273,Currency exchange from AUD to GBP.
274,Inquire about currency exchange feature in app.
276,Inquire about currency exchange options.
275,Currency exchange inquiry.
278,Currency exchange request.
279,Currency exchange inquiry on app.
271,Inquire about using money abroad.
272,Currency conversion request.
284,Block my stolen card.
277,Currency exchange assistance inquiry.
285,Report a stolen card.
282,Currency exchange inquiry via app.
283,Currency exchange request
286,Report a lost card.
280,Inquire about currency exchange availability on the app.
281,Currency exchange inquiry.
287,Report lost card.
