doc_idx,rewrite
8,iPhone smartphone market share.
13,Bruce Jenner's favorite Kardashian.
5,England fishing community's broken management system.
0,Giffords' rehab delayed by brain fluid buildup
1,Trailer talk for the movie The Rite.
12,A Super Bowl commercial
16,Christina Aguilera's Super Bowl national anthem performance.
11,Facebook sharing personal details on site launch day.
4,Chinese President lost in translation during meeting.
18,Oprah Winfrey associated with acai berry weight loss.
19,Natalie Portman's performance in Black Swan.
17,Steve Carell and Elijah Wood's strange Sundance celebrity encounter
23,Fan movie review about battle of good and evil
24,Steve Jobs' potential replacement.
21,Charlie Sheen abuse allegations.
22,Motorola Xoom Super Bowl commercial music
3,Gbagbo camp cuts Ivory Coast economy
29,Benefits of acai berry capsules for weight loss.
26,Debt settlement lawyer makes debt settlement easier.
28,Romanian journalist detained and attacked in Egypt.
25,Yemen president signals he won't stay.
20,Rahm Emanuel ballot ruling.
9,Lakers vs Celtics NBA Finals game highlights
7,Stuxnet worm leads to Russian Chernobyl.
34,New fee for saltwater fishing license
33,King Speech wins Screen Actors Guild Best Ensemble Cast
36,Slow cooker chicken recipes.
38,Chrysler Super Bowl commercial featuring Eminem.
39,Kid fills out FAFSA for college.
40,Christina Aguilera repeats national anthem line.
42,A recipe for kung pao chicken
43,Gabby Giffords' rocky road to recovery
35,Bottega Veneta teal turquoise snakeskin clutch.
45,Senator avoiding the tea party caucus.
15,Keith Olbermann joining Current TV.
31,National high school fishing program introduction
14,Attack on journalists escalates in Egypt.
2,RNC appoints chairman for Tampa convention effort.
46,Volkswagen Super Bowl commercial on YouTube
10,Kia Optima Super Bowl sci-fi car ad.
47,Washington legislature debates employee immigration verification.
30,American social networking in political campaigns.
6,"Anti-government protesters gather in Sanaa, Yemen."
50,Piers Morgan questions the Kardashians' stupid answer.
54,Volkswagen Beetle Super Bowl commercial teaser.
53,Chipotle fires hundreds after immigration probe.
48,Starbucks introduces Trenta cup that holds a bottle of wine.
41,Hollywood director honors King with speech
49,Obama's press secretary.
51,Venezuelan President Hugo Chavez marking a year in power.
32,Jesse Ventura's lawsuit against the TSA.
27,Christina Aguilera flubbing the national anthem
37,Fake snow storm white stripe officially ends.
44,A complete list of Super Bowl commercial advertisers on YouTube.
57,Aquarium fish success with common sense.
56,Constitutional showdown reaching the Supreme Court
52,Devil horror film production news
58,Supreme Court extends workplace retaliation protections.
62,NFL concussion survey
64,The television show NCIS
65,Acai juice weight loss diet plan nutritional claims.
59,White House press secretary Jay Carney.
