doc_idx,category
2242,0
547,3
16,6
172,7
1613,1
382,8
1319,5
1001,2
1257,7
867,5
1234,6
888,6
481,5
1435,1
2933,11
2249,3
1514,4
2360,9
1238,1
270,0
2098,6
2785,1
2630,4
126,4
2178,8
150,5
87,1
1553,2
2479,5
1154,4
2172,6
2732,4
600,4
1018,12
2378,1
1353,4
2185,7
200,2
1707,7
569,4
1830,3
2877,3
846,3
948,3
2585,11
325,0
2717,4
2554,5
2049,1
1160,6
1240,1
495,6
1564,5
218,3
575,1
855,5
927,6
2828,5
2646,5
2340,4
2920,7
466,1
2688,5
2689,7
1939,7
17,2
1531,1
2782,1
2129,9
1227,1
1824,1
1937,6
2567,1
1507,1
2195,4
2852,4
2489,1
2893,4
2217,8
293,0
1286,4
1009,7
1980,7
700,2
1427,1
1417,6
2788,3
1259,5
73,4
2125,2
1636,3
667,2
994,6
1193,2
1035,1
1438,3
2102,1
2408,4
1548,4
2633,4
2476,2
833,4
298,6
799,0
990,1
2017,4
2607,2
36,5
2971,7
1156,1
1828,1
1678,6
2673,2
1509,2
1574,6
2024,1
1786,0
2507,6
1006,5
205,6
2156,4
1927,2
499,7
2059,7
2522,8
2118,4
1261,0
585,6
181,7
1446,9
460,6
1645,1
523,2
966,5
2313,6
2865,6
707,1
1237,7
379,1
1071,3
786,5
2859,8
336,2
1858,7
991,6
2182,0
1404,3
745,2
2615,8
2548,7
112,6
2459,2
2452,2
506,5
409,6
1136,1
190,1
2816,2
828,6
1997,5
2992,7
2977,4
1196,3
64,7
1923,6
1135,2
1449,2
1798,6
1400,1
885,7
1051,8
2654,2
1955,7
1294,2
712,2
1469,4
2245,4
560,5
2604,9
1764,4
1388,4
731,5
1920,1
2777,7
2391,5
365,6
2988,4
844,5
565,4
706,1
2468,2
153,6
2181,2
710,5
2096,12
1285,1
2173,1
1201,4
2257,2
1882,2
2418,4
404,8
614,1
53,7
1368,5
478,7
324,6
766,4
1846,4
955,7
2224,1
2041,0
266,10
2088,7
239,8
538,6
1759,1
1405,5
20,1
646,2
977,6
2748,4
2379,5
537,1
1758,2
1873,8
1467,3
2712,4
276,5
1248,6
2271,5
2602,7
411,4
1100,1
1262,4
2647,7
281,5
531,6
1505,8
566,2
46,10
461,5
2345,1
107,5
1988,6
250,7
801,1
2641,10
2175,7
1185,7
2842,10
1382,5
1599,6
133,7
925,4
2618,6
1973,10
790,2
1993,3
1010,2
405,6
2597,1
2568,12
728,5
2015,1
389,5
2831,1
2814,4
797,5
901,6
626,12
89,1
2065,0
539,3
1445,6
1894,7
2236,4
2121,2
643,11
1748,7
2751,3
81,7
2488,1
1197,6
51,5
2931,2
2377,9
2386,8
30,1
1480,6
1184,7
331,2
1090,6
1021,3
2739,1
2948,7
2149,1
2680,7
489,5
2666,12
256,9
95,2
1246,4
340,3
1536,1
1722,4
1770,4
2305,6
1933,2
1336,2
2405,7
752,6
778,1
1605,2
2274,5
1732,5
2148,4
2578,3
2661,5
691,6
2042,4
1498,6
2795,4
1641,3
2356,5
950,4
2341,2
2120,1
225,4
163,5
113,0
2593,4
2209,11
2400,3
556,2
1948,5
678,1
2909,4
528,3
740,6
1402,3
2841,5
2754,4
2885,4
1113,8
878,5
344,2
851,2
2953,6
219,6
784,4
2116,7
1569,4
2551,7
2512,2
2899,8
2505,1
1499,7
1341,4
1868,12
2750,6
1597,8
1995,1
2161,2
2731,5
2248,7
1896,5
2133,6
2911,1
826,5
2514,5
1279,4
2223,6
449,6
2475,3
892,5
2410,5
10,7
2652,2
2034,2
372,6
904,2
524,1
387,5
1782,4
1282,8
23,2
883,1
2969,2
403,5
390,2
2291,6
664,2
2644,1
1947,1
1372,2
1946,11
2722,1
1390,6
2996,2
1362,1
265,6
2308,4
1664,5
854,1
2204,6
2509,4
1109,1
982,5
2334,5
1711,3
1162,6
1582,1
2789,1
400,4
22,1
1897,5
291,5
1166,7
1074,6
1768,3
24,0
2012,1
369,8
2580,4
455,1
2917,4
440,2
1273,1
1567,6
2747,5
1122,8
2396,6
526,6
2701,6
1358,5
594,8
1394,7
2424,1
962,8
1954,2
2691,5
483,5
2835,5
1587,1
2575,1
1884,4
2225,7
914,1
2697,5
2079,6
2462,5
2634,4
109,1
2411,8
860,5
755,2
1618,4
267,9
2749,5
2864,5
1501,7
2256,4
952,4
1793,0
2876,7
1609,8
836,5
2043,2
1906,4
62,5
732,0
2583,2
1327,8
99,7
1012,2
2870,5
1169,1
1343,1
782,5
884,5
2964,7
698,2
1837,1
2302,1
2306,6
1266,10
2435,4
2504,1
234,5
2371,3
170,4
2472,1
1123,2
2021,6
2997,3
2878,7
1751,5
1778,2
1352,10
2809,0
2004,1
77,4
676,10
1650,6
2598,2
2123,1
2874,5
2658,1
7,6
2136,12
2545,10
777,1
2821,7
1561,4
1506,7
685,7
1098,2
43,2
2692,5
1821,6
2237,7
2036,7
1680,2
2052,4
2503,5
1985,5
1114,9
1769,6
1530,2
737,3
2268,6
1243,7
2790,9
720,1
2430,11
1926,4
2206,6
909,4
347,5
2076,7
806,4
119,1
238,8
1013,7
1757,6
2110,6
808,7
2101,1
264,1
1331,5
2570,6
1216,5
1756,5
595,4
52,2
956,4
2591,6
2471,5
2547,9
2104,4
1967,4
2493,1
1725,8
577,2
32,7
2,5
158,1
2387,1
2207,7
144,3
1602,2
2303,8
2817,8
2080,1
