doc_idx,rewrite
12,Play music from the playlist Get Lit
10,Show movie schedules at MJR Theatres
4,Look up Disney Universe
0,Rate the current essay a three
2,Get weather in HI
13,Rate the current chronicle series 3 out of 6 points
9,Add name to playlist
7,"Add Kansas City, Missouri to Stress Relief"
5,Play The Very Best of Chicago: Only the Beginning
15,Book a deli reservation for four in Arizona.
8,Play a song from 2001
19,Check humidity in Kuwait
24,Find Jono and Ben
22,Play music on Groove Shark
16,Add song to Wild Country playlist
17,Book a restaurant for one
20,Play a ballad by Mandy Moore
18,Play These Four Walls by Yummy Bingham
21,Rate the book The Rod of Seven Parts 4 points
23,Book a table at a highly rated cafeteria in Federated States Of Micronesia.
25,Play the trailer Ad Nauseam
26,Get the weather forecast for Winger
27,Find the show The Naked Gun
31,Book the movie Two for the Road
28,Find the novel Playlist: The Very Best of Brad Paisley
11,Find animated movies by Dipson Theatres
32,Show local movie times
33,Play Alte Kameraden music
30,Play Paul Riley on Youtube
3,Show the painting Empire of Two Worlds
34,Rate the current chronicle a five.
6,Book a table for three in Federal Hill
36,Check Nevada weather forecast for seven and a half weeks from now
39,Add artist to garage jams playlist
41,Rate The Private Patient 5
44,Play Cry Baby Cry by Ally Kerr
37,Find the novel A Woman in the Web
43,Book a taverna table for two in Burundi.
29,Get weather forecast in VA
38,Find the SchoolTool picture.
40,Play songs from 1955
42,Reserve a table for eight at the bar
45,Add track to playlist titled showstopper being mary jane
46,Show lowest price for Sinatra Reprise: The Very Good Years.
54,"Get weather forecast for Delft National Park on August 8, 2028"
52,Book a reservation at Maid-Rite Sandwich Shop.
48,Book a restaurant reservation in Fiji for zero am.
53,Find film schedule at Cobb Theatres
56,Find the day Star of the Circus plays at ten PM.
47,Add album to Emily Dickinson playlist
1,Add potje met vet to electronic gaming playlist
14,Add David Wolfenberger to Duetos playlist.
57,Get weather forecast for Ōtone Prefectural Natural Park
58,Find Haunted Castle
61,Add Visjoner to old school metal playlist
64,Find where to watch the show Kind of Glue.
63,Play the song On My Own
66,Reserve Khedive Palace restaurant for August fifth in Christina
65,Play top song by Daniel Lee Chee Hun on Last Fm
67,Check the weather in Arizona on October 3rd.
68,Add Jonathan Arons to Indie Electronics playlist
70,Rate the current essay 0 of 6
71,Add Beside You to my Spotify cello playlist.
73,Rate The Lightning of August five points.
77,Rate City of Lost Souls six points
72,Check if Unsettled Land is playing at the movie theatre.
35,Find the novel Best Hits Live: Save the Children Speed Live 2003
75,Play a song by Busta Rhymes
51,Check if it is ever cold in Farristown Tanzania
55,Book a table at a Hungarian delicatessen in North Dakota.
49,Find the show Ichibyōgoto ni Love for You.
80,Add this artist to my Piano Bar playlist
79,Get the weather forecast for Laos
82,Book tea house reservations in Lodi.
83,Get weather forecast for Sanilac Petroglyphs Historic State Park
85,Rate The Last Opium Den 0 points
84,Show movie times at Goodrich Quality Theaters.
81,Find theaters showing the movie at 14:40.
87,Play music by Louisiana Blues
60,Find D.R.E.A.M.
89,Play a Lindsay Lohan song on YouTube.
59,Rate the album zero out of six.
76,Rate the album 2 stars
91,Find movie showtimes for The Hopes of Blind Alley.
90,Check wind speed at Pembina Gorge on October 27th.
94,Find Royal Astronomy
96,Play thirties symphony music from Nigga on Iheart
95,Book a table at a cafeteria in Malta.
98,Find the Grand Canyon Trail schedule.
97,Book a table at a bar in Micronesia.
93,Play Adrian Borland's music on Zvooq
99,Show movie schedule
100,Book a midday reservation at Bear Hotel
105,Get the cold temperature forecast for Nevada.
104,Add Andy Hunter to Evening Commute playlist
102,Find Young Miss Holmes
101,Find movies at the nearest cinema
92,Check weather forecast for November 8th at current location
88,"Check rainfall forecast for Horton, Connecticut"
108,Check if it will storm at my current location
110,Play music from 2015
109,Play a ballad from 1997.
107,Check if it will be freezing on a specific date and location.
111,Play Connie Francis Sings Spanish And Latin American Favorites on YouTube
112,Add artist Hex Hector to old school death metal playlist
113,"Navigate to the pub with Angelita, Susan Reed and Ashlee Watson."
114,Show the song UFO Senshi Dai Apolon
116,Play music from the list Indie Electronics
115,Rate this textbook zero stars
118,Book a fried fish restaurant for one in 20 hours
120,Find the painting The Wipers Times
119,Play music from the thirties.
122,Rate The Snows of Kilimanjaro 3 stars.
121,Book a restaurant for ten near downtown at 20:38.
106,Find the They Came from Somewhere Else saga
126,Award zero points to The Paper Men
127,Play the Everybody Wins trailer
124,Rate the chronicle zero points out of six.
128,Show The Ancient Art of War picture
125,Check the current weather in South Carolina.
130,Find films playing at the closest movie theater.
132,Book a cafeteria for six people.
133,Show movie schedule
74,Search for the TV series Jersey Boys
86,Show times for 7 Faces of Dr. Lao at United Paramount Theatres
123,Add artist to This Is Philip Glass playlist
134,Play the television show Nothing Without You
138,Play twenties tunes
129,Check the weather in Elmer City
139,Rate the current essay five out of six points.
117,Show Lesotho's forecast starting this Fall
136,Book a breakfast table for ten in Minnesota.
137,Find movies showing at Showcase Cinemas.
135,Find nearest cinema showing Abbott and Costello Meet Captain Kidd
140,Book a table for 6 at Top of the Mark
50,Find top-rated Veneto cuisine in Antietam for two.
141,Check the weather in Tira
69,Find an outdoor cafe in Pioneer Day.
62,Get weather forecast for Double Oak at 12 am.
103,Rate The Great Science Fiction Stories About Mars series zero
78,Find a table for six at a pub serving glace.
142,Play a melody by Adassa from the twenties
145,Play Rock Bottom by Playa Fly on Slacker
144,Read the novel Love Is in Control
146,Display the photograph of Johnny Cash: The Complete Columbia Album Collection
149,Find stained glass windows.
150,Get weather forecast in Louisiana state
154,Book a table for four
152,Play the TV show Cause & Effect
156,Show weather forecast near Elk City State Park
148,Book a gastropub in Rose Creek for elevenses.
153,Add playing song to La Mejor Música Dance 2017 playlist
147,Book a table at a creole pub for April 22nd.
159,Find the video game Bal Ganesh 2
157,Add song to House Afterwork playlist
161,Rate the current novel 5 of 6 points
163,Check weather in Long Beach United Kingdom
162,Search for the book Exiles of Time
164,Check weather at Noon in Durbin OH.
165,Book a brasserie in the Falkland Islands for this week.
169,Play the last theme by Behzad Mirkhani.
167,Add manuelita to my indiespensables playlist
166,Check if The Passion of Anna is playing soon.
143,Find the Via Dolorosa: Songs of Redemption saga
131,Add Liza Oumarova album to Steampunk playlist.
168,Find the game A Silence That Screams
171,Add antisleep volume 04 to All Out 70s playlist
176,Add album to TGIF playlist
177,Rate Call for the Saint 1 out of 6 points
173,Find The Sword with No Name trailer
178,Add Raz B to drive playlist
174,Book a restaurant in the user's area.
180,Check wind conditions nearby
183,Get weather forecast for LA in one minute.
158,Play the 2014 album by La Lupe
185,Get rainy weather forecast for St. George Island State Park.
184,Find showtimes for Polish Economy
182,Navigate to Rainforest Cafe near 135th St.
187,Get weather forecast for Republic of the Congo in 2 seconds
179,Check if The Love Guru is playing
181,Check what time Mexican Werewolf starts
189,Get The Sacred and Profane Love Machine game.
151,Find The Gill Deacon Show
186,Rate The Lady of The Aroostook 0 out of 6 stars
155,"Book a restaurant in Freshwater Bay, Alaska for two."
194,Get weather forecast for Angle Cape Verde at midnight.
188,Play the trailer for History and Theory
191,Show the trailer for Live Dates
196,Rate Song of Solomon one.
202,Rate the album.
197,Add a song to the feel good indie rock playlist.
201,Show weather forecast for February fourth in Virgin Islands.
200,Book a table at a gluten-free restaurant in Sacaton.
203,Get weather for Cougar Canyon Wilderness
204,Play music from the thirties.
