doc_idx,text,true_label
0,I this this current essay should be rated a three,RateBook
1,add potje met vet to my electronic gaming playlis,AddToPlaylist
2,What's the weather in HI,GetWeather
3,I'd like to see the painting Empire of Two Worlds,SearchCreativeWork
4,Please look up for Disney Universe.,SearchCreativeWork
5,I want to find The Very Best of Chicago: Only the Beginning,SearchCreativeWork
6,Book a table for three at a restarunt in Federal Hill,BookRestaurant
7,"add kansas city, missouri to Stress Relief",AddToPlaylist
8,Play a 2001 tune,PlayMusic
9,add the name covenant to the playlist Fusion Fest,AddToPlaylist
10,Show the movie schedules at MJR Theatres,SearchScreeningEvent
11,find Dipson Theatres animated movies,SearchScreeningEvent
12,Play the music from the playlist Get Lit,PlayMusic
13,rate the current chronicle series 3 out of 6 points,RateBook
14,Add more David Wolfenberger to my Duetos playlist.,AddToPlaylist
15,Make me a reservation at a delicatessen that serves tofy for a party of four in AZ,BookRestaurant
16,Add this song to my playlist named Wild Country,AddToPlaylist
17,book a restaurant for one,BookRestaurant
18,Play These Four Walls by Yummy Bingham.,PlayMusic
19,Is it humid in Kuwait,GetWeather
20,Play ballad from Mandy Moore,PlayMusic
21,rate the book The Rod of Seven Parts 4 points,RateBook
22,play Groove Shark,PlayMusic
23,Book me a table at the highly rated cafeteria in Federated States Of Micronesia,BookRestaurant
24,find Jono and Ben,SearchCreativeWork
25,I want to watch the trailer Ad Nauseam,SearchCreativeWork
26,What is the weather forecast for Winger,GetWeather
27,find the show The Naked Gun,SearchCreativeWork
28,find the novel Playlist: The Very Best of Brad Paisley,SearchCreativeWork
29,What is the weather forecast in VA,GetWeather
30,play paul riley on Youtube,PlayMusic
31,book of Two for the Road,SearchCreativeWork
32,I want to see the local movie times,SearchScreeningEvent
33,play some Alte Kameraden music,PlayMusic
34,rate the current chronicle a five,RateBook
35,find a novel called Best Hits Live: Save the Children Speed Live 2003,SearchCreativeWork
36,Will it get cold in Nevada seven weeks and a half from now?,GetWeather
37,Where can I find the novel A Woman in the Web,SearchCreativeWork
38,Can you find me the SchoolTool picture?,SearchCreativeWork
39,Add this artist to my garage jams,AddToPlaylist
40,Play me songs from 1955,PlayMusic
41,The Private Patient gets a rating of 5,RateBook
42,set an reservation for a party of eight at the bar on 8/8/2039,BookRestaurant
43,Book a spot at a taverna for my cousin and I in Burundi,BookRestaurant
44,I'd like to hear Cry Baby Cry by Ally Kerr.,PlayMusic
45,add the track to my playlist with the title showstopper being mary jane,AddToPlaylist
46,Show me the lowest price for the game Sinatra Reprise: The Very Good Years.,SearchCreativeWork
47,add an album to playlist Emily Dickinson,AddToPlaylist
48,Book me a restaurant reservation in Fiji for zero am,BookRestaurant
49,Find a show called Ichibyōgoto ni Love for You.,SearchCreativeWork
50,I want top-rated veneto cuisine at a restaurant in Antietam for 2.,BookRestaurant
51,Is it cold ever in Farristown Tanzania,GetWeather
52,I need a reservation for Maid-Rite Sandwich Shop in Home Gardens,BookRestaurant
53,Find the schedule for films at Cobb Theatres.,SearchScreeningEvent
54,"What's the weather forecast for neighboring Delft National Park on aug. the 8th, 2028",GetWeather
55,Book me a table at a hungarian delicatessen in North Dakota.,BookRestaurant
56,what day does the movie Star of the Circus play at ten PM,SearchScreeningEvent
57,what is the forecast for Åtone Prefectural Natural Park in 1 hour and within the same area,GetWeather
58,Find me Haunted Castle,SearchCreativeWork
59,Rate this album zero of 6,RateBook
60,Can you please find me D.R.E.A.M.?,SearchCreativeWork
61,"I would like to add to my plalist, Visjoner onto the old school metal one",AddToPlaylist
62,what will the weather be in Double Oak at 12 am,GetWeather
63,Play On My Own,PlayMusic
64,Where can I see the show Kind of Glue?,SearchCreativeWork
65,Open Last Fm and play the top song from Daniel Lee Chee Hun,PlayMusic
66,Can I reserve the Khedive Palace restaurant for aug. fifth in Christina?,BookRestaurant
67,What will the weather be like in Arizona on october the 3rd,GetWeather
68,Add Jonathan Arons to my Indie Electronics playlist,AddToPlaylist
69,I want to go to an outdoor cafe in Pioneer Day,BookRestaurant
70,Rate the current essay 0 of 6,RateBook
71,Put Beside You in my spotify orchestra cello playlist.,AddToPlaylist
72,Is Unsettled Land playing at the movie theatre,SearchScreeningEvent
73,Please rate The Lightning of August five points.,RateBook
74,Look for the TV series Jersey Boys,SearchCreativeWork
75,play a song by Busta Rhymes,PlayMusic
76,Rate this album 2 stars,RateBook
77,Rate the City of Lost Souls one of 6 points,RateBook
78,"Please find me a table at a place that serves glace, has room for six and a pub atmosphere",BookRestaurant
79,What is the weather forecast for Laos,GetWeather
80,this artist should go onto my playlist called the piano bar,AddToPlaylist
81,what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 14:40,SearchScreeningEvent
82,Book reservations at a tea house in Lodi with my granddaughter and I,BookRestaurant
83,what is the forecast for Sanilac Petroglyphs Historic State Park,GetWeather
84,Give me the movie times at Goodrich Quality Theaters.,SearchScreeningEvent
85,Rate The Last Opium Den 0 points,RateBook
86,What times is the 7 Faces of Dr. Lao showing at United Paramount Theatres,SearchScreeningEvent
87,Play something by Louisiana Blues,PlayMusic
88,is there expected of rainfall in Horton of Connecticut,GetWeather
89,Play a popular melody by Lindsay Lohan on Youtube.,PlayMusic
90,What will be the wind speed around Pembina Gorge State Recreation Area October the 27th?,GetWeather
91,What time is the nearest cinema playing The Hopes of Blind Alley,SearchScreeningEvent
92,at my current spot is it going to be hotter on Nov. the eighth,GetWeather
93,Play Adrian Borland's music on Zvooq.,PlayMusic
94,Find me Royal Astronomy,SearchCreativeWork
95,book a table for me and my step uncle in Malta at a cafeteria,BookRestaurant
96,Play thirties symphony music from Nigga on Iheart,PlayMusic
97,"I need to book a table at a bar in Micronesia for tia, madeline and estela",BookRestaurant
98,Find the schedule for Grand Canyon Trail.,SearchScreeningEvent
99,Show me the movie schedule,SearchScreeningEvent
100,Reserve me seating midday at Bear Hotel,BookRestaurant
101,find movies at the nearest cinema,SearchScreeningEvent
102,find Young Miss Holmes,SearchCreativeWork
103,The Great Science Fiction Stories About Mars series deserves a rating of zero,RateBook
104,Add Andy Hunter to my Evening Commute playlist.,AddToPlaylist
105,what is the forecast for cold temps in Nevada,GetWeather
106,find the They Came from Somewhere Else saga,SearchCreativeWork
107,Will it be freezing on 4/20/2038 in AMerican Beach NC,GetWeather
108,Tell me if it will storm at my current location,GetWeather
109,Play a ballad from 1997.,PlayMusic
110,Play a record from 2015,PlayMusic
111,Open Youtube and play Connie Francis Sings Spanish And Latin American Favorites from Yukiko Iwai,PlayMusic
112,Add artist hex hector to my old school death metal playlist,AddToPlaylist
113,"I want to go to the pub with angelita, susan reed and ashlee watson after us parking",BookRestaurant
114,show creative song UFO Senshi Dai Apolon,SearchCreativeWork
115,0 stars for this textbook,RateBook
116,Play music from the list Indie Electronics,PlayMusic
117,What is the forecast for Lesotho for starting this Fall,GetWeather
118,book a fried fish serving restaurant for one at 20 hours from now,BookRestaurant
119,Let's hear some tunes from the thirties.,PlayMusic
120,find a painting called The Wipers Times,SearchCreativeWork
121,Please book a restaurant for ten members near downtown at 20:38,BookRestaurant
122,Give The Snows of Kilimanjaro 3 stars.,RateBook
123,Add this artist to my This Is Philip Glass playlist,AddToPlaylist
124,Reminiscences of the Anti-Japanese Guerillas chronicle deserves zero points out of 6 for a rating.,RateBook
125,What is the weather doing in South Carolina right now?,GetWeather
126,give 0 out of 6 points to The Paper Men,RateBook
127,Play Everybody Wins trailer,SearchCreativeWork
128,Show The Ancient Art of War picture,SearchCreativeWork
129,What's the weather supposed to be like in Elmer City,GetWeather
130,I want to know the films playing at the closest movie house.,SearchScreeningEvent
131,Add an album by Liza Oumarova to the Steampunk playlist.,AddToPlaylist
132,Book a cafeteria that serves bagels for six people.,BookRestaurant
133,What is the movie schedule looking like,SearchScreeningEvent
134,Go to the television show Nothing Without You,SearchCreativeWork
135,I'd like to watch Abbott and Costello Meet Captain Kidd at the nearest cinema,SearchScreeningEvent
136,Book a table for ten for breakfast in Minnesota.,BookRestaurant
137,What movies are showing at the Showcase Cinemas,SearchScreeningEvent
138,play twenties tunes,PlayMusic
139,Give the current essay five points / 6.,RateBook
140,"Please book me a table for 6 people at Top of the Mark in Raleigh Hills, Kentucky",BookRestaurant
141,Is it freezing in Tira,GetWeather
142,Play a melody by Adassa from the twenties,PlayMusic
143,Find the Via Dolorosa: Songs of Redemption saga,SearchCreativeWork
144,I want to read the novel Love Is in Control,SearchCreativeWork
145,I want to hear Rock Bottom by Playa Fly on Slacker,PlayMusic
146,Show me the photograph Johnny Cash: The Complete Columbia Album Collection,SearchCreativeWork
147,Book a table for april twenty-second at a pub which serves creole,BookRestaurant
148,Book a gastropub in Rose Creek for elevenses.,BookRestaurant
149,Find Stained Glass Windows.,SearchCreativeWork
150,Please let me know the weather forecast in Louisiana state,GetWeather
151,Find The Gill Deacon Show.,SearchCreativeWork
152,I want to see the TV show Cause & Effect,SearchCreativeWork
153,put this tune playing into my La Mejor MÃºsica Dance 2017 playlist,AddToPlaylist
154,Can you get me seating for a party of 4,BookRestaurant
155,book me a restaurant in Freshwater Bay for ava and I in Alaska,BookRestaurant
156,Show weather forecast nearby Elk City State Park,GetWeather
157,add we have a theme song to my House Afterwork playlist,AddToPlaylist
158,play the 2014 album from la lupe,PlayMusic
159,"find Bal Ganesh 2, a video game",SearchCreativeWork
160,add paul wright album to 90s Smash Hits playlist,AddToPlaylist
161,Rate the current novel 5 of 6 points,RateBook
162,Search for the Exiles of Time book,SearchCreativeWork
163,What is the weather like in Long Beach United Kingdom,GetWeather
164,What will the weather be at Noon in Durbin OH?,GetWeather
165,Book a brasserie in the Falkland Islands for this week.,BookRestaurant
166,Is The Passion of Anna playing four seconds from now at the cinema,SearchScreeningEvent
