doc_idx,category
1123,0
0,21
118,2
1043,18
1159,0
2273,19
1236,12
765,0
186,0
444,0
1362,29
2286,0
944,2
778,0
289,2
2439,21
106,18
2282,18
1699,0
2381,0
395,13
1226,0
2242,33
50,0
208,2
365,22
991,9
1474,3
1193,3
2420,18
594,0
2401,2
1095,22
741,0
388,14
787,0
718,13
1372,3
330,0
1776,2
945,25
86,0
442,16
916,24
144,0
779,0
2359,0
1928,8
1327,0
1464,0
1860,5
1604,27
381,18
859,14
1000,33
575,4
1735,0
4,0
2052,18
1087,2
202,21
1595,2
2348,5
866,19
1108,0
615,0
1301,8
468,3
2050,3
1385,0
1494,18
1329,3
215,2
2374,33
1994,18
72,0
1627,3
28,4
2399,0
319,18
75,0
2375,3
1155,14
1406,0
180,6
352,0
918,0
843,3
2021,33
2237,2
1110,4
926,2
1156,0
1196,18
2329,0
68,2
1935,0
1476,2
2468,17
1353,18
1912,20
1445,13
869,14
2008,2
1691,0
9,0
1150,0
1570,0
1130,4
1967,21
1528,14
520,2
681,0
2124,18
1205,29
94,4
2022,8
1819,0
361,0
347,20
1255,35
613,32
43,21
1021,14
1502,2
1976,18
2206,3
564,8
558,0
820,16
953,0
1734,24
321,14
132,9
1512,19
606,0
1881,14
374,21
907,0
209,0
1842,0
595,31
867,5
510,0
1321,2
415,2
2256,24
1701,8
1709,0
1190,17
418,14
1488,8
492,32
1500,33
1375,33
450,18
1693,8
1274,0
1549,3
1028,0
1964,33
1195,0
1055,2
57,18
1530,0
689,20
2353,8
1453,1
829,33
314,32
1377,8
1413,13
1642,18
78,8
438,0
2102,33
1455,4
2317,2
1869,0
1843,0
462,33
745,2
771,8
2391,13
968,4
1239,2
1793,0
666,18
221,0
1609,8
258,3
1777,33
1414,32
1169,13
2167,0
1918,0
2354,18
2280,0
1286,0
894,0
1142,0
36,33
2152,0
136,0
937,0
1153,32
12,2
307,12
246,18
1648,9
814,23
1062,0
1738,8
2202,33
1175,34
1855,23
212,18
38,2
650,3
240,18
1558,2
1308,2
1192,0
639,16
465,31
433,0
806,25
2092,9
1045,23
158,9
1218,8
1078,32
625,18
2431,0
175,14
1421,29
565,0
667,32
735,0
1659,4
670,8
1721,4
617,2
505,24
316,4
973,9
2219,0
483,0
1809,3
2163,2
1037,5
2125,3
2350,18
811,18
416,23
484,30
536,14
81,0
2122,32
2023,18
1119,0
1012,8
2369,18
455,18
380,25
2059,8
31,18
263,18
703,14
2380,0
1231,2
2115,0
1563,3
17,0
862,30
2389,13
734,8
1462,2
491,18
1880,19
466,2
1186,9
2298,34
835,12
841,35
120,3
1171,5
1160,24
379,34
276,18
2305,0
725,34
478,24
2171,0
664,0
1452,18
614,32
181,18
2126,0
2261,0
2048,8
579,0
1989,2
2073,9
2204,22
1209,0
1958,33
2469,14
963,31
2310,18
2120,0
2033,0
2083,6
697,18
1471,24
2172,0
2386,2
1562,32
1727,14
149,29
16,8
2335,3
1018,0
977,8
304,0
65,24
1081,13
1677,0
1598,0
2284,3
1951,0
1576,2
1585,26
1365,1
674,2
938,10
477,18
1567,20
2095,21
1685,8
1803,20
2007,24
948,3
1283,2
2383,0
678,4
552,0
1687,21
1914,0
643,12
723,8
1665,0
553,33
946,14
456,0
107,18
593,11
1872,33
1257,2
1569,12
1942,24
358,0
1507,14
1233,18
1088,2
2455,4
1775,10
1621,20
2452,22
119,20
251,18
1199,0
1449,18
877,22
1596,19
1415,2
2094,14
847,0
934,3
1616,3
962,0
1312,0
587,18
729,0
624,24
1801,0
357,9
1090,18
2014,18
285,2
1986,26
1608,12
1915,33
218,3
2182,0
1630,24
247,8
1871,29
1629,3
2249,0
930,3
1613,24
1618,2
6,14
1511,12
2277,0
1732,26
435,0
2436,18
591,0
1826,0
2019,6
1457,0
1085,0
1250,9
305,9
2042,0
248,25
560,4
2086,18
41,0
1510,32
2402,0
799,32
747,32
2352,0
961,3
2028,3
882,9
2136,0
1477,2
1336,20
1409,0
1335,24
187,14
1237,32
1884,3
2236,3
1655,33
1761,18
281,17
1892,2
2250,3
52,0
89,3
1708,23
1654,0
1683,9
752,0
1391,8
2179,19
269,13
878,0
1036,6
691,33
2302,0
636,9
1747,13
1290,2
646,2
1741,0
803,18
1177,0
223,34
1080,5
1408,3
701,2
1831,29
809,12
1213,22
2013,33
979,12
1228,8
2458,22
652,0
487,29
198,0
1968,0
2150,0
982,18
1743,0
1961,0
2316,18
1398,21
2027,32
1059,22
1400,5
1542,0
1591,8
164,0
1650,0
2195,2
1099,0
1125,9
2467,13
423,0
1647,0
1348,0
1503,0
1822,19
494,4
