text,cluster,cluster_name
Give the current album 2 out of 6 points.,4,Rate Item
play Isham Jones,1,Play Music
book a restaurant for four in Trinidad and Tobago,5,Book Restaurant Reservation
rate The Bunce 1 stars,4,Rate Item
Please play Short And Sweet by Teyana Taylor from my itunes.,1,Play Music
"Book a table for ida, monica and etta at Cold Spring Tavern in MD",5,Book Restaurant Reservation
What's the weather going to be like at my current spot at 7 am,2,Weather Forecast Inquiry
Add a track to my dinner playlist,6,Add song to playlist
add this album to my MediodÃ­a AcÃºstico playlist,6,Add song to playlist
book a fried fish serving restaurant for one at 20 hours from now,5,Book Restaurant Reservation
Add brad kane to the Pumping Iron soundtrack.,6,Add song to playlist
Where can I find the painting of Without Condition,3,Book and Pub Search
what is the forecast for LA for freezing,2,Weather Forecast Inquiry
Will it get chillier in 12 years  in Greenland?,2,Weather Forecast Inquiry
Where to buy book Charlie Countryman deve morire,3,Book and Pub Search
find a book called Outpost Firewall Pro,3,Book and Pub Search
Find me the soundtrack A Honeymoon Adventure,1,Play Music
Can you add a track to my Spain Top 50 playlist,6,Add song to playlist
Put Pedro Navaja onto my flamenco pa ti playlist.,6,Add song to playlist
I'd like to know how the weather will be at 8 pm in Tennessee.,2,Weather Forecast Inquiry
Rate this book a four.,4,Rate Item
add tune to my playlist picnic in the park,6,Add song to playlist
Where is the nearest cinema playing Rainbow Eyes that starts in one minute?,0,Find Movie Showtimes
Please get me the British Journal of Dermatology game.,3,Book and Pub Search
Play the latest music by Martin Luther Mccoy,1,Play Music
"Will it be sunny in Eyota Hawaii on february seventh, 2025?",2,Weather Forecast Inquiry
I rate Doom 3: Worlds on Fire a 1 of 6,4,Rate Item
I'd like to see the television show Best-Of: Design of a Decade 2003–2013,3,Book and Pub Search
Play the newest chant by John Doyle on Zvooq,1,Play Music
Lets go far to The Wolseley in Maine,3,Book and Pub Search
weather for five am in Osyka Bhutan,2,Weather Forecast Inquiry
"rate Cock and Bull 5 of 6
 points",4,Rate Item
Play music from 2002,1,Play Music
I'd like to hear songs from Iheart,1,Play Music
Add this artist to Metal Party,6,Add song to playlist
Find a pub for me in FM,3,Book and Pub Search
What time is The Ladies Diplomat playing?,0,Find Movie Showtimes
Add a bill deasy track to the conexiones playlist.,6,Add song to playlist
in a week  make a reservation for a table of 7 in District Of Columbia,5,Book Restaurant Reservation
play Groove Shark,1,Play Music
Where can I purchase the saga The Second Life of Samuel Tyne,3,Book and Pub Search
What will the weather be like in the Bahamas eleven years and a half from now,2,Weather Forecast Inquiry
in 1 week is there going to be a depression in Washington,2,Weather Forecast Inquiry
I want to see the movie schedules for animated movies around here.,0,Find Movie Showtimes
Add the track to the Metal Talks Metallica playlist.,6,Add song to playlist
Please add a track to my playlist called this is Coti,6,Add song to playlist
I'd like to get reservations at a top-rated restaurant in Arkansas.,5,Book Restaurant Reservation
play paul riley on Youtube,1,Play Music
rate this textbook two out of 6 points,4,Rate Item
Show me the schedule for ArcLight Hollywood for only animated movies,0,Find Movie Showtimes
Play symphony music from Joe Dolce,1,Play Music
Can you add something by Wynter Gordon to my soul lounge playlist,6,Add song to playlist
Fine movie times for animated movies in the neighborhood.,0,Find Movie Showtimes
Play some good movement music by Brian Littrell from around 2001,1,Play Music
Rat Short Trips: A Christmas Treasury a 3,4,Rate Item
Can you give me the weather forecast in Tajikistan?,2,Weather Forecast Inquiry
Look for the District 9 novel,3,Book and Pub Search
I need seating at Floating restaurant in Tennessee for a group of 9,5,Book Restaurant Reservation
Play music from Hide,1,Play Music
Find the Youth Against Christ saga,3,Book and Pub Search
add artist steve cropper to Rhythm and Blues,6,Add song to playlist
at my current spot is it going to be hotter on Nov. the eighth,2,Weather Forecast Inquiry
give Life: A Natural History of the First Four Billion Years of Life on Earth 1 points out of 6,4,Rate Item
Please play music from Itunes,1,Play Music
book spot for my nieces and I at a tea house,5,Book Restaurant Reservation
find a movie house with Hollow Reed,0,Find Movie Showtimes
Place this tune onto my dinner for 2 playlist.,6,Add song to playlist
Add Welcome to the Cruel World to my Reggae Classics,6,Add song to playlist
What is the nearest movie house playing New York Melody,0,Find Movie Showtimes
Find a table at a pizzeria in New Hampshire that has parking,5,Book Restaurant Reservation
What is the predicted weather on mar. 27 for Farragut State Park?,2,Weather Forecast Inquiry
"find Terminator 3: The Redemption, a picture",0,Find Movie Showtimes
look for the saga called Death in Paradise,3,Book and Pub Search
Add artist danny carey to my Classic Jazz Singers playlist.,6,Add song to playlist
what is the Gearhart forecast,2,Weather Forecast Inquiry
how much rain are we getting in current position,2,Weather Forecast Inquiry
Can you find me the Free for All show?,0,Find Movie Showtimes
Find movie times for nine PM.,0,Find Movie Showtimes
Add Firehouse to my acoustic soul list.,6,Add song to playlist
what films are at Kerasotes Theatres,0,Find Movie Showtimes
Add Andy Hunter to my Evening Commute playlist.,6,Add song to playlist
Show me movie times at the Pacific Theatres for the movie The Hot Rock,0,Find Movie Showtimes
What time is Return from Hell playing at the nearest movie house,0,Find Movie Showtimes
Find Once Upon a Time in the West,0,Find Movie Showtimes
show nearest movie theatre to watch Black Jesus,0,Find Movie Showtimes
What's the weather in Niagara,2,Weather Forecast Inquiry
Can you play Under The Anheuser Bush by Pete Doherty,1,Play Music
Restaurant in Durant for 3 PM,5,Book Restaurant Reservation
Play me a concerto by Jethro Burns from Zvooq,1,Play Music
when this evening is Casa Amor: Exclusive for Ladies playing and where,0,Find Movie Showtimes
I need a table at a czech pub at seven,5,Book Restaurant Reservation
In Bon Secour National Wildlife Refuge at twelve pm will it be chilly,2,Weather Forecast Inquiry
Play my Futuros Hits playlist on Spotify.,1,Play Music
Is it overcast in Ziwa Rhino Sanctuary?,2,Weather Forecast Inquiry
I want to see the trailer Amor Puro,0,Find Movie Showtimes
want to see the trailer for The Prefect,0,Find Movie Showtimes
rate Doctor No one of 6,4,Rate Item
What will the weather be like 1 minute from now within the same area of my current location,2,Weather Forecast Inquiry
Play Out From Under from Hurricane Chris,1,Play Music
Play prints in the stone by Helen Baylor,1,Play Music
play Richard Thompson from the thirties song book,1,Play Music
give Begums Thugs and White Mughals four points,4,Rate Item
add a song by  mark schultz to my ultimate indie playlist,6,Add song to playlist
add det kimer nu til julefest to my playlist technical&brutal death metal,6,Add song to playlist
Will there be snowfall in zero PM in Estonia,2,Weather Forecast Inquiry
Will there be snowfall faraway from Robinson Forest,2,Weather Forecast Inquiry
edit Aux Cord Privileges playlist by putting this tune on it,6,Add song to playlist
book a cafeteria for 5 in Turkmenistan,5,Book Restaurant Reservation
Book a reservation for six for a tyrolean oyster bar,5,Book Restaurant Reservation
find animated movies nearest at a movie house,0,Find Movie Showtimes
"What is the weather forecast for North Carolina on October thirteenth, 2037",2,Weather Forecast Inquiry
play Women of Jazz,1,Play Music
Show the movie schedules at MJR Theatres,0,Find Movie Showtimes
Please play something on Last Fm,1,Play Music
add xiang xiang album to my Madden NFL 16,6,Add song to playlist
Is there a storm in the weather forecast for Baraga Oregon,2,Weather Forecast Inquiry
Put new page onto my latin jazz playlist.,6,Add song to playlist
rate The Tom Thomson Mystery 1 stars,4,Rate Item
play the top five songs by Gad Elbaz,1,Play Music
book a restaurant in Anguilla for one at National Coney Island,5,Book Restaurant Reservation
add this album to my All Out 70s playlist,6,Add song to playlist
Book a restaurant in Delhi Arkansas for three people.,5,Book Restaurant Reservation
find a soundtrack for Meditations,0,Find Movie Showtimes
What is the forecast for Lesotho for starting this Fall,2,Weather Forecast Inquiry
Need a table within the same area as Beach 105th St for a party of 6,5,Book Restaurant Reservation
rate the current album 5 out of 6 points,4,Rate Item
Can I get the weather forecast for Benin in 32 days?,2,Weather Forecast Inquiry
Lets go to a steakhouse before we go to the pool,5,Book Restaurant Reservation
what movies are playing in the area?,0,Find Movie Showtimes
Give the current series a one.,4,Rate Item
"Will it be colder this autumn in Wren, Saint Martin",2,Weather Forecast Inquiry
Show weather forecast nearby Elk City State Park,2,Weather Forecast Inquiry
I wish to put tom baxter onto my coffee table jazz playlist,6,Add song to playlist
book Bridge Round House for one at meal time in Democratic Republic of the Congo close,5,Book Restaurant Reservation
Play my Jazz Brasileiro playlist,1,Play Music
Book a pub for eight people in the Pitcairn Islands.,3,Book and Pub Search
this chronicle gets a three out of 6.,4,Rate Item
Who published the novel JamesEdition?,3,Book and Pub Search
Rate this chronicle a 3,4,Rate Item
Can you put falling upstairs on my playlist entitled This Is Thomas Rhett,6,Add song to playlist
Book a popular restaurant for two which is distant from Avalon.,5,Book Restaurant Reservation
Play a song from 2013.,1,Play Music
Give this book a rating of four out of 6.,4,Rate Item
I want to see Fear Chamber.,0,Find Movie Showtimes
Show The Invisible Hook trailer,0,Find Movie Showtimes
I think this essay is only good for one stars,4,Rate Item
I need a reservation for a churrascaria in Oneonta Wyoming for a party of 4,5,Book Restaurant Reservation
Please add this track by Paul McGuigan to the Deep House playlist.,6,Add song to playlist
rate The Sea of Trolls 1 stars out of 6,4,Rate Item
I'd like to watch films in 23 hours in the neighborhood,0,Find Movie Showtimes
