doc_idx,category
1615,2
1851,10
1787,8
168,10
893,2
870,1
943,0
1844,6
2289,0
2619,8
1876,1
746,7
1069,1
727,7
2124,0
2727,8
1410,0
263,0
1881,1
250,7
2974,1
425,1
884,0
278,0
2235,0
2506,0
1359,3
2276,1
1682,10
538,3
2031,0
1628,6
1741,0
1515,0
1491,2
2215,0
1918,0
46,10
1619,0
579,2
122,0
714,5
1140,0
235,6
1853,0
794,1
2819,6
1416,1
1805,0
423,0
2345,2
1014,0
764,4
540,0
1200,0
2800,0
2540,0
1953,0
2375,0
1840,1
2762,10
325,0
2624,0
2261,0
2698,0
1020,7
2558,8
39,0
2482,0
2047,1
1891,10
2599,0
1331,0
2607,1
81,7
1586,10
209,0
1709,0
1103,0
737,10
711,0
1970,0
1212,0
2704,10
1006,0
1954,0
2280,0
99,0
2951,8
2081,0
1482,0
178,8
2175,7
1348,10
1222,0
1816,0
1712,0
478,7
1121,0
2262,0
2483,0
2437,6
1092,1
183,0
265,8
2312,0
226,1
810,3
997,5
447,0
1062,3
1297,0
14,8
1533,3
1967,0
2059,7
1875,10
1351,0
2744,0
2603,1
1664,1
1485,0
974,0
2507,8
2854,0
1561,0
2525,8
1576,1
2630,0
1959,1
1791,3
1507,0
1309,0
1858,0
1940,6
2247,0
788,1
2356,0
837,1
563,1
2202,7
422,10
2199,7
2178,10
1860,8
393,0
1842,1
1795,0
93,6
2210,0
2697,1
2965,0
625,4
3,0
2925,0
879,3
611,1
1409,7
407,2
2799,0
2400,10
652,3
2508,1
397,0
2418,0
2001,0
772,0
1058,1
2408,0
1286,0
2478,0
2473,0
1605,1
2203,0
868,0
2112,6
2986,0
1986,10
2158,0
2681,10
1123,1
2638,3
852,0
2644,2
2909,0
1415,7
2555,7
2942,0
969,0
1526,10
190,6
413,0
241,0
161,0
2319,6
65,5
360,1
2497,1
1548,0
347,0
2895,1
167,8
2167,0
1958,4
2394,5
130,0
440,1
1431,0
801,6
741,1
1463,5
116,6
355,7
2234,0
1809,6
935,0
1386,7
