doc_idx,text,true_label
0,roll a four sided die for me,0
1,i need for you to get me the status of my american airlines flight,1
2,please make sure the alarm is set,2
3,i need a thai food suggestion,3
4,find out if there's a new credit card that suits me,4
5,my account at the bank needs to be frozen,5
6,can i call you arnold instead,6
7,ya,7
8,when do i have to get the mmr,-1
9,place an order for my whole shopping list,8
10,i must know who programmed you,9
11,as my visa got a high enough limit on it,10
12,has the market been up or down since the beginning of this year,-1
13,ac temperature is at what,11
14,do i have enough gas in my tank to make it to washington dc,12
15,how fast am i going,-1
16,look up how to apply cream to smooth itchiness,-1
17,go and check the fridge,-1
18,what's the preparation time for this dish,13
19,can you see a hdmi cord,-1
20,let me know the date tomorrow,14
21,tell me a joke about the topic of mice,15
22,will i be charged a transaction fee on my discover card in cuba,16
23,is there meaning in life,17
24,i can't say for certain either way,18
25,revert to the original configuration,19
26,how long should i boil eggs,13
27,how many steps have i taken today,-1
28,dial her up,20
29,what's the status of my virgin airlines flight,1
30,can you find me a pork recipe,21
31,what's the current prevailing interest rate for mortgages in my area,-1
32,which hospital is nearest to me,22
33,i need you to tell me the credit limit for my republic bank card,10
34,i was wondering what my credit score is,23
35,do i spend too much on beer,24
36,what's the best type of plan to upgrade to,-1
37,what is appropriate to spend on a bouquet of flowers for mother's day,-1
38,what are some of the most visited countries for people looking to travel abroad,-1
39,what makes pi so mathematically important,-1
40,how would i replace my oil and what sort of oil should i use,25
41,"i want some nike's, is there enough in my wells fargo account",26
42,what is the title of the song we're listening to right now,27
43,i need to know the name that you have for me,28
44,is grocery shopping on my reminders list,29
45,are there transaction fees in cuba for using my discover card,16
46,please let me know what is on my shopping list,30
47,does applebees have good reviews,31
48,how are the reviews for tacos at the buffet,31
49,your factory settings need to be reset,19
50,what would be the best way to deal with lost luggage,32
51,define discontent,33
52,that's wrong,34
53,what does water taste like,-1
54,which subjects are you the most experienced with,35
55,so i have any vacation days left,36
56,what is a british pound worth in mexican pesos,37
57,i need to know how many pounds are in 10 kilos,38
58,i would like to know where i can find my w2 for tax reasons,39
59,pay $175 on my visa,40
60,i gotta cancel my reservation for barry at red robin,41
61,switch whisper mode off,42
62,where can i find when my car payment bill is due,43
63,ai throw the dice on the table,0
64,give me a coin toss result,44
65,could you tell me how to set up direct deposit for my check from work at nations bank,45
66,i need to rent a car for may 3rd to may 5th in indianapolis and i'd like a mercedes,46
67,how is the weather looking in seattle,47
68,where is the nearest fry's,22
69,turn on the microwave for 3 minutes,11
70,recite the items i'm planning to purchase,30
71,what is the next date for which i can get an oil change appointment,48
72,i want to know if my credit card application has been processed,49
73,when is my meeting with infrastructure,50
74,make sure to put eggs on the grocery list,51
75,turn up your speaker volume,52
76,z uses which type of plug,53
77,can you tell me today's headlines pleasei,-1
78,when was the gold rush,-1
79,get me a list of divorce attorneys in the new york area,-1
80,how much have i spent on video games recently,24
81,what is the last time the living room was vacuumed,-1
82,will you schedule a conference room for thursday at 4:00,54
83,is my card's apr a decent rate,55
84,is my computer free from viruses,-1
85,i need a hotel in phoenix near chase field from january 4th to the 8th,56
86,what do i need to do to get my car jump started,57
87,"if i use my card in x, will there be a charge",16
88,i need to find a black suit under $100,-1
89,can you find me sheet music for the beatles white album online,-1
90,are the reviews ned get's good,31
91,is there any news if my parents survived the crash,-1
92,can people safely travel to cambodia,58
93,i do not actually need my reservation anymore,41
94,how long until my water bill is due,43
95,i would love to get a new credit card,4
96,can you unlock my bank account,59
97,could someone look at my check engine light that's on,48
98,can you tell me how to transfer my 401k,60
99,i have some charges on my account from old navy that aren't mine,61
100,did i put grocery shopping on my todo list,62
101,what's the extended zipcode for my address,-1
102,can i get the interest rate for my checking account,63
103,what was my recent transaction on my visa card,64
104,will it be ok to sub turkey for beef,65
105,are there any required shots to travel to astana,66
106,pay my utility bill from my bank account,40
107,what is the best way to remove this appointment,67
108,what is the miles per gallon,68
109,both could be,18
110,whats the combined total of the money inside my bank accounts,26
111,may i increase my credit limit by 500 dollars,69
112,i want to know how many days off are listed on my time off sheet that i have taken this year,70
113,"ai, call me deb",71
114,can my credit limit be increased by 500 dollars,69
115,your speech slower it,72
116,what's the average time to boston when riding a bus,73
117,when is my meeting with invoicing scheduled,50
118,give me a summary of today's meetings,50
119,"what's my car's mpg, please",68
120,"denver's timezone is a mystery, i wonder where its located",74
121,switch voice option to female,75
122,how long do i boil eggs,13
123,the intake of calories it it bad,76
124,give me some feedback about the pasta at piada please,31
125,"yes, ai, that is correct",7
126,what kind of traffic can i expect at 9:00 on the route to detroit,77
127,what interest rate am i getting from nfcu,63
128,report outage to my electric provider,-1
129,what are the benefits associated with my insurance,78
130,thank you goodbye,79
131,what do i go by,28
132,are there restrictions for carrying lighters in my backpack on a plane,80
133,do you know what is for dinner,3
134,how do they filter pollutants out of bottled water,-1
